Middle layer Super Output Areas Code,Middle layer Super Output Areas,Female,Male,Total
E02000154,Bromley 028,4357,4171,8528
E02000155,Bromley 029,3700,3456,7156
E02000156,Bromley 030,6314,5978,12292
E02000157,Bromley 031,4322,4045,8367
E02000158,Bromley 032,4102,3686,7788
E02000159,Bromley 033,3666,3451,7117
E02000160,Bromley 034,4160,3948,8108
E02000161,Bromley 035,4464,4238,8702
E02000162,Bromley 036,3806,3315,7121
E02000163,Bromley 037,3973,3743,7716
E02000165,Bromley 039,3667,3505,7172
E02000166,Camden 001,4157,3588,7745
E02000167,Camden 002,3767,3432,7199
E02000168,Camden 003,4141,3673,7814
E02000169,Camden 004,3771,3406,7177
E02000170,Camden 005,4127,3789,7916
E02000171,Camden 006,3931,3460,7391
E02000172,Camden 007,5338,4660,9998
E02000173,Camden 008,3953,3540,7493
E02000174,Camden 009,4407,3679,8086
E02000175,Camden 010,4770,4312,9082
E02000176,Camden 011,3152,2762,5914
E02000177,Camden 012,4594,3894,8488
E02000178,Camden 013,4696,4207,8903
E02000179,Camden 014,3049,2699,5748
E02000180,Camden 015,4129,3750,7879
E02000181,Camden 016,4215,3861,8076
E02000182,Camden 017,3819,3298,7117
E02000183,Camden 018,3942,3649,7591
E02000184,Camden 019,4637,4271,8908
E02000185,Camden 020,4749,4132,8881
E02000186,Camden 021,3217,3006,6223
E02000187,Camden 022,5185,4599,9784
E02000188,Camden 023,3854,3325,7179
E02000191,Camden 026,2721,2616,5337
E02000192,Camden 027,3321,3338,6659
E02000193,Camden 028,2953,3008,5961
E02000194,Croydon 001,4840,4371,9211
E02000195,Croydon 002,5043,4606,9649
E02000196,Croydon 003,4152,3761,7913
E02000197,Croydon 004,4688,4337,9025
E02000198,Croydon 005,4695,4190,8885
E02000199,Croydon 006,4379,4034,8413
E02000200,Croydon 007,4767,4282,9049
E02000201,Croydon 008,4663,4029,8692
E02000202,Croydon 009,4600,4329,8929
E02000203,Croydon 010,4162,3803,7965
E02000204,Croydon 011,4955,4700,9655
E02000206,Croydon 013,5672,5146,10818
E02000207,Croydon 014,4713,4189,8902
E02000208,Croydon 015,5675,5187,10862
E02000209,Croydon 016,4704,4363,9067
E02000210,Croydon 017,4527,4186,8713
E02000211,Croydon 018,4311,3962,8273
E02000212,Croydon 019,4883,4579,9462
E02000213,Croydon 020,6458,6340,12798
E02000214,Croydon 021,3187,3049,6236
E02000215,Croydon 022,5944,5881,11825
E02000216,Croydon 023,3653,3509,7162
E02000217,Croydon 024,6129,5796,11925
E02000218,Croydon 025,3583,3088,6671
E02000219,Croydon 026,4001,3628,7629
E02000221,Croydon 028,5684,5174,10858
E02000222,Croydon 029,4324,4026,8350
