Middle layer Super Output Areas Code,Middle layer Super Output Areas,Asian_Asian_British_or_Asian_Welsh,Black_Black_British_Black_Welsh_Caribbean_or_African,Mixed_or_Multiple_ethnic_groups,White_English_Welsh_Scottish_Northern_Irish_or_British,White_Irish,White_Gypsy_or_Irish_Traveller_Roma_or_Other_White,Other_ethnic_group,Total
E02000315,Greenwich 003,892,3699,443,3324,70,1090,352,9870
E02000317,Greenwich 005,1079,2417,424,2446,72,808,315,7561
E02000318,Greenwich 006,3765,2584,452,2022,108,1123,1010,11064
E02000319,Greenwich 007,2200,2839,709,2936,105,1246,583,10618
E02000320,Greenwich 008,952,1982,389,2480,64,853,320,7040
E02000321,Greenwich 009,1142,2378,435,2504,62,733,467,7721
E02000323,Greenwich 011,2563,3972,843,3111,93,1515,764,12861
E02000324,Greenwich 012,1032,1782,643,3080,110,879,341,7867
E02000326,Greenwich 014,967,1175,476,3653,172,1122,233,7798
E02000327,Greenwich 015,830,2269,363,2214,83,613,253,6625
E02000328,Greenwich 016,484,527,423,3770,184,961,164,6513
E02000329,Greenwich 017,927,1151,427,2884,94,589,262,6334
E02000331,Greenwich 019,1209,1532,503,3459,116,977,440,8236
E02000332,Greenwich 020,598,1506,527,3632,148,838,203,7452
E02000333,Greenwich 021,522,356,342,3792,172,868,189,6241
E02000334,Greenwich 022,904,1156,378,2930,163,770,339,6640
E02000335,Greenwich 023,484,328,281,4680,127,627,148,6675
E02000337,Greenwich 025,781,1014,396,4802,78,1058,342,8471
E02000339,Greenwich 027,399,305,300,4345,181,632,128,6290
E02000340,Greenwich 028,566,508,261,4348,143,867,173,6866
E02000341,Greenwich 029,594,1333,475,4358,110,829,297,7996
E02000342,Greenwich 030,568,657,299,3852,84,677,208,6345
E02000343,Greenwich 031,663,815,339,4076,74,774,305,7046
E02000344,Greenwich 032,541,512,234,4280,91,553,217,6428
E02000345,Hackney 001,397,578,286,3962,54,1609,1312,8198
E02000346,Hackney 002,1357,2415,679,2035,146,1791,975,9398
E02000347,Hackney 003,351,931,276,3872,91,1537,1097,8155
E02000348,Hackney 004,610,1314,323,3495,101,1188,1075,8106
E02000350,Hackney 006,1539,1248,579,4040,283,1756,796,10241
E02000351,Hackney 007,797,1187,728,3552,245,1893,882,9284
E02000352,Hackney 008,360,1013,491,3129,153,1143,460,6749
E02000353,Hackney 009,778,953,526,3519,268,1256,461,7761
E02000354,Hackney 010,1324,2542,697,2770,188,1358,730,9609
E02000355,Hackney 011,1382,1450,578,2942,237,1227,378,8194
E02000356,Hackney 012,415,750,552,3412,220,1223,462,7034
E02000357,Hackney 013,626,3104,456,1225,119,754,561,6845
E02000358,Hackney 014,1057,2166,869,3472,336,2166,1024,11090
E02000359,Hackney 015,677,1530,469,2438,128,1003,453,6698
E02000360,Hackney 016,1595,3657,791,2760,211,1398,1100,11512
E02000361,Hackney 017,796,1743,630,2592,169,1512,618,8060
E02000362,Hackney 018,608,1925,550,2404,151,852,471,6961
E02000363,Hackney 019,1398,4438,880,2747,166,1268,985,11882
E02000364,Hackney 020,773,2057,551,3613,223,1435,561,9213
E02000366,Hackney 022,693,1946,661,3358,193,1029,451,8331
E02000367,Hackney 023,908,1869,821,3887,315,2032,589,10421
E02000368,Hackney 024,1080,2820,655,2705,238,1450,972,9920
E02000369,Hackney 025,1413,2980,961,3822,307,2671,1304,13458
E02000370,Hackney 026,982,1939,651,2333,174,1904,876,8859
E02000372,Hammersmith and Fulham 001,1834,1858,766,2596,235,1657,1037,9983
E02000373,Hammersmith and Fulham 002,926,2523,544,1263,100,900,778,7034
E02000374,Hammersmith and Fulham 003,762,1216,506,2370,229,1217,612,6912
E02000375,Hammersmith and Fulham 004,886,1409,616,2261,187,1485,640,7484
E02000376,Hammersmith and Fulham 005,698,1044,497,2126,164,1560,612,6701
E02000377,Hammersmith and Fulham 006,727,1248,597,2902,269,1536,516,7795
E02000378,Hammersmith and Fulham 007,692,722,425,2097,185,1762,551,6434
E02000379,Hammersmith and Fulham 008,570,891,487,3222,256,1455,507,7388
E02000380,Hammersmith and Fulham 009,470,480,320,2635,195,1127,281,5508
E02000381,Hammersmith and Fulham 010,582,689,515,3039,223,2044,538,7630
E02000382,Hammersmith and Fulham 011,717,543,436,2588,161,1318,427,6190
E02000383,Hammersmith and Fulham 012,1210,750,577,2561,196,2139,1028,8461
E02000384,Hammersmith and Fulham 013,1191,1148,636,2619,230,1788,655,8267
E02000385,Hammersmith and Fulham 014,679,374,304,2287,134,1498,338,5614
E02000386,Hammersmith and Fulham 015,858,1418,554,2362,181,1466,743,7582
E02000387,Hammersmith and Fulham 016,878,850,425,2119,135,1263,355,6025
E02000388,Hammersmith and Fulham 017,949,738,483,3558,219,2236,477,8660
E02000389,Hammersmith and Fulham 018,877,429,500,3990,241,2170,438,8645
E02000390,Hammersmith and Fulham 019,441,532,353,2937,162,1426,344,6195
E02000391,Hammersmith and Fulham 020,528,493,426,3602,188,1922,429,7588
E02000392,Hammersmith and Fulham 021,702,887,567,4083,253,2222,515,9229
E02000393,Hammersmith and Fulham 022,310,288,313,3067,187,1582,228,5975
E02000394,Hammersmith and Fulham 023,1000,1045,765,3601,199,1932,737,9279
E02000395,Hammersmith and Fulham 024,321,208,267,3110,176,1398,200,5680
E02000396,Hammersmith and Fulham 025,498,670,441,3106,112,1658,414,6899
E02000397,Haringey 001,715,1063,503,2288,182,2406,750,7907
E02000398,Haringey 002,590,2850,497,957,50,1508,1067,7519
E02000400,Haringey 004,741,1398,563,2616,218,1817,635,7988
E02000401,Haringey 005,837,1646,502,1533,126,1302,918,6864
E02000402,Haringey 006,611,1917,436,1264,85,1219,940,6472
E02000403,Haringey 007,741,850,448,1986,146,2600,744,7515
E02000404,Haringey 008,853,1212,465,1447,124,2109,904,7114
E02000405,Haringey 009,374,372,457,3672,210,1084,306,6475
E02000406,Haringey 010,810,1101,456,1632,134,1864,739,6736
E02000407,Haringey 011,757,2459,637,1274,104,1603,773,7607
E02000408,Haringey 012,663,2799,547,1407,110,1682,1044,8252
E02000409,Haringey 013,627,1677,384,1252,98,1230,796,6064
E02000410,Haringey 014,376,230,433,3418,173,1479,309,6418
E02000411,Haringey 015,1530,3058,780,2132,161,2649,1120,11430
E02000412,Haringey 016,946,1559,444,1544,93,1929,807,7322
E02000413,Haringey 017,599,492,629,3752,221,1546,524,7763
E02000414,Haringey 018,674,1635,530,1687,117,1763,673,7079
E02000415,Haringey 019,842,981,499,1776,146,2166,833,7243
E02000416,Haringey 020,630,1278,654,3348,263,1637,643,8453
E02000417,Haringey 021,414,278,492,3429,179,1485,279,6556
E02000418,Haringey 022,295,264,351,3315,186,780,241,5432
E02000419,Haringey 023,822,892,695,2681,214,2655,779,8738
E02000420,Haringey 024,760,1787,573,1873,164,1943,888,7988
E02000421,Haringey 025,708,2735,819,1425,93,1606,1124,8510
E02000422,Haringey 026,760,1720,475,1720,148,1691,944,7458
E02000423,Haringey 027,775,723,466,1971,153,2033,786,6907
E02000424,Haringey 028,306,758,573,3381,254,1130,352,6754
E02000425,Haringey 029,415,934,308,3388,64,1720,1340,8169
E02000426,Haringey 030,635,365,502,3160,177,1247,406,6492
E02000427,Haringey 031,491,651,488,2458,207,1754,574,6623
E02000428,Haringey 032,631,1972,534,2129,188,1920,1060,8434
E02000429,Haringey 033,410,359,470,3572,187,1453,344,6795
E02000430,Haringey 034,380,439,528,3642,237,1379,316,6921
E02000431,Haringey 035,415,209,395,3045,188,1393,201,5846
E02000432,Haringey 036,352,686,441,2908,221,1151,360,6119
E02000433,Harrow 001,3231,479,247,2842,98,1061,642,8600
E02000434,Harrow 002,4077,713,306,2363,141,1451,799,9850
E02000435,Harrow 003,3439,660,277,2102,163,959,591,8191
E02000436,Harrow 004,2758,208,173,1794,177,386,262,5758
E02000437,Harrow 005,3278,738,289,2329,351,1071,704,8760
E02000438,Harrow 006,3086,956,365,2592,208,840,501,8548
E02000439,Harrow 007,3701,864,298,1236,185,2221,758,9263
E02000440,Harrow 008,5014,416,269,1921,197,1213,573,9603
