Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_qualifications,Level_1_and_entry_level_qualifications,Level_2_qualifications,Apprenticeship,Level_3_qualifications,Level_4_qualifications_or_above,Other,Does_not_apply,total
E02000544,Hounslow 019,1252,602,718,282,956,2916,285,1546,8557
E02000545,Hounslow 020,1194,638,740,255,971,3125,224,2090,9237
E02000546,Hounslow 021,1710,882,860,315,1034,2938,445,2243,10427
E02000547,Hounslow 022,2138,1050,991,385,1037,2648,394,2356,10999
E02000548,Hounslow 023,1902,1022,987,350,1097,2358,407,2453,10576
E02000549,Hounslow 024,2324,1218,1189,419,1254,3292,414,2420,12530
E02000550,Hounslow 025,1781,943,980,325,1005,2901,293,2484,10712
E02000551,Hounslow 026,1820,884,932,367,1031,2103,290,2325,9752
E02000552,Hounslow 027,1334,801,948,362,1060,2414,270,2069,9258
E02000553,Hounslow 028,1159,636,711,282,794,1775,157,1601,7115
E02000554,Islington 001,1298,525,680,209,998,3726,200,1720,9356
E02000555,Islington 002,1167,455,605,188,962,4425,166,1603,9571
E02000556,Islington 003,1222,515,626,199,1259,5755,211,1609,11396
E02000557,Islington 004,1068,430,554,174,868,4167,197,1324,8782
E02000558,Islington 005,1576,652,662,229,987,3274,234,1818,9432
E02000559,Islington 006,793,360,495,140,789,5203,156,1647,9583
E02000560,Islington 007,744,340,401,142,831,3800,148,950,7356
E02000561,Islington 008,592,266,439,111,611,4175,93,1100,7387
E02000562,Islington 009,864,354,461,155,728,3925,153,1225,7865
E02000563,Islington 010,1307,513,620,248,891,3474,184,1444,8681
E02000564,Islington 011,1161,553,600,212,1255,6816,219,1605,12421
E02000565,Islington 012,1077,427,616,138,824,3895,142,1424,8543
E02000566,Islington 013,769,277,409,122,704,4850,108,1317,8556
E02000567,Islington 014,1191,497,622,214,956,5267,205,1487,10439
E02000568,Islington 015,1745,677,742,307,1428,4378,307,1756,11340
E02000569,Islington 016,1244,487,619,166,917,4629,172,1705,9939
E02000570,Islington 017,646,264,415,121,712,4853,142,1133,8286
E02000571,Islington 018,1166,463,604,192,815,4075,188,1419,8922
E02000572,Islington 019,1402,572,661,199,992,3062,260,1455,8603
E02000573,Islington 020,881,339,525,156,994,5949,185,1286,10315
E02000574,Islington 021,832,295,493,163,1037,3992,211,809,7832
E02000575,Islington 022,1186,442,588,219,1520,5666,258,1434,11313
E02000576,Islington 023,1327,568,709,209,1259,4618,288,1692,10670
E02000577,Kensington and Chelsea 001,1336,542,621,225,936,2702,213,1137,7712
E02000578,Kensington and Chelsea 002,1132,443,580,142,702,1732,180,1092,6003
E02000579,Kensington and Chelsea 003,1067,397,706,191,1018,3895,210,1509,8993
E02000580,Kensington and Chelsea 004,1046,480,632,191,917,3483,199,950,7898
E02000581,Kensington and Chelsea 005,1347,464,675,190,889,2415,167,1241,7388
E02000582,Kensington and Chelsea 006,406,180,307,114,628,3941,151,815,6542
E02000583,Kensington and Chelsea 007,447,209,356,58,635,3721,100,901,6427
E02000584,Kensington and Chelsea 008,362,168,375,66,595,4278,156,1175,7175
E02000585,Kensington and Chelsea 009,610,281,482,106,740,4284,207,1377,8087
E02000586,Kensington and Chelsea 010,411,116,293,47,725,3765,215,903,6475
E02000587,Kensington and Chelsea 011,332,173,308,52,596,3920,178,937,6496
E02000588,Kensington and Chelsea 012,462,167,280,53,607,3461,172,782,5984
E02000589,Kensington and Chelsea 013,612,172,290,101,909,4174,182,810,7250
E02000590,Kensington and Chelsea 014,640,265,358,113,678,2968,205,747,5974
E02000591,Kensington and Chelsea 015,644,236,326,115,652,3268,206,766,6213
E02000592,Kensington and Chelsea 016,284,121,221,63,534,3572,144,824,5763
E02000593,Kensington and Chelsea 017,513,196,357,100,913,4126,257,931,7393
E02000594,Kensington and Chelsea 018,560,188,376,148,601,3696,197,716,6482
E02000595,Kensington and Chelsea 019,503,161,381,93,626,3363,162,875,6164
E02000596,Kensington and Chelsea 020,438,177,349,83,839,3750,164,820,6620
E02000597,Kensington and Chelsea 021,819,306,529,127,698,2715,162,979,6335
E02000598,Kingston upon Thames 001,531,326,586,180,776,3641,153,1900,8093
E02000599,Kingston upon Thames 002,578,268,514,130,695,3446,154,1223,7008
E02000600,Kingston upon Thames 003,606,325,552,166,740,3997,161,1813,8360
E02000601,Kingston upon Thames 004,753,412,748,181,1024,5911,187,2691,11907
E02000602,Kingston upon Thames 005,1101,507,702,222,1428,4035,271,2048,10314
E02000603,Kingston upon Thames 006,1125,545,690,201,1103,2999,194,1782,8639
E02000604,Kingston upon Thames 007,837,432,675,217,850,4052,221,1956,9240
E02000605,Kingston upon Thames 008,868,414,648,207,843,3601,167,1743,8491
E02000606,Kingston upon Thames 009,612,378,627,172,1500,5627,211,1434,10561
E02000607,Kingston upon Thames 010,424,268,496,128,1084,3074,98,1221,6793
E02000608,Kingston upon Thames 011,499,283,452,164,940,3758,147,956,7199
E02000609,Kingston upon Thames 012,912,472,675,214,887,2841,212,1414,7627
E02000610,Kingston upon Thames 013,752,349,542,169,892,3861,156,1232,7953
E02000611,Kingston upon Thames 014,621,395,657,246,914,2988,127,1492,7440
E02000612,Kingston upon Thames 015,899,492,753,279,976,3163,201,1490,8253
E02000613,Kingston upon Thames 016,744,386,660,194,798,3406,146,1758,8092
E02000614,Kingston upon Thames 017,1202,633,850,301,1159,2991,255,1902,9293
E02000615,Kingston upon Thames 018,1009,630,863,317,1037,2226,209,1590,7881
E02000616,Kingston upon Thames 019,711,482,719,249,912,1651,152,1185,6061
E02000617,Kingston upon Thames 020,1345,750,909,388,1205,2316,181,1769,8863
E02000619,Lambeth 002,1236,556,672,211,852,3825,206,1541,9099
E02000620,Lambeth 003,1077,482,679,177,1031,4870,203,1326,9845
E02000621,Lambeth 004,1208,516,636,267,1378,6980,303,1232,12520
E02000622,Lambeth 005,909,413,488,163,838,4384,160,1047,8402
E02000623,Lambeth 006,1243,483,657,190,801,3050,226,1208,7858
E02000624,Lambeth 007,1112,488,624,226,892,4737,184,1368,9631
E02000625,Lambeth 008,1287,566,628,197,1011,3779,230,1606,9304
E02000626,Lambeth 009,1295,598,719,249,833,2922,174,1572,8362
E02000627,Lambeth 010,1046,504,607,189,1045,4651,212,1299,9553
E02000628,Lambeth 011,1627,790,831,238,1311,4200,241,1547,10785
E02000629,Lambeth 012,784,374,445,158,871,5341,121,1026,9120
E02000630,Lambeth 013,574,263,377,133,728,4421,114,928,7538
E02000631,Lambeth 014,880,434,601,170,870,4843,157,1570,9525
E02000632,Lambeth 015,709,313,401,151,843,6351,132,686,9586
E02000633,Lambeth 016,1053,489,662,191,874,4396,182,1313,9160
E02000634,Lambeth 017,765,342,441,93,658,3462,132,879,6772
E02000635,Lambeth 018,802,449,603,178,958,5341,145,1336,9812
E02000636,Lambeth 019,426,201,338,70,570,4816,88,1210,7719
E02000637,Lambeth 020,702,280,436,129,686,5038,134,994,8399
E02000638,Lambeth 021,1244,651,827,273,1006,4555,200,1498,10254
E02000639,Lambeth 022,1143,559,707,224,941,3394,188,1166,8322
E02000640,Lambeth 023,646,333,442,153,750,5292,97,1580,9293
E02000641,Lambeth 024,1216,632,731,218,964,2870,198,1801,8630
E02000642,Lambeth 025,1027,437,668,238,911,4584,149,1795,9809
E02000643,Lambeth 026,918,430,585,204,927,4659,160,1495,9378
E02000644,Lambeth 027,777,391,578,235,751,4002,181,1604,8519
E02000645,Lambeth 028,934,503,625,238,835,4415,153,1830,9533
E02000646,Lambeth 029,1009,448,603,197,887,4641,179,1535,9499
E02000647,Lambeth 030,887,371,616,208,908,3754,187,1661,8592
E02000648,Lambeth 031,1084,546,658,207,940,2514,123,1754,7826
E02000649,Lambeth 032,1511,623,800,365,1105,5688,327,2058,12477
E02000650,Lambeth 033,906,418,586,181,769,3148,156,1501,7665
E02000651,Lambeth 034,1142,463,568,252,960,3618,203,1532,8738
E02000652,Lambeth 035,1087,547,661,269,885,2526,190,1394,7559
E02000653,Lewisham 001,1484,664,948,269,1302,5667,274,2000,12608
E02000654,Lewisham 002,1151,604,717,211,963,3162,211,1769,8788
E02000655,Lewisham 003,1263,642,811,275,1212,3953,242,1885,10283
E02000657,Lewisham 005,1046,476,687,205,1416,4332,191,1555,9908
E02000658,Lewisham 006,882,486,597,209,910,4036,173,1327,8620
E02000659,Lewisham 007,752,371,542,158,741,4012,95,1391,8062
E02000660,Lewisham 008,712,330,466,134,796,4320,135,1313,8206
E02000661,Lewisham 009,557,287,436,125,658,3229,118,1083,6493
E02000662,Lewisham 010,858,445,572,174,834,3543,172,1697,8295
E02000663,Lewisham 011,603,307,430,128,727,3341,115,1141,6792
E02000665,Lewisham 013,812,435,576,180,794,3617,156,1585,8155
E02000666,Lewisham 014,673,354,482,154,751,3229,121,1425,7189
E02000667,Lewisham 015,602,326,468,130,612,3094,104,1351,6687
E02000668,Lewisham 016,599,328,531,136,650,2919,126,1567,6856
E02000669,Lewisham 017,866,408,575,165,820,3445,163,1530,7972
E02000670,Lewisham 018,884,500,506,192,703,2421,182,1318,6706
E02000671,Lewisham 019,803,410,612,193,772,4061,138,1751,8740
E02000672,Lewisham 020,1268,627,750,285,996,4033,262,2055,10276
E02000673,Lewisham 021,563,316,527,151,721,4242,110,1509,8139
E02000674,Lewisham 022,1123,491,722,216,901,3160,178,1664,8455
E02000675,Lewisham 023,1078,546,752,262,977,3043,173,1695,8526
E02000676,Lewisham 024,704,380,555,154,760,3591,103,1570,7817
E02000677,Lewisham 025,959,439,639,194,816,2627,191,1345,7210
E02000678,Lewisham 026,1039,559,640,203,820,1892,179,1629,6961
E02000679,Lewisham 027,902,480,605,212,812,3252,143,1727,8133
E02000680,Lewisham 028,719,356,523,162,722,2886,141,1526,7035
E02000681,Lewisham 029,1325,631,822,224,926,2546,199,1800,8473
E02000682,Lewisham 030,1421,688,907,257,1063,2285,213,2098,8932
E02000683,Lewisham 031,1135,529,660,205,774,1933,176,1356,6768
E02000685,Lewisham 033,969,506,690,199,823,3117,154,1671,8129
E02000686,Lewisham 034,1117,666,735,212,821,2022,170,1793,7536
E02000687,Lewisham 035,955,559,653,181,799,3329,143,1648,8267
E02000689,Merton 001,511,262,523,125,781,4672,149,2028,9051
E02000690,Merton 002,357,179,370,75,439,3041,117,947,5525
E02000691,Merton 003,457,229,443,122,644,3975,150,1340,7360
E02000692,Merton 004,443,183,383,72,561,4699,124,1190,7655
E02000693,Merton 005,907,444,626,217,1004,5010,239,1408,9855
E02000694,Merton 006,720,302,503,148,719,4786,165,1759,9102
E02000695,Merton 007,1240,592,612,313,900,3186,286,1511,8640
E02000696,Merton 008,1123,575,660,269,960,3253,230,1557,8627
E02000697,Merton 009,479,249,458,135,700,4978,167,1562,8728
E02000698,Merton 010,498,263,546,94,686,4255,124,1766,8232
E02000699,Merton 011,479,265,437,155,678,4271,158,1771,8214
E02000700,Merton 012,1325,668,715,260,956,2736,205,1796,8661
E02000701,Merton 013,1493,669,813,304,1017,2622,299,1794,9011
E02000702,Merton 014,1356,744,837,284,1071,2609,228,2196,9325
E02000703,Merton 015,636,332,548,181,722,3783,178,1584,7964
E02000704,Merton 016,883,416,622,215,841,3817,233,1574,8601
E02000705,Merton 017,1354,666,828,328,1067,2990,288,1806,9327
E02000706,Merton 018,1645,783,904,355,993,2682,290,2383,10035
E02000707,Merton 019,1400,676,823,280,973,2112,227,1810,8301
E02000708,Merton 020,878,463,733,231,951,3606,211,1814,8887
E02000709,Merton 021,871,519,650,287,945,2914,218,1573,7977
E02000710,Merton 022,1505,736,848,321,1012,2681,278,1807,9188
E02000711,Merton 023,1421,682,763,318,972,3070,302,1915,9443
E02000712,Merton 024,1485,806,990,357,1137,2590,283,2017,9665
E02000713,Merton 025,1145,665,875,306,1058,2074,177,1505,7805
E02000714,Newham 001,1115,615,584,253,757,2544,202,1641,7711
E02000715,Newham 002,1344,591,628,153,778,1574,251,1978,7297
E02000716,Newham 003,1306,563,614,155,759,1984,210,1761,7352
E02000717,Newham 004,1633,644,655,205,813,1954,306,2147,8357
E02000718,Newham 005,1201,590,724,144,821,1722,210,1993,7405
E02000719,Newham 006,1274,566,694,221,863,2747,205,1505,8075
E02000720,Newham 007,1261,541,674,145,739,2280,206,1643,7489
E02000721,Newham 008,1895,716,876,179,958,2365,292,2263,9544
E02000722,Newham 009,1283,641,629,229,792,2897,279,1390,8140
E02000723,Newham 010,2248,881,901,224,1062,3094,361,2424,11195
E02000724,Newham 011,1941,794,751,265,1019,2406,328,2523,10027
E02000725,Newham 012,1378,650,781,239,1063,3890,298,1688,9987
