Middle layer Super Output Areas Code,Middle layer Super Output Areas,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Total
E02004953,Stevenage 010,1458,641,883,1389,1266,839,6476
E02004954,Stevenage 011,1489,684,1064,1454,1349,1090,7130
E02004955,Stevenage 012,1217,527,787,1189,1259,1039,6018
E02004956,Three Rivers 001,1624,816,1061,1828,1906,1801,9036
E02004957,Three Rivers 002,2500,988,1294,2491,2083,1459,10815
E02004958,Three Rivers 003,1551,699,663,1580,1759,1606,7858
E02004959,Three Rivers 004,1036,559,615,1146,1376,1450,6182
E02004960,Three Rivers 005,1156,551,385,1140,1302,1173,5707
E02004961,Three Rivers 006,2020,882,817,2248,1981,1760,9708
E02004962,Three Rivers 007,1800,780,1123,1999,1840,1483,9025
E02004963,Three Rivers 008,1673,763,875,1710,1417,1127,7565
E02004964,Three Rivers 009,1239,500,700,1243,1157,908,5747
E02004965,Three Rivers 010,1301,607,747,1391,1320,1582,6948
E02004966,Three Rivers 011,1158,607,791,1479,1537,1725,7297
E02004967,Three Rivers 012,1708,783,1219,1863,1412,893,7878
E02004968,Watford 001,1699,749,1014,1697,1435,1107,7701
E02004969,Watford 002,1478,675,923,1514,1534,1131,7255
E02004970,Watford 003,1882,795,1098,1882,1474,1270,8401
E02004971,Watford 004,1988,948,1244,2096,1398,994,8668
E02004972,Watford 005,1182,525,802,1423,1169,1072,6173
E02004973,Watford 006,1853,815,1809,2270,1308,649,8704
E02004974,Watford 007,1754,675,1308,2273,1496,1565,9071
E02004975,Watford 008,1692,827,856,1883,1586,1387,8231
E02004976,Watford 009,2066,1000,2804,3165,1552,826,11413
E02004977,Watford 010,2027,935,1769,2358,1375,696,9160
E02004978,Watford 011,2314,1060,1877,2506,1515,1024,10296
E02004979,Watford 012,1348,664,1016,1560,1419,1171,7178
E02004980,Welwyn Hatfield 001,1025,540,470,1097,1541,1529,6202
E02004981,Welwyn Hatfield 002,1625,713,906,1784,1619,1493,8140
E02004982,Welwyn Hatfield 003,1278,512,555,1192,1296,1135,5968
E02004983,Welwyn Hatfield 004,1281,520,809,1280,1130,1098,6118
E02004984,Welwyn Hatfield 005,1048,474,879,1291,1356,1240,6288
E02004985,Welwyn Hatfield 006,1181,566,685,1327,1424,1750,6933
E02004986,Welwyn Hatfield 007,1973,884,1700,1991,1443,796,8787
E02004987,Welwyn Hatfield 008,1804,687,1058,1793,1441,1012,7795
E02004988,Welwyn Hatfield 009,1820,773,1145,1750,1384,978,7850
E02004989,Welwyn Hatfield 010,1935,3797,1846,2164,1618,1196,12556
E02004990,Welwyn Hatfield 011,1259,789,1129,1617,1298,1193,7285
E02004991,Welwyn Hatfield 012,1604,1443,1513,1717,1199,754,8230
E02004992,Welwyn Hatfield 013,1582,3777,1494,1672,1109,768,10402
E02004994,Welwyn Hatfield 015,1111,642,553,1142,1353,1352,6153
E02004995,Welwyn Hatfield 016,929,537,466,983,1314,1413,5642
E02004996,Ashford 001,1689,676,763,1685,1760,1853,8426
E02004997,Ashford 002,1312,652,640,1343,2025,2219,8191
E02004998,Ashford 003,1231,655,676,1200,1476,1562,6800
E02005000,Ashford 005,2466,1383,2317,2478,2022,1439,12105
E02005001,Ashford 006,1838,849,1204,1873,1884,1915,9563
E02005002,Ashford 007,2242,917,1596,2008,1787,1490,10040
E02005003,Ashford 008,2242,1081,1439,1791,1629,1066,9248
E02005004,Ashford 009,2526,1277,1660,2550,2380,1408,11801
E02005005,Ashford 010,2131,805,1281,2012,2132,2032,10393
E02005006,Ashford 011,1054,484,533,933,1556,1649,6209
E02005007,Ashford 012,1669,813,1017,1657,2047,2162,9365
E02005008,Ashford 013,1210,702,708,1198,1879,3072,8769
E02005009,Ashford 014,967,478,513,979,1394,1630,5961
E02005010,Canterbury 001,1248,726,950,1375,1536,1757,7592
E02005011,Canterbury 002,952,551,521,1024,1678,2758,7484
E02005012,Canterbury 003,1517,910,853,1480,1885,2314,8959
E02005013,Canterbury 004,1252,704,748,1273,1847,2389,8213
E02005014,Canterbury 005,1149,597,547,1168,1976,3000,8437
E02005015,Canterbury 006,1954,877,1093,1764,1938,2022,9648
E02005016,Canterbury 007,1314,679,659,1333,1812,2011,7808
E02005017,Canterbury 008,1005,510,609,1301,1583,1629,6637
E02005018,Canterbury 009,1458,705,724,1474,1974,2397,8732
E02005019,Canterbury 010,1130,569,688,1172,1397,1568,6524
E02005020,Canterbury 011,1409,729,877,1373,1456,1678,7522
E02005021,Canterbury 012,1137,4982,653,1217,1271,1772,11032
E02005022,Canterbury 013,1095,2977,878,1078,1040,994,8062
E02005023,Canterbury 014,1742,2865,1543,1496,1162,918,9726
E02005025,Canterbury 016,1236,2928,1250,1399,1397,1684,9894
E02005026,Canterbury 017,1589,708,878,1635,1681,1586,8077
E02005027,Canterbury 018,856,485,478,896,1295,1507,5517
E02005028,Dartford 001,4196,1126,2692,3788,1602,964,14368
E02005029,Dartford 002,3711,1163,3284,3880,1938,951,14927
E02005030,Dartford 003,2725,1118,2062,2992,2038,1268,12203
E02005031,Dartford 004,1841,798,1413,1736,1413,937,8138
E02005032,Dartford 005,2111,870,1681,2260,1806,999,9727
E02005033,Dartford 006,1693,639,1280,1726,1373,893,7604
E02005034,Dartford 007,1480,797,816,1579,1636,1419,7727
E02005035,Dartford 008,1865,804,959,1914,1568,1429,8539
E02005036,Dartford 009,1592,685,875,1489,1189,903,6733
E02005037,Dartford 010,1262,706,685,1249,1511,1671,7084
E02005038,Dartford 011,1064,543,621,1112,1234,1425,5999
E02005039,Dartford 012,1409,583,866,1308,1395,1312,6873
E02005040,Dartford 013,1106,552,551,1177,1580,1864,6830
E02005041,Dover 001,1147,608,658,1202,1761,1870,7246
E02005042,Dover 002,1239,733,777,1328,2112,2732,8921
E02005043,Dover 003,992,550,678,1078,1713,2116,7127
E02005044,Dover 004,653,381,593,883,1568,1976,6054
E02005045,Dover 005,1902,788,1165,1655,1876,1966,9352
E02005046,Dover 006,2022,810,1526,1653,1568,1385,8964
E02005047,Dover 007,1329,631,784,1203,1603,2166,7716
E02005048,Dover 008,921,497,531,1031,1685,1931,6596
E02005049,Dover 009,839,407,401,926,1690,2670,6933
E02005050,Dover 010,1605,761,1068,1687,2041,2543,9705
E02005051,Dover 011,3121,1512,2024,2677,2529,1742,13605
E02005052,Dover 012,1612,859,1180,1561,1573,1568,8353
E02005053,Dover 013,1931,1011,1416,1771,1713,1315,9157
E02005054,Dover 014,966,496,622,1040,1641,1921,6686
E02005055,Gravesham 001,2224,798,1410,1848,1326,790,8396
E02005056,Gravesham 002,1906,1066,1880,2269,1699,1342,10162
E02005057,Gravesham 003,2656,1175,1754,2538,2026,1435,11584
E02005058,Gravesham 004,1899,765,1155,1655,1435,1098,8007
E02005059,Gravesham 005,1744,930,1190,1976,2008,1798,9646
E02005060,Gravesham 006,1826,842,1282,1712,1517,1463,8642
E02005061,Gravesham 007,1721,807,838,1512,1380,1238,7496
E02005062,Gravesham 008,1502,685,793,1369,1364,1371,7084
E02005063,Gravesham 009,1575,652,925,1423,1471,1280,7326
E02005064,Gravesham 010,1075,606,563,1078,1466,1777,6565
E02005065,Gravesham 011,1986,872,1168,1636,1499,1150,8311
E02005066,Gravesham 012,1211,651,654,1229,1767,2235,7747
E02005067,Gravesham 013,1022,516,537,1043,1378,1436,5932
E02005068,Maidstone 001,1328,626,868,1428,1704,1223,7177
E02005069,Maidstone 002,1712,817,1041,1950,1766,1799,9085
E02005070,Maidstone 003,1683,757,964,1779,1921,2648,9752
E02005071,Maidstone 004,1952,1514,2940,2861,1754,1269,12290
E02005072,Maidstone 005,1567,607,752,1638,1604,1873,8041
E02005073,Maidstone 006,2259,1302,2380,2911,2056,1458,12366
E02005074,Maidstone 007,1390,644,699,1525,1667,2107,8032
E02005075,Maidstone 008,2387,1072,1670,2457,2000,1475,11061
E02005076,Maidstone 009,2146,1010,1796,2247,1711,1101,10011
E02005077,Maidstone 010,1606,792,1005,1569,1586,1541,8099
E02005078,Maidstone 011,1640,776,997,1595,2273,2483,9764
E02005079,Maidstone 012,1783,738,924,1722,1760,2125,9052
E02005080,Maidstone 013,3058,1117,1819,2317,2013,1857,12181
E02005081,Maidstone 014,1074,532,634,1142,1628,1961,6971
E02005082,Maidstone 015,2506,952,1617,2352,2425,2117,11969
E02005083,Maidstone 016,1462,639,935,1423,1569,1822,7850
E02005084,Maidstone 017,1369,606,756,1352,1741,1683,7507
E02005085,Maidstone 018,1551,667,899,1517,1790,1456,7880
E02005086,Maidstone 019,1175,629,741,1220,1404,1526,6695
E02005087,Sevenoaks 001,1268,572,806,1260,1532,1703,7141
E02005088,Sevenoaks 002,2173,1012,1238,1930,1894,1669,9916
E02005089,Sevenoaks 003,1270,545,1008,1255,1392,1386,6856
E02005090,Sevenoaks 004,886,540,399,915,1290,1902,5932
E02005091,Sevenoaks 005,1177,560,705,1224,1452,1652,6770
E02005093,Sevenoaks 007,907,469,533,973,1371,1771,6024
E02005094,Sevenoaks 008,1930,715,1229,2090,1910,1855,9729
E02005095,Sevenoaks 009,1562,605,574,1493,1609,1723,7566
E02005096,Sevenoaks 010,2220,727,1154,2254,1787,1711,9853
E02005097,Sevenoaks 011,2377,764,619,2125,1961,1794,9640
E02005098,Sevenoaks 012,2051,932,903,1982,2092,2146,10106
E02005099,Sevenoaks 013,1486,628,754,1451,1875,1771,7965
E02005100,Sevenoaks 014,2027,801,1226,1984,1865,1978,9881
E02005101,Sevenoaks 015,1353,568,504,1349,1769,1529,7072
E02005102,Folkestone and Hythe 001,769,398,433,898,1534,2057,6089
E02005103,Folkestone and Hythe 002,2057,984,1221,1996,2033,1794,10085
E02005104,Folkestone and Hythe 003,1583,766,853,1375,1767,1653,7997
E02005105,Folkestone and Hythe 004,1825,798,1115,1624,1350,945,7657
E02005106,Folkestone and Hythe 005,1984,907,1529,1939,1970,1679,10008
E02005107,Folkestone and Hythe 006,2251,1358,1452,2358,2642,3038,13099
E02005109,Folkestone and Hythe 008,825,439,341,982,1531,2576,6694
E02005110,Folkestone and Hythe 009,1097,515,656,1068,1778,1993,7107
E02005111,Folkestone and Hythe 010,906,458,598,1038,1613,2572,7185
E02005112,Folkestone and Hythe 011,901,526,518,1020,1745,2346,7056
E02005113,Folkestone and Hythe 012,1010,525,623,961,1692,2442,7253
E02005114,Folkestone and Hythe 013,1048,499,609,961,1498,1724,6339
E02005115,Swale 001,1812,730,1041,1249,1165,710,6707
E02005116,Swale 002,1568,731,848,1095,1275,1027,6544
E02005117,Swale 003,976,503,691,1043,1503,1868,6584
E02005118,Swale 004,2260,1034,1490,2049,2185,1839,10857
E02005119,Swale 005,1279,612,867,1074,1323,1419,6574
E02005120,Swale 006,1217,885,1486,1897,2124,2024,9633
E02005121,Swale 007,3165,1450,2039,3068,2647,1669,14038
E02005122,Swale 008,1391,713,936,1369,1673,1729,7811
E02005123,Swale 009,2697,1228,1862,2608,2294,2067,12756
E02005124,Swale 010,1827,995,1399,1719,1497,1384,8821
E02005125,Swale 011,1916,731,1300,1705,1535,1361,8548
E02005126,Swale 012,1529,754,927,1468,1548,1938,8164
E02005127,Swale 013,1603,871,790,1683,1882,2058,8887
E02005128,Swale 014,1729,812,984,1680,1884,1884,8973
E02005129,Swale 015,2020,998,1492,2132,2288,2532,11462
E02005130,Swale 016,1733,811,1227,1744,2013,1993,9521
E02005131,Swale 017,956,487,514,1032,1398,1410,5797
E02005132,Thanet 001,2287,1034,1696,2243,1825,1548,10633
E02005133,Thanet 002,1192,577,729,1310,1885,2943,8636
E02005134,Thanet 003,1650,777,1401,1654,1534,978,7994
E02005135,Thanet 004,1648,749,1149,1517,1464,1358,7885
E02005136,Thanet 005,1434,712,864,1429,1739,1868,8046
E02005137,Thanet 006,1802,733,992,1380,1451,1363,7721
E02005138,Thanet 007,1456,727,1080,1464,1880,2440,9047
E02005139,Thanet 008,1057,520,648,1163,1840,3636,8864
E02005140,Thanet 009,1128,575,552,1175,1637,2490,7557
E02005141,Thanet 010,1089,554,607,1183,1592,2040,7065
E02005142,Thanet 011,1158,648,685,1175,1526,2103,7295
E02005143,Thanet 012,1594,791,894,1533,1711,1682,8205
E02005144,Thanet 013,2031,987,1207,1651,1675,1374,8925
E02005145,Thanet 014,1358,629,836,1412,1810,2010,8055
E02005146,Thanet 015,1753,896,1085,1694,1534,1178,8140
E02005147,Thanet 016,1427,850,1186,1553,1898,1790,8704
E02005148,Thanet 017,1101,562,672,1286,1737,2456,7814
E02005149,Tonbridge and Malling 001,2293,1085,1752,2396,2513,2065,12104
E02005150,Tonbridge and Malling 002,2487,1027,1758,2473,2241,1843,11829
E02005151,Tonbridge and Malling 003,2529,1096,1544,2392,2614,2541,12716
E02005153,Tonbridge and Malling 005,1976,813,1118,1803,1757,1975,9442
E02005154,Tonbridge and Malling 006,2383,944,1007,2326,2539,2552,11751
E02005155,Tonbridge and Malling 007,3010,1191,1016,2905,2645,1790,12557
E02005156,Tonbridge and Malling 008,1209,748,659,1138,1697,1762,7213
E02005157,Tonbridge and Malling 009,1363,630,645,1144,1363,1585,6730
E02005158,Tonbridge and Malling 010,1240,546,495,1290,1480,1563,6614
E02005159,Tonbridge and Malling 011,1499,675,631,1394,1588,1942,7729
E02005160,Tonbridge and Malling 012,2561,1197,1927,2781,2163,1879,12508
E02005161,Tonbridge and Malling 013,1754,755,1172,1955,1776,1190,8602
E02005162,Tunbridge Wells 001,1895,1000,1098,2009,2241,2266,10509
E02005163,Tunbridge Wells 002,1754,745,756,1771,1713,1341,8080
E02005164,Tunbridge Wells 003,1911,743,1281,2038,1585,1366,8924
E02005165,Tunbridge Wells 004,1305,617,672,1420,1660,1841,7515
E02005166,Tunbridge Wells 005,1555,682,947,1523,1271,936,6914
E02005167,Tunbridge Wells 006,1637,598,488,1460,1678,1800,7661
E02005168,Tunbridge Wells 007,1570,559,847,1661,1563,1371,7571
E02005169,Tunbridge Wells 008,1475,804,1955,2219,1551,1093,9097
E02005170,Tunbridge Wells 009,2037,722,1281,2211,1792,1804,9847
E02005171,Tunbridge Wells 010,1280,531,780,1324,1194,1092,6201
E02005172,Tunbridge Wells 011,1639,732,555,1569,2023,1744,8262
E02005173,Tunbridge Wells 012,1568,553,891,1748,1832,1838,8430
E02005174,Tunbridge Wells 013,1516,706,581,1212,1723,1837,7575
E02005175,Tunbridge Wells 014,1767,835,708,1370,1999,2038,8717
E02005503,Breckland 001,1226,587,798,1207,1632,2032,7482
E02005504,Breckland 002,1393,676,773,1359,2263,2782,9246
E02005505,Breckland 003,1346,694,832,1277,1533,1972,7654
E02005506,Breckland 004,1100,570,698,1094,1583,1966,7011
E02005507,Breckland 005,2009,1112,1447,2032,2195,2810,11605
E02005508,Breckland 006,1071,555,638,1169,1738,2075,7246
E02005509,Breckland 007,1311,624,945,1239,1656,2789,8564
E02005510,Breckland 008,1006,539,654,1025,1713,2391,7328
E02005511,Breckland 009,1316,721,1192,1371,1752,2615,8967
E02005512,Breckland 010,1632,893,1391,1966,2199,2025,10106
E02005513,Breckland 011,1814,965,1495,1871,2015,2432,10592
E02005514,Breckland 012,1062,455,618,1143,1703,1897,6878
E02005515,Breckland 013,1066,522,663,1121,1530,1570,6472
E02005516,Breckland 014,1147,529,681,1144,1607,1955,7063
E02005517,Breckland 015,1374,670,842,1229,1051,765,5931
E02005518,Breckland 016,1857,937,1695,2172,2106,1924,10691
E02005519,Breckland 017,1890,901,1239,1687,1617,1300,8634
E02005520,Broadland 001,1468,691,835,1448,1822,2677,8941
E02005521,Broadland 002,1328,720,724,1470,2079,2330,8651
E02005522,Broadland 003,839,460,469,964,1317,1447,5496
E02005523,Broadland 004,1578,785,987,1636,1881,1743,8610
E02005524,Broadland 005,808,407,547,865,1234,1470,5331
E02005525,Broadland 006,1647,865,1023,1860,2171,2271,9837
E02005526,Broadland 007,917,450,547,960,1171,1347,5392
E02005527,Broadland 008,1603,672,1015,1689,1890,2290,9159
E02005528,Broadland 009,1350,677,978,1627,1745,2119,8496
E02005529,Broadland 010,784,394,536,838,1291,1838,5681
E02005530,Broadland 011,850,385,623,994,1163,1427,5442
E02005531,Broadland 012,873,432,576,1012,1155,1296,5344
E02005532,Broadland 013,1553,719,1441,1727,1716,2373,9529
E02005533,Broadland 014,1456,689,782,1620,1994,2509,9050
E02005534,Broadland 015,1094,571,703,1307,1701,1989,7365
E02005535,Broadland 016,1226,672,763,1550,1521,1429,7161
E02005536,Broadland 017,937,448,551,1079,1391,1808,6214
E02005537,Broadland 018,904,536,546,944,1388,1707,6025
E02005538,Great Yarmouth 001,1193,780,809,1319,2435,3147,9683
E02005539,Great Yarmouth 002,1203,626,698,1210,1960,2318,8015
E02005540,Great Yarmouth 003,1131,621,796,1289,2004,2961,8802
E02005541,Great Yarmouth 004,1053,569,619,1010,1205,1444,5900
E02005542,Great Yarmouth 005,1420,764,1128,1395,1421,1082,7210
E02005543,Great Yarmouth 006,2075,1092,1391,1859,1748,1177,9342
E02005544,Great Yarmouth 007,1558,777,1091,1362,1355,1012,7155
E02005545,Great Yarmouth 008,996,527,604,1111,1336,1903,6477
E02005546,Great Yarmouth 009,1461,775,1117,1325,1607,1640,7925
E02005547,Great Yarmouth 010,1367,797,969,1522,1767,2084,8506
E02005548,Great Yarmouth 011,1503,692,1004,1269,1351,1599,7418
E02005549,Great Yarmouth 012,780,427,514,900,1349,1619,5589
E02005550,Great Yarmouth 013,1289,652,953,1312,1568,1953,7727
E02005551,King's Lynn and West Norfolk 001,504,304,339,561,1214,2309,5231
E02005552,King's Lynn and West Norfolk 002,814,401,476,903,1562,2384,6540
E02005553,King's Lynn and West Norfolk 003,965,526,564,1091,1936,3638,8720
E02005554,King's Lynn and West Norfolk 004,930,478,540,960,1526,2613,7047
E02005555,King's Lynn and West Norfolk 005,1068,520,528,1140,1513,2066,6835
E02005556,King's Lynn and West Norfolk 006,1361,656,1002,1423,1623,1708,7773
E02005557,King's Lynn and West Norfolk 007,1623,768,1143,1415,1130,795,6874
E02005558,King's Lynn and West Norfolk 008,1181,604,708,1211,1642,2011,7357
E02005559,King's Lynn and West Norfolk 009,1383,705,924,1547,1419,1380,7358
E02005560,King's Lynn and West Norfolk 010,2050,868,1624,1948,1433,1166,9089
E02005561,King's Lynn and West Norfolk 011,2017,1141,2002,2025,1913,1788,10886
E02005562,King's Lynn and West Norfolk 012,1142,537,714,1116,1844,2106,7459
E02005563,King's Lynn and West Norfolk 013,1331,696,856,1296,1926,1950,8055
E02005564,King's Lynn and West Norfolk 014,1546,937,1238,1586,1955,2386,9648
E02005565,King's Lynn and West Norfolk 015,1204,665,881,1266,1605,1730,7351
E02005566,King's Lynn and West Norfolk 016,1713,836,1139,1643,2537,2548,10416
E02005567,King's Lynn and West Norfolk 017,1846,838,1331,1902,2037,3395,11349
E02005568,King's Lynn and West Norfolk 018,1150,523,696,1188,1945,2093,7595
E02005569,King's Lynn and West Norfolk 019,1605,841,1034,1507,1883,1869,8739
E02005570,North Norfolk 001,858,475,441,913,1556,2845,7088
E02005571,North Norfolk 002,735,344,421,765,1387,2182,5834
E02005572,North Norfolk 003,912,509,604,1081,1632,2805,7543
E02005573,North Norfolk 004,748,410,372,662,1163,2393,5748
E02005574,North Norfolk 005,838,413,539,888,1820,2455,6953
E02005575,North Norfolk 006,899,534,525,948,1734,2338,6978
E02005576,North Norfolk 007,865,451,465,861,1602,2418,6662
E02005577,North Norfolk 008,849,417,597,881,1409,1823,5976
E02005578,North Norfolk 009,928,507,588,961,1434,1499,5917
E02005580,North Norfolk 011,1235,633,915,1263,1570,2401,8017
E02005581,North Norfolk 012,1085,473,816,1342,2040,2089,7845
E02005582,North Norfolk 013,942,520,663,994,1566,2118,6803
E02005583,North Norfolk 014,971,550,584,1096,2091,3313,8605
E02005584,Norwich 001,2241,1136,1819,2439,1934,1608,11177
E02005585,Norwich 002,2351,1328,1915,2436,1815,1359,11204
E02005586,Norwich 003,1592,1101,2404,2554,1589,1112,10352
E02005587,Norwich 004,2051,1036,1500,2037,1914,1795,10333
E02005588,Norwich 005,2529,2887,1807,2319,1803,1688,13033
E02005589,Norwich 006,2491,2410,1809,2304,1762,1488,12264
E02005592,Norwich 009,1243,1769,1645,1821,1451,1255,9184
E02005593,Norwich 010,1292,5376,964,1154,1011,1071,10868
E02005594,Norwich 011,1385,1554,1922,2176,1870,2032,10939
E02005595,Norwich 012,1425,1193,817,1522,1783,2638,9378
E02005596,Norwich 013,2019,1019,1516,2039,1631,1747,9971
E02005598,South Norfolk 002,1939,762,1123,2108,1876,2144,9952
E02005599,South Norfolk 003,1402,525,925,1417,1237,1696,7202
E02005600,South Norfolk 004,1271,700,482,929,1416,1611,6409
E02005601,South Norfolk 005,710,385,504,914,1201,1749,5463
E02005602,South Norfolk 006,2178,904,1368,2303,2757,3198,12708
E02005603,South Norfolk 007,2834,1102,1752,2712,2304,2114,12818
E02005604,South Norfolk 008,1386,793,843,1428,2001,2398,8849
E02005605,South Norfolk 009,1886,744,1021,2031,2332,2674,10688
E02005606,South Norfolk 010,841,495,485,1004,1458,1556,5839
E02005607,South Norfolk 011,1965,942,1158,2061,2689,2738,11553
E02005608,South Norfolk 012,1068,596,606,1200,1888,2268,7626
E02005609,South Norfolk 013,1244,536,738,1259,1563,2208,7548
E02005610,South Norfolk 014,1102,600,695,1279,2092,2321,8089
E02005611,South Norfolk 015,1659,899,1303,1985,2173,2901,10920
E02005921,Cherwell 001,1152,495,795,1249,1676,1531,6898
E02005922,Cherwell 002,1788,858,1510,1913,1701,1070,8840
E02005923,Cherwell 003,1291,608,875,1340,1068,833,6015
E02005924,Cherwell 004,2209,1365,2749,2821,2059,1396,12599
E02005925,Cherwell 005,2146,957,1180,1828,1554,1222,8887
E02005926,Cherwell 006,1412,832,1036,1645,1850,2249,9024
E02005927,Cherwell 007,969,498,832,1161,1083,1105,5648
E02005928,Cherwell 008,2373,931,1404,2182,2048,2166,11104
E02005929,Cherwell 009,1285,572,585,1324,1780,1796,7342
E02005930,Cherwell 010,1873,718,1045,1928,2013,1887,9464
E02005931,Cherwell 011,2292,970,1661,2529,2201,1605,11258
E02005932,Cherwell 012,1309,694,1058,1635,1350,683,6729
E02005933,Cherwell 013,1386,710,1153,1672,1549,1242,7712
E02005934,Cherwell 014,1573,796,1096,1759,1892,1731,8847
E02005935,Cherwell 015,1572,816,1629,1967,1537,1059,8580
E02005936,Cherwell 016,2706,1011,1878,2843,2528,2097,13063
E02005937,Cherwell 017,926,495,803,1204,1389,1724,6541
E02005938,Cherwell 018,1011,488,736,1197,1125,1123,5680
E02005939,Cherwell 019,1153,550,890,1284,1390,1518,6785
E02005940,Oxford 001,1162,521,634,1173,1298,1366,6154
E02005941,Oxford 002,1584,888,886,1228,1226,1272,7084
E02005942,Oxford 003,976,1154,772,1054,1130,1164,6250
E02005943,Oxford 004,1377,967,1213,1467,1143,1165,7332
E02005944,Oxford 005,1829,886,1585,1855,1328,910,8393
E02005945,Oxford 006,1541,2707,1842,1908,1571,1548,11117
E02005946,Oxford 007,1561,875,1344,1859,1518,1311,8468
E02005947,Oxford 008,797,11736,3170,1079,964,729,18475
E02005948,Oxford 009,842,1378,1553,1125,962,760,6620
E02005949,Oxford 010,1186,2133,1328,1365,928,681,7621
E02005950,Oxford 011,889,4225,2253,1672,1155,943,11137
E02005951,Oxford 012,858,681,1145,1190,929,776,5579
E02005953,Oxford 014,833,1058,1483,1158,867,618,6017
E02005954,Oxford 015,1838,1034,1931,2298,1836,1545,10482
E02005955,Oxford 016,2427,1113,1996,2595,1835,1267,11233
E02005956,Oxford 017,1403,708,1050,1297,1273,826,6557
E02005957,Oxford 018,1606,809,1048,1607,1208,629,6907
E02005958,South Oxfordshire 001,915,472,604,1036,1233,1120,5380
E02005959,South Oxfordshire 002,942,527,654,1031,1386,1356,5896
E02005960,South Oxfordshire 003,1656,591,864,1616,1443,1719,7889
E02005961,South Oxfordshire 004,1080,523,700,1230,1549,1656,6738
E02005962,South Oxfordshire 005,1925,822,1152,1985,2121,2163,10168
E02005963,South Oxfordshire 006,1340,657,811,1449,1912,1865,8034
E02005964,South Oxfordshire 007,1187,579,675,1279,1795,1785,7300
E02005965,South Oxfordshire 008,977,403,429,1022,1385,1303,5519
E02005966,South Oxfordshire 009,1613,759,1341,2065,1672,665,8115
E02005967,South Oxfordshire 010,2069,811,1835,2232,1407,1182,9536
E02005968,South Oxfordshire 011,1531,740,1254,1732,1358,1394,8009
E02005969,South Oxfordshire 012,1785,785,1036,1949,1984,2159,9698
E02005970,South Oxfordshire 013,920,553,989,1164,1206,679,5511
E02005971,South Oxfordshire 014,1178,584,870,1256,1288,1181,6357
E02005972,South Oxfordshire 015,2670,874,1818,2502,2068,2080,12012
E02005973,South Oxfordshire 016,925,430,608,1175,1188,1587,5913
E02005974,South Oxfordshire 017,1059,505,650,1233,1407,1419,6273
E02005975,South Oxfordshire 018,1531,693,521,1479,1910,2101,8235
E02005976,South Oxfordshire 019,1139,605,367,1070,1604,1555,6340
E02005977,South Oxfordshire 020,1152,449,456,1157,1337,1609,6160
E02005978,Vale of White Horse 001,1243,636,783,1414,1647,1879,7602
E02005979,Vale of White Horse 002,1725,1144,1355,2098,1998,1955,10275
E02005980,Vale of White Horse 003,2466,1379,1341,2095,2113,2369,11763
E02005981,Vale of White Horse 004,1495,638,998,1733,1950,1738,8552
E02005982,Vale of White Horse 005,1055,438,695,1217,1146,1187,5738
E02005983,Vale of White Horse 006,1853,1038,1752,2352,1976,2008,10979
E02005984,Vale of White Horse 007,1755,708,1003,1780,2074,1833,9153
E02005985,Vale of White Horse 008,1467,691,1037,1553,1470,1686,7904
E02005986,Vale of White Horse 009,1847,745,1193,1914,2000,1991,9690
E02005987,Vale of White Horse 010,2169,853,1346,2177,1952,1798,10295
E02005988,Vale of White Horse 011,1889,702,1499,1773,1621,1642,9126
E02005991,Vale of White Horse 014,1725,886,1310,1919,2013,2214,10067
E02005992,Vale of White Horse 015,3003,1043,1940,2938,2550,2440,13914
E02005993,West Oxfordshire 001,1264,571,870,1307,1456,1782,7250
E02005994,West Oxfordshire 002,1120,517,551,1158,1443,1480,6269
E02005995,West Oxfordshire 003,1006,494,451,1111,1507,1803,6372
E02005996,West Oxfordshire 004,1608,698,848,1755,1941,2083,8933
E02005997,West Oxfordshire 005,947,452,522,1014,1423,1598,5956
E02005998,West Oxfordshire 006,1299,491,753,1278,1454,1754,7029
E02005999,West Oxfordshire 007,1047,553,592,1104,1621,1627,6544
E02006000,West Oxfordshire 008,2195,1042,1316,2473,2417,2330,11773
E02006001,West Oxfordshire 009,1489,648,1115,1424,1338,1073,7087
E02006002,West Oxfordshire 010,1709,1029,1605,1976,2036,2414,10769
E02006003,West Oxfordshire 011,1043,518,627,1031,1340,1371,5930
E02006004,West Oxfordshire 012,963,1000,1114,1174,1561,1525,7337
E02006005,West Oxfordshire 013,2422,819,1933,2244,1624,990,10032
E02006006,West Oxfordshire 014,1022,455,693,1103,1242,1136,5651
E02006007,West Oxfordshire 015,1295,555,702,1290,1683,1783,7308
E02006227,Babergh 001,863,407,540,885,1634,2103,6432
E02006228,Babergh 002,1014,481,649,1016,1425,1575,6160
E02006229,Babergh 003,870,466,559,995,1294,1994,6178
E02006230,Babergh 004,1926,918,1040,1845,2266,3017,11012
E02006231,Babergh 005,1419,734,1041,1722,1894,1820,8630
E02006232,Babergh 006,955,512,537,1014,1398,1705,6121
E02006233,Babergh 007,1776,1057,1453,1963,2424,2949,11622
E02006234,Babergh 008,1975,1014,1278,1844,1911,1928,9950
E02006235,Babergh 009,1252,580,603,1381,2015,2369,8200
E02006236,Babergh 010,1636,853,785,1761,2382,3023,10440
