Middle layer Super Output Areas Code,Middle layer Super Output Areas,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Total
E02004870,Dacorum 015,2344,1087,2082,2548,1975,1579,11615
E02004871,Dacorum 016,1011,457,666,1025,1021,844,5024
E02004872,Dacorum 017,1449,636,769,1462,1511,1598,7425
E02004873,Dacorum 018,2192,945,1922,2707,2167,1732,11665
E02004874,Dacorum 019,1155,543,810,1309,1241,942,6000
E02004875,Dacorum 020,2314,1055,1560,2307,1828,1377,10441
E02004876,Dacorum 021,1523,819,1235,1875,2036,2009,9497
E02004877,Dacorum 022,949,484,516,1025,1176,1139,5289
E02004878,East Hertfordshire 001,1938,764,1126,1741,1896,1853,9318
E02004880,East Hertfordshire 003,2274,961,1197,2179,2477,1745,10833
E02004881,East Hertfordshire 004,1277,605,1023,1484,1228,1250,6867
E02004882,East Hertfordshire 005,1754,907,1066,1850,1608,1275,8460
E02004883,East Hertfordshire 006,1213,556,719,1134,1407,1218,6247
E02004884,East Hertfordshire 007,1866,1010,1677,2237,2051,1531,10372
E02004885,East Hertfordshire 008,1738,842,846,1815,2008,1332,8581
E02004886,East Hertfordshire 009,1276,542,696,1332,1471,1345,6662
E02004887,East Hertfordshire 010,1306,665,663,1391,1801,1704,7530
E02004888,East Hertfordshire 011,1617,720,803,1778,1807,2017,8742
E02004889,East Hertfordshire 012,2222,911,1502,2434,2106,2063,11238
E02004890,East Hertfordshire 013,1407,659,1297,1718,1749,1559,8389
E02004891,East Hertfordshire 014,1559,554,868,1730,1555,1631,7897
E02004892,East Hertfordshire 015,1276,517,845,1246,1155,872,5911
E02004893,East Hertfordshire 016,1333,552,841,1377,1242,633,5978
E02004894,East Hertfordshire 017,1723,753,1578,2155,1758,1663,9630
E02004895,East Hertfordshire 018,1832,1032,982,1716,2005,1819,9386
E02004896,Hertsmere 001,1145,767,939,1370,1646,2114,7981
E02004897,Hertsmere 002,1330,765,602,1315,1439,1360,6811
E02004898,Hertsmere 003,1450,808,967,1471,1569,1487,7752
E02004899,Hertsmere 004,1085,501,512,1127,1192,974,5391
E02004900,Hertsmere 005,1573,764,679,1627,1818,1724,8185
E02004901,Hertsmere 006,2256,1016,1562,2310,1823,1247,10214
E02004902,Hertsmere 007,1881,762,1148,1823,1421,1093,8128
E02004903,Hertsmere 008,1594,735,1022,1667,1453,1041,7512
E02004904,Hertsmere 009,1404,641,1008,1619,1331,865,6868
E02004905,Hertsmere 010,1285,597,686,1371,1332,1270,6541
E02004906,Hertsmere 011,2508,976,1679,2752,1843,1354,11112
E02004907,Hertsmere 012,2138,983,1200,2318,2109,2028,10776
E02004908,Hertsmere 013,1987,848,906,2189,2041,2582,10553
E02004909,North Hertfordshire 001,1115,486,919,1275,1079,938,5812
E02004910,North Hertfordshire 002,2266,881,1530,2376,2085,2493,11631
E02004911,North Hertfordshire 003,1343,550,871,1373,1351,1320,6808
E02004912,North Hertfordshire 004,1879,949,1294,2224,2294,1977,10617
E02004914,North Hertfordshire 006,1662,700,1145,1808,1459,1298,8072
E02004915,North Hertfordshire 007,1090,510,732,1204,1101,995,5632
E02004916,North Hertfordshire 008,1362,631,676,1404,1524,1819,7416
E02004917,North Hertfordshire 009,1137,589,715,1129,1283,1540,6393
E02004918,North Hertfordshire 010,1528,657,1502,2028,1412,1033,8160
E02004919,North Hertfordshire 011,1574,611,1069,1792,1438,1224,7708
E02004920,North Hertfordshire 012,2134,888,1440,2299,2287,2437,11485
E02004921,North Hertfordshire 013,1609,621,805,1889,1464,1482,7870
