Middle layer Super Output Areas Code,Middle layer Super Output Areas,Higher_managerial_administrative_and_professional_occupations,Lower_managerial_administrative_and_professional_occupations,Intermediate_occupations,Small_employers_and_own_account_workers,Lower_supervisory_and_technical_occupations,Semi_routine_occupations,Routine_occupations,Never_worked_and_long_term_unemployed,Full_time_students,Does_not_apply,total
E02006583,Crawley 009,926,1577,1190,704,479,981,937,495,405,1787,9481
E02006584,Crawley 010,407,928,827,480,449,949,1093,556,376,1776,7841
E02006585,Crawley 011,473,1105,951,650,484,944,964,501,421,1821,8314
E02006586,Crawley 012,309,891,736,558,497,1016,1122,569,466,1873,8037
E02006587,Crawley 013,437,1043,884,628,455,1076,1182,639,387,1801,8532
E02006588,Horsham 001,1475,2153,1154,991,440,826,659,430,340,1942,10410
E02006589,Horsham 002,1764,2491,1398,940,435,900,602,355,452,2007,11344
E02006590,Horsham 003,1232,1775,949,857,389,737,577,364,334,1568,8782
E02006591,Horsham 004,1191,1745,884,667,370,769,547,328,329,1441,8271
E02006592,Horsham 005,1064,1337,632,917,208,401,325,285,312,1196,6677
E02006593,Horsham 006,1560,2325,1156,866,483,1060,893,603,383,1959,11288
E02006594,Horsham 007,1591,2200,1195,891,435,916,609,331,392,2382,10942
E02006595,Horsham 008,1567,1862,855,878,242,511,341,277,638,1789,8960
E02006596,Horsham 009,1288,1840,1089,872,387,829,581,253,396,1828,9363
E02006597,Horsham 010,1681,2370,1220,1427,518,1008,789,426,459,2496,12394
E02006598,Horsham 011,772,1128,596,738,243,396,333,209,216,825,5456
E02006599,Horsham 012,1387,1670,784,936,204,419,259,240,196,795,6890
E02006600,Horsham 013,1324,1892,1054,1289,423,906,772,445,280,1481,9866
E02006601,Horsham 014,1190,1767,847,1198,331,696,548,457,421,1501,8956
E02006602,Horsham 015,1355,1783,792,1092,318,601,479,341,321,1632,8714
E02006603,Horsham 016,1273,1864,895,1121,317,636,454,319,308,1275,8462
E02006604,Mid Sussex 001,1559,2609,1388,1367,627,1260,1068,571,456,2377,13282
E02006605,Mid Sussex 002,864,1276,730,690,257,462,362,249,367,1108,6365
E02006606,Mid Sussex 003,1156,1749,1070,790,325,687,466,222,264,1621,8350
E02006607,Mid Sussex 004,1279,1626,915,805,295,619,431,287,289,1409,7955
E02006608,Mid Sussex 005,899,1265,770,683,246,517,357,235,213,1148,6333
E02006609,Mid Sussex 006,1102,1415,633,898,287,414,337,205,357,1241,6889
