Middle layer Super Output Areas Code,Middle layer Super Output Areas,Higher_managerial_administrative_and_professional_occupations,Lower_managerial_administrative_and_professional_occupations,Intermediate_occupations,Small_employers_and_own_account_workers,Lower_supervisory_and_technical_occupations,Semi_routine_occupations,Routine_occupations,Never_worked_and_long_term_unemployed,Full_time_students,Does_not_apply,total
E02000319,Greenwich 007,835,1416,788,911,389,1072,1064,1125,730,2287,10617
E02000320,Greenwich 008,541,915,664,583,301,645,700,651,481,1560,7041
E02000321,Greenwich 009,456,916,577,562,296,898,876,836,565,1739,7721
E02000323,Greenwich 011,1083,1723,824,969,501,1185,1236,1269,1171,2900,12861
E02000324,Greenwich 012,674,1119,551,614,312,713,757,801,580,1746,7867
E02000326,Greenwich 014,1325,1536,619,738,221,502,473,447,412,1522,7795
E02000327,Greenwich 015,541,1090,513,433,222,652,511,670,502,1493,6627
E02000328,Greenwich 016,1559,1421,423,445,146,331,321,392,316,1158,6512
E02000329,Greenwich 017,556,965,621,594,258,596,545,513,382,1302,6332
E02000331,Greenwich 019,886,1253,690,662,320,698,641,768,563,1755,8236
E02000332,Greenwich 020,918,1484,669,702,266,488,482,514,405,1523,7451
E02000333,Greenwich 021,1556,1446,442,457,120,327,236,289,251,1117,6241
E02000334,Greenwich 022,863,1107,549,609,245,496,511,518,423,1318,6639
E02000335,Greenwich 023,946,1267,738,591,240,460,403,365,273,1391,6674
E02000337,Greenwich 025,741,1116,757,800,345,786,825,768,509,1826,8473
E02000339,Greenwich 027,1027,1231,641,608,200,429,346,311,292,1208,6293
E02000340,Greenwich 028,966,1323,739,656,240,489,456,437,303,1255,6864
E02000341,Greenwich 029,555,949,675,727,343,817,733,757,488,1951,7995
E02000342,Greenwich 030,654,930,573,556,233,445,416,409,889,1241,6346
E02000343,Greenwich 031,765,1085,642,677,298,595,570,600,372,1441,7045
E02000344,Greenwich 032,843,1152,695,641,242,510,384,386,319,1258,6430
E02000345,Hackney 001,553,1039,879,576,151,434,414,701,613,2833,8193
E02000346,Hackney 002,1433,1485,599,591,306,664,652,1063,725,1882,9400
E02000347,Hackney 003,656,1159,676,462,142,461,419,822,707,2649,8153
E02000348,Hackney 004,476,986,724,444,178,536,478,918,658,2707,8105
E02000350,Hackney 006,1525,2017,776,875,274,560,583,841,679,2111,10241
E02000351,Hackney 007,2062,2042,569,607,245,532,476,719,689,1346,9287
E02000352,Hackney 008,1066,1375,447,581,150,352,328,573,393,1487,6752
E02000353,Hackney 009,1525,1776,511,702,191,361,402,584,432,1281,7765
E02000354,Hackney 010,1181,1772,665,812,329,667,762,1060,759,1604,9611
E02000355,Hackney 011,1213,1853,480,767,209,499,534,741,493,1405,8194
E02000356,Hackney 012,1527,1748,395,645,141,313,332,406,396,1131,7034
E02000357,Hackney 013,457,980,471,444,262,585,689,901,595,1461,6845
E02000358,Hackney 014,1851,2447,709,917,328,683,744,1038,687,1685,11089
E02000359,Hackney 015,868,1392,444,555,174,419,409,659,466,1309,6695
E02000360,Hackney 016,1303,1771,724,819,351,973,1005,1359,913,2295,11513
E02000361,Hackney 017,1273,1858,496,674,230,508,571,692,569,1188,8059
E02000362,Hackney 018,830,1318,496,564,249,486,539,816,518,1146,6962
E02000363,Hackney 019,1009,1645,753,738,332,1050,1152,1395,1088,2722,11884
E02000364,Hackney 020,1674,2075,595,775,235,520,572,753,585,1433,9217
E02000366,Hackney 022,1132,1484,538,672,245,572,644,933,637,1471,8328
E02000367,Hackney 023,2129,2372,622,860,290,565,586,721,753,1522,10420
E02000368,Hackney 024,1267,1699,628,700,325,759,816,1236,752,1740,9922
E02000369,Hackney 025,2647,2565,772,1002,374,802,915,1249,922,2206,13454
E02000370,Hackney 026,1720,1435,533,582,241,570,674,844,855,1410,8864
E02000372,Hammersmith and Fulham 001,1008,1558,701,791,407,802,936,1078,1229,1474,9984
E02000373,Hammersmith and Fulham 002,474,773,524,480,239,653,735,854,730,1572,7034
E02000374,Hammersmith and Fulham 003,833,1177,533,570,235,459,457,622,739,1287,6912
E02000375,Hammersmith and Fulham 004,1109,1345,516,682,249,511,560,656,673,1184,7485
E02000376,Hammersmith and Fulham 005,1153,1369,495,542,247,488,511,559,470,868,6702
E02000377,Hammersmith and Fulham 006,1136,1515,521,679,257,529,540,658,746,1214,7795
E02000378,Hammersmith and Fulham 007,1338,1317,443,523,211,416,393,460,478,853,6432
E02000379,Hammersmith and Fulham 008,1450,1577,460,629,161,343,352,537,459,1420,7388
E02000380,Hammersmith and Fulham 009,1211,1184,351,492,127,242,248,373,341,939,5508
E02000381,Hammersmith and Fulham 010,1756,1509,461,671,170,398,366,501,481,1316,7629
E02000382,Hammersmith and Fulham 011,1392,1278,367,513,173,284,248,427,578,930,6190
E02000383,Hammersmith and Fulham 012,1694,1687,567,623,219,521,513,698,1007,933,8462
E02000384,Hammersmith and Fulham 013,1427,1480,549,545,283,584,558,762,949,1130,8267
E02000385,Hammersmith and Fulham 014,1445,1327,381,387,159,246,263,258,635,515,5616
E02000386,Hammersmith and Fulham 015,1016,1205,548,580,302,597,606,771,818,1139,7582
E02000387,Hammersmith and Fulham 016,921,1199,425,405,218,419,388,491,754,805,6025
E02000388,Hammersmith and Fulham 017,2075,1813,506,661,209,475,491,569,792,1065,8656
E02000389,Hammersmith and Fulham 018,2033,1742,598,746,179,347,357,435,875,1334,8646
E02000390,Hammersmith and Fulham 019,1404,1202,400,492,149,345,377,395,527,905,6196
E02000391,Hammersmith and Fulham 020,1970,1422,454,674,119,344,308,488,475,1331,7585
E02000392,Hammersmith and Fulham 021,2203,1756,564,731,205,424,455,580,774,1539,9231
E02000393,Hammersmith and Fulham 022,1700,1299,363,463,91,186,188,238,457,990,5975
E02000394,Hammersmith and Fulham 023,2042,1794,652,789,194,465,429,677,680,1559,9281
E02000395,Hammersmith and Fulham 024,1550,1258,384,560,93,211,195,223,401,804,5679
E02000396,Hammersmith and Fulham 025,1425,1210,460,615,143,335,388,425,476,1424,6901
E02000397,Haringey 001,846,1255,529,1054,343,569,704,759,482,1366,7907
E02000398,Haringey 002,284,674,436,771,290,714,950,1101,702,1595,7517
E02000400,Haringey 004,1018,1417,514,884,239,522,536,684,543,1631,7988
E02000401,Haringey 005,372,848,487,652,296,676,687,927,663,1256,6864
E02000402,Haringey 006,304,719,463,610,239,651,753,893,558,1280,6470
E02000403,Haringey 007,848,1225,438,974,303,536,719,658,517,1295,7513
E02000404,Haringey 008,505,857,478,912,313,542,785,923,588,1208,7111
E02000405,Haringey 009,1446,1453,369,601,104,213,190,241,366,1491,6474
E02000406,Haringey 010,538,992,426,830,293,602,757,822,483,993,6736
E02000407,Haringey 011,479,926,461,894,308,694,922,920,568,1433,7605
E02000408,Haringey 012,435,941,506,943,321,687,954,1027,662,1776,8252
E02000409,Haringey 013,534,868,372,590,224,529,666,765,463,1049,6060
E02000410,Haringey 014,1412,1431,346,690,138,226,192,248,513,1222,6418
E02000411,Haringey 015,958,1504,681,1108,377,856,1068,1056,1764,2057,11429
E02000412,Haringey 016,593,1138,468,751,356,599,837,895,666,1019,7322
E02000413,Haringey 017,1614,1545,448,666,156,333,308,469,500,1724,7763
E02000414,Haringey 018,617,1112,422,904,276,540,808,645,523,1236,7083
E02000415,Haringey 019,768,1205,452,811,300,517,791,690,534,1174,7242
E02000416,Haringey 020,1549,1818,548,706,233,552,497,706,474,1368,8451
E02000417,Haringey 021,1569,1539,415,681,140,222,217,313,347,1113,6556
E02000418,Haringey 022,1332,1349,295,515,76,176,188,240,276,985,5432
E02000419,Haringey 023,1241,1663,605,823,369,593,829,776,504,1333,8736
E02000420,Haringey 024,778,1283,478,908,320,651,921,903,517,1231,7990
E02000421,Haringey 025,532,1123,500,855,342,733,1065,1014,913,1433,8510
E02000422,Haringey 026,604,1021,454,811,305,569,893,846,517,1436,7456
E02000423,Haringey 027,831,1307,421,662,304,561,794,679,392,956,6907
E02000424,Haringey 028,1424,1628,417,566,151,347,315,441,363,1103,6755
E02000425,Haringey 029,409,868,794,580,195,467,581,572,650,3053,8169
E02000426,Haringey 030,1591,1370,340,633,127,273,225,383,382,1168,6492
E02000427,Haringey 031,1133,1411,485,692,269,371,526,484,409,844,6624
E02000428,Haringey 032,696,1335,494,829,333,679,910,898,674,1587,8435
E02000429,Haringey 033,1910,1628,376,580,113,258,178,289,288,1171,6791
E02000430,Haringey 034,1573,1833,420,602,178,329,251,320,318,1096,6920
E02000431,Haringey 035,1662,1547,329,561,96,173,152,225,339,763,5847
E02000432,Haringey 036,1371,1426,375,500,168,329,361,459,348,782,6119
E02000433,Harrow 001,1503,1481,810,1170,151,508,318,746,493,1420,8600
E02000434,Harrow 002,1715,1573,863,1247,227,573,485,785,639,1741,9848
E02000435,Harrow 003,1040,1206,689,1011,177,514,467,841,631,1616,8192
E02000436,Harrow 004,1235,1124,579,677,93,279,168,362,306,935,5758
E02000437,Harrow 005,958,1386,832,1093,219,666,515,817,578,1696,8760
E02000438,Harrow 006,1128,1271,768,841,240,591,542,767,550,1850,8548
E02000439,Harrow 007,788,1163,693,1439,289,674,717,857,727,1919,9266
E02000440,Harrow 008,1440,1484,964,1266,203,550,468,678,645,1907,9605
E02000441,Harrow 009,1295,1239,624,725,156,482,342,661,459,1498,7481
E02000442,Harrow 010,657,1050,688,1889,255,758,787,827,790,1887,9588
E02000443,Harrow 011,874,1277,836,1227,333,807,916,1187,929,2361,10747
E02000444,Harrow 012,955,1115,753,1368,221,589,554,765,586,1808,8714
E02000445,Harrow 013,965,1435,857,1463,364,898,1062,1258,846,2623,11771
E02000447,Harrow 015,1321,1442,789,821,206,457,396,524,522,1714,8192
E02000448,Harrow 016,1649,1354,667,600,109,316,212,399,339,1424,7069
E02000449,Harrow 017,655,933,679,1350,235,731,737,851,637,1486,8294
E02000451,Harrow 019,1242,1278,668,725,120,357,271,403,415,1235,6714
E02000452,Harrow 020,1152,1421,687,1046,285,618,702,872,747,1973,9503
E02000453,Harrow 021,1233,1369,725,913,246,567,446,633,560,1694,8386
E02000454,Harrow 022,1578,1379,716,621,122,327,231,347,410,1608,7339
E02000455,Harrow 023,2109,2037,871,1096,273,673,585,1052,821,2152,11669
E02000456,Harrow 024,1089,1302,723,892,236,538,434,597,590,1423,7824
E02000457,Harrow 025,1183,1250,661,668,195,442,367,549,463,1281,7059
E02000459,Harrow 027,921,1280,812,948,277,757,728,919,703,1982,9327
E02000460,Harrow 028,740,1004,650,545,233,633,521,775,572,1639,7312
E02000461,Harrow 029,1080,1291,454,769,165,345,295,569,845,1475,7288
E02000462,Harrow 030,626,963,569,725,246,624,606,723,565,1335,6982
E02000463,Harrow 031,713,1125,812,828,305,766,738,917,736,1769,8709
E02000464,Havering 001,472,1052,754,818,343,800,737,660,429,1692,7757
E02000465,Havering 002,619,1266,876,938,425,871,934,687,501,2227,9344
E02000466,Havering 003,585,1314,964,979,373,981,787,701,449,1936,9069
E02000467,Havering 004,497,1260,976,1005,485,1225,1173,973,768,3094,11456
E02000468,Havering 005,590,1271,921,957,392,858,754,601,466,1842,8652
E02000469,Havering 006,433,858,716,762,327,703,760,623,404,1697,7283
E02000470,Havering 007,1345,1807,1264,977,377,718,638,538,385,1734,9783
E02000471,Havering 008,852,1425,1062,952,311,607,507,428,343,1333,7820
E02000472,Havering 009,835,1544,1165,1017,411,856,729,568,444,1902,9471
E02000473,Havering 010,1269,1798,1336,995,402,802,694,593,492,2112,10493
E02000474,Havering 011,744,1346,995,976,381,880,733,629,520,1981,9185
E02000475,Havering 012,1465,1793,1213,1051,328,653,499,519,384,1708,9613
E02000476,Havering 013,1005,1562,910,947,359,775,708,792,497,1812,9367
E02000477,Havering 014,1340,1805,1306,952,335,727,563,436,424,1648,9536
E02000478,Havering 015,1036,1026,735,760,144,348,264,486,294,899,5992
E02000479,Havering 016,898,1567,1012,927,372,789,676,702,561,1946,9450
E02000480,Havering 017,1177,2139,1356,1279,513,1112,1087,1083,870,3226,13842
E02000481,Havering 018,928,1476,1221,728,315,702,535,404,347,1577,8233
E02000482,Havering 019,1165,1293,968,547,196,416,263,250,309,1178,6585
E02000483,Havering 020,846,1419,1032,840,355,721,607,508,313,1360,8001
E02000484,Havering 021,878,1521,1214,849,359,708,598,452,425,1488,8492
E02000485,Havering 022,1105,1536,1139,818,370,622,530,434,330,1589,8473
E02000486,Havering 023,775,1264,1072,690,344,679,619,424,300,1187,7354
E02000487,Havering 024,1344,1598,1238,707,244,503,319,314,330,1314,7911
E02000488,Havering 025,887,1383,1162,676,355,704,523,389,266,1234,7579
E02000489,Havering 026,800,1335,997,801,393,799,728,589,425,1768,8635
E02000490,Havering 027,579,1247,1066,794,399,809,831,608,445,1691,8469
E02000491,Havering 028,681,1442,1103,1028,457,994,1022,819,701,2390,10637
E02000492,Havering 029,552,1036,879,719,342,680,632,498,289,1203,6830
E02000493,Havering 030,456,822,690,675,281,648,713,520,380,1554,6739
E02000494,Hillingdon 001,1865,1551,751,759,127,353,260,542,381,1367,7956
E02000495,Hillingdon 002,1625,1837,974,1177,287,653,596,665,571,2032,10417
E02000496,Hillingdon 003,829,1436,853,820,368,632,602,520,324,1417,7801
E02000497,Hillingdon 004,1553,1729,984,868,275,649,491,611,448,1915,9523
E02000498,Hillingdon 005,911,1247,733,591,287,423,363,365,255,1199,6374
E02000499,Hillingdon 006,1401,1519,928,666,243,435,373,410,395,1359,7729
E02000500,Hillingdon 007,1502,1740,936,793,251,480,339,438,440,1359,8278
E02000501,Hillingdon 008,1309,1659,1000,713,321,552,463,417,375,1667,8476
E02000502,Hillingdon 009,1283,1735,882,738,377,556,554,481,421,1902,8929
E02000503,Hillingdon 010,1221,1662,1065,727,337,611,533,429,370,1734,8689
E02000504,Hillingdon 011,1385,1599,901,689,216,426,322,293,320,1491,7642
E02000506,Hillingdon 013,1389,1610,811,862,217,425,384,476,407,1380,7961
E02000507,Hillingdon 014,844,1343,844,733,366,627,609,550,485,1841,8242
E02000508,Hillingdon 015,1536,1956,961,718,363,671,638,736,2225,2145,11949
E02000509,Hillingdon 016,869,1328,726,682,304,637,644,735,2930,1701,10556
E02000510,Hillingdon 017,977,1518,1020,767,334,720,663,663,651,1801,9114
E02000511,Hillingdon 018,703,1297,1003,953,421,909,949,870,699,2131,9935
E02000512,Hillingdon 019,591,1178,778,810,366,724,830,900,635,2010,8822
E02000513,Hillingdon 020,456,988,690,821,410,981,955,1167,711,2581,9760
E02000514,Hillingdon 021,573,1166,835,889,410,1058,1154,1208,938,2443,10674
E02000515,Hillingdon 022,1212,1955,1171,1056,573,1069,1176,1075,1137,2867,13291
E02000516,Hillingdon 023,532,998,689,798,334,828,917,970,642,1939,8647
E02000517,Hillingdon 024,620,1156,848,848,425,1020,1028,1214,785,2526,10470
E02000518,Hillingdon 025,645,1156,880,752,410,877,975,899,780,2258,9632
E02000519,Hillingdon 026,483,1015,694,783,377,919,1008,1217,824,2234,9554
E02000520,Hillingdon 027,928,1465,1068,1126,562,1210,1625,1734,1073,3271,14062
E02000521,Hillingdon 028,1214,1601,1058,980,542,1093,1287,1295,986,3135,13191
E02000522,Hillingdon 029,788,1296,866,866,446,804,910,853,565,2179,9573
E02000523,Hillingdon 030,820,1322,885,933,517,1050,1303,1255,948,2335,11368
E02000524,Hillingdon 031,438,989,740,652,467,654,1009,679,434,1473,7535
E02000525,Hillingdon 032,475,994,866,716,517,1033,1377,1074,648,2359,10059
E02000526,Hounslow 001,2188,1859,549,807,184,297,310,407,575,1464,8640
E02000529,Hounslow 004,645,1149,814,819,353,902,926,1221,725,2162,9716
E02000530,Hounslow 005,312,668,570,659,312,820,914,1107,675,2079,8116
E02000531,Hounslow 006,1750,2189,909,1196,382,670,774,851,702,2163,11586
E02000532,Hounslow 007,1907,1821,603,912,218,429,421,508,466,1691,8976
E02000533,Hounslow 008,1874,1790,510,805,174,378,328,457,448,1636,8400
E02000534,Hounslow 009,1371,1494,792,893,283,479,504,579,545,1618,8558
E02000535,Hounslow 010,742,1184,925,975,419,869,1115,1141,743,1939,10052
E02000536,Hounslow 011,850,1398,868,1059,383,978,1056,1236,873,2143,10844
E02000537,Hounslow 012,1173,1338,808,1105,356,725,837,846,949,1708,9845
E02000538,Hounslow 013,548,982,872,773,529,969,1573,1200,718,1945,10109
E02000539,Hounslow 014,1611,2280,967,1091,420,786,878,833,748,2610,12224
E02000540,Hounslow 015,1249,1773,928,1078,552,975,1118,1071,763,2614,12121
E02000541,Hounslow 016,560,1070,854,860,504,971,1609,1287,737,2166,10618
E02000542,Hounslow 017,827,1363,971,969,563,1187,1422,1384,891,2726,12303
E02000543,Hounslow 018,1429,1785,1058,1264,651,1090,1345,1310,966,3103,14001
E02000544,Hounslow 019,932,1337,864,981,347,638,709,618,585,1546,8557
E02000545,Hounslow 020,1052,1508,677,824,305,730,681,764,606,2090,9237
E02000546,Hounslow 021,714,1231,887,984,410,880,1118,1168,790,2243,10425
E02000547,Hounslow 022,625,1405,1049,871,566,1148,1329,992,658,2356,10999
E02000548,Hounslow 023,507,1307,1017,851,530,1104,1192,976,642,2453,10579
E02000549,Hounslow 024,850,1658,1151,1163,601,1248,1430,1089,922,2420,12532
E02000550,Hounslow 025,798,1370,977,789,484,1034,1183,928,665,2484,10712
E02000551,Hounslow 026,467,1130,738,921,454,1046,1098,953,619,2325,9751
E02000552,Hounslow 027,679,1316,971,804,466,789,938,704,522,2069,9258
E02000553,Hounslow 028,500,992,671,723,342,617,726,571,371,1601,7114
E02000554,Islington 001,1175,1672,715,662,317,702,742,1001,650,1720,9356
E02000555,Islington 002,1679,1838,671,652,269,609,590,865,794,1603,9570
E02000556,Islington 003,2088,2513,766,740,339,690,711,977,963,1609,11396
E02000557,Islington 004,1544,1774,679,658,246,552,586,781,636,1324,8780
E02000558,Islington 005,959,1323,660,614,322,724,846,1290,877,1818,9433
E02000559,Islington 006,2389,2005,586,647,226,417,418,636,611,1647,9582
E02000560,Islington 007,1404,1574,473,565,230,382,504,531,742,950,7355
E02000561,Islington 008,1736,1691,432,596,147,268,340,402,676,1100,7388
E02000562,Islington 009,1734,1611,487,572,212,439,452,632,502,1225,7866
E02000563,Islington 010,1189,1475,593,560,285,606,739,958,833,1444,8682
E02000564,Islington 011,2775,2702,774,767,357,655,657,804,1324,1605,12420
E02000565,Islington 012,1347,1622,506,662,223,504,596,901,757,1424,8542
E02000566,Islington 013,2378,1823,471,543,163,353,384,544,581,1317,8557
E02000567,Islington 014,2350,2209,641,802,287,633,610,862,557,1487,10438
E02000568,Islington 015,1617,1702,736,753,365,797,965,1217,1432,1756,11340
E02000569,Islington 016,2162,1793,642,671,263,565,614,876,648,1705,9939
E02000570,Islington 017,2588,1761,453,639,145,314,298,456,499,1133,8286
E02000571,Islington 018,1985,1485,551,600,246,567,586,774,710,1419,8923
E02000572,Islington 019,991,1187,632,540,279,690,698,1056,1074,1455,8602
E02000573,Islington 020,3108,2067,556,664,193,476,392,674,897,1286,10313
E02000574,Islington 021,1761,1361,464,543,175,409,401,604,1306,809,7833
E02000575,Islington 022,2592,1812,607,711,244,525,574,834,1981,1434,11314
E02000576,Islington 023,2041,1574,674,685,298,701,712,946,1346,1692,10669
E02000577,Kensington and Chelsea 001,612,1085,535,660,278,715,742,1036,912,1137,7712
E02000578,Kensington and Chelsea 002,449,789,412,500,174,577,563,891,556,1092,6003
E02000579,Kensington and Chelsea 003,1347,1621,638,869,278,600,640,867,625,1509,8994
E02000580,Kensington and Chelsea 004,1328,1461,551,795,238,645,580,872,475,950,7895
E02000581,Kensington and Chelsea 005,676,982,545,598,248,657,706,1129,608,1241,7390
E02000582,Kensington and Chelsea 006,1871,1296,329,652,108,267,255,385,564,815,6542
E02000583,Kensington and Chelsea 007,1789,1207,371,702,98,285,248,361,465,901,6427
E02000584,Kensington and Chelsea 008,2133,1311,374,700,93,239,146,405,599,1175,7175
E02000585,Kensington and Chelsea 009,1878,1359,373,770,164,418,327,784,639,1377,8089
E02000586,Kensington and Chelsea 010,1899,1016,237,658,63,203,163,583,750,903,6475
E02000587,Kensington and Chelsea 011,1983,1137,311,643,83,204,119,477,602,937,6496
E02000588,Kensington and Chelsea 012,1781,989,251,695,56,268,134,415,612,782,5983
E02000589,Kensington and Chelsea 013,1939,1121,383,662,104,249,195,511,1277,810,7251
E02000590,Kensington and Chelsea 014,1247,1035,364,576,118,421,290,590,586,747,5974
E02000591,Kensington and Chelsea 015,1333,1049,344,496,139,332,306,687,758,766,6210
E02000592,Kensington and Chelsea 016,1842,986,220,589,53,163,150,290,646,824,5763
E02000593,Kensington and Chelsea 017,1882,1292,350,672,107,312,259,544,1045,931,7394
E02000594,Kensington and Chelsea 018,1811,1224,339,725,129,367,318,451,405,716,6485
E02000595,Kensington and Chelsea 019,1634,1068,309,708,64,287,224,497,498,875,6164
E02000596,Kensington and Chelsea 020,1822,1337,321,641,89,241,222,371,754,820,6618
E02000597,Kensington and Chelsea 021,982,1062,363,625,170,494,418,748,495,979,6336
E02000598,Kingston upon Thames 001,1626,1591,682,764,140,339,236,332,483,1900,8093
E02000599,Kingston upon Thames 002,1541,1205,526,775,100,280,195,513,647,1223,7005
E02000600,Kingston upon Thames 003,1482,1764,590,655,204,468,330,425,630,1813,8361
E02000601,Kingston upon Thames 004,2649,2411,794,841,201,529,392,584,811,2691,11903
E02000602,Kingston upon Thames 005,1316,1670,679,738,273,666,609,711,1603,2048,10313
E02000603,Kingston upon Thames 006,985,1262,638,719,288,694,626,712,928,1782,8634
E02000604,Kingston upon Thames 007,1606,1725,769,863,230,551,416,575,551,1956,9242
E02000605,Kingston upon Thames 008,1507,1581,719,744,215,546,398,576,460,1743,8489
E02000606,Kingston upon Thames 009,2242,2253,730,794,239,481,377,449,1561,1434,10560
E02000607,Kingston upon Thames 010,1285,1385,476,515,149,300,230,232,1000,1221,6793
E02000608,Kingston upon Thames 011,1600,1627,520,579,167,361,323,343,722,956,7198
E02000609,Kingston upon Thames 012,1076,1300,706,818,214,544,408,626,525,1414,7631
E02000610,Kingston upon Thames 013,1681,1699,620,642,217,480,422,463,497,1232,7953
E02000611,Kingston upon Thames 014,1351,1490,717,680,171,438,302,326,473,1492,7440
E02000612,Kingston upon Thames 015,1462,1556,912,788,238,533,342,510,422,1490,8253
E02000613,Kingston upon Thames 016,1474,1639,615,715,227,480,404,378,403,1758,8093
E02000614,Kingston upon Thames 017,1042,1434,820,970,331,858,657,610,670,1902,9294
E02000615,Kingston upon Thames 018,879,1417,846,839,328,641,542,396,403,1590,7881
E02000616,Kingston upon Thames 019,664,1132,784,607,272,471,458,221,266,1185,6060
E02000617,Kingston upon Thames 020,900,1545,929,853,376,803,729,530,430,1769,8864
E02000619,Lambeth 002,1327,1581,657,625,301,720,816,830,701,1541,9099
E02000620,Lambeth 003,1918,1962,658,709,284,626,806,669,887,1326,9845
E02000621,Lambeth 004,2909,2515,808,845,326,714,792,844,1536,1232,12521
E02000622,Lambeth 005,1688,1766,564,555,256,544,715,603,665,1047,8403
E02000623,Lambeth 006,959,1264,590,612,353,650,927,670,628,1208,7861
E02000624,Lambeth 007,1938,1822,704,647,231,612,812,805,692,1368,9631
E02000625,Lambeth 008,1347,1449,619,589,331,740,1102,793,727,1606,9303
E02000626,Lambeth 009,769,1184,644,625,296,750,964,822,736,1572,8362
E02000627,Lambeth 010,1860,1864,643,629,302,669,773,699,815,1299,9553
E02000628,Lambeth 011,1440,1691,705,791,403,842,1246,1137,983,1547,10785
E02000629,Lambeth 012,2424,2185,631,562,260,475,485,554,512,1026,9114
E02000630,Lambeth 013,2053,1807,488,504,182,382,386,414,394,928,7538
E02000631,Lambeth 014,1879,2059,586,666,265,573,632,555,736,1570,9521
E02000632,Lambeth 015,2938,2560,697,482,240,511,521,471,479,686,9585
E02000633,Lambeth 016,1588,1844,624,547,289,662,762,815,716,1313,9160
E02000634,Lambeth 017,1363,1467,549,410,202,427,493,521,462,879,6773
E02000635,Lambeth 018,2117,2252,698,697,278,556,574,622,683,1336,9813
E02000636,Lambeth 019,2461,1826,445,577,117,217,253,296,318,1210,7720
E02000637,Lambeth 020,2045,2190,561,530,277,382,523,424,473,994,8399
E02000638,Lambeth 021,1540,1964,758,809,401,773,1018,830,661,1498,10252
E02000639,Lambeth 022,988,1451,656,655,335,717,990,703,660,1166,8321
E02000640,Lambeth 023,2491,2097,641,553,191,413,394,431,501,1580,9292
