Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does_not_apply,Less_than_2km,2km_to_less_than_5km,5km_to_less_than_10km,10km_to_less_than_20km,20km_to_less_than_30km,30km_to_less_than_40km,40km_to_less_than_60km,60km_and_over,outside_the_UK,Works_mainly_from_home,Total
E02000374,Hammersmith and Fulham 003,3574,353,420,500,153,17,8,8,22,419,1440,6914
E02000375,Hammersmith and Fulham 004,3562,420,426,486,152,33,6,10,25,518,1849,7487
E02000376,Hammersmith and Fulham 005,2803,420,469,519,167,17,12,15,11,423,1844,6700
E02000377,Hammersmith and Fulham 006,3627,429,445,561,181,32,5,9,16,506,1986,7797
E02000378,Hammersmith and Fulham 007,2701,343,404,469,133,17,7,8,16,335,1999,6432
E02000379,Hammersmith and Fulham 008,3623,286,388,465,196,22,5,4,19,362,2017,7387
E02000380,Hammersmith and Fulham 009,2479,245,257,302,141,19,8,6,12,251,1788,5508
E02000381,Hammersmith and Fulham 010,3499,327,450,404,102,18,6,10,11,298,2502,7627
E02000382,Hammersmith and Fulham 011,2866,239,306,413,133,14,7,9,20,272,1911,6190
E02000383,Hammersmith and Fulham 012,3912,408,638,469,145,20,11,12,31,388,2429,8463
E02000384,Hammersmith and Fulham 013,3939,433,553,584,200,23,20,10,27,390,2086,8265
E02000385,Hammersmith and Fulham 014,2034,232,389,402,124,22,3,11,8,278,2110,5613
E02000386,Hammersmith and Fulham 015,3753,527,538,438,140,32,13,8,25,498,1610,7582
E02000387,Hammersmith and Fulham 016,2806,475,494,383,106,25,7,6,18,350,1355,6025
E02000388,Hammersmith and Fulham 017,3631,449,541,557,154,26,16,9,25,406,2844,8658
E02000389,Hammersmith and Fulham 018,3952,376,425,474,155,25,9,6,22,379,2821,8644
E02000390,Hammersmith and Fulham 019,2666,309,371,407,85,19,5,6,14,321,1992,6195
E02000391,Hammersmith and Fulham 020,3521,288,373,468,108,20,18,7,15,284,2485,7587
E02000392,Hammersmith and Fulham 021,4073,397,454,632,147,33,12,4,27,394,3056,9229
E02000393,Hammersmith and Fulham 022,2469,195,318,406,89,18,3,11,17,202,2245,5973
E02000394,Hammersmith and Fulham 023,4216,377,560,643,158,30,12,11,25,471,2779,9282
E02000395,Hammersmith and Fulham 024,2498,182,275,404,103,18,4,15,14,208,1960,5681
E02000396,Hammersmith and Fulham 025,3398,295,385,429,122,13,9,6,17,293,1931,6898
E02000397,Haringey 001,3725,229,418,585,527,49,8,16,18,816,1516,7907
E02000398,Haringey 002,4533,268,321,457,551,62,18,17,43,719,529,7518
E02000400,Haringey 004,4090,195,382,512,429,44,12,14,25,629,1656,7988
E02000401,Haringey 005,3939,258,345,476,404,53,16,13,22,613,725,6864
E02000402,Haringey 006,3715,254,328,491,387,52,14,16,26,568,622,6473
E02000403,Haringey 007,3531,191,285,628,569,54,11,7,23,838,1377,7514
E02000404,Haringey 008,3745,247,343,518,438,40,15,17,29,785,935,7112
E02000405,Haringey 009,3182,159,167,363,174,29,7,10,15,258,2112,6476
E02000406,Haringey 010,3310,240,353,583,369,62,21,9,22,712,1058,6739
E02000407,Haringey 011,3953,342,345,669,436,69,23,17,38,829,886,7607
E02000408,Haringey 012,4621,312,387,614,468,71,31,21,53,829,849,8256
E02000409,Haringey 013,3249,258,279,493,292,44,16,11,19,484,916,6061
E02000410,Haringey 014,2998,158,239,419,189,18,11,9,12,333,2031,6417
E02000411,Haringey 015,5843,339,488,962,728,92,34,17,54,1081,1792,11430
E02000412,Haringey 016,3547,281,370,808,375,69,13,11,22,702,1124,7322
E02000413,Haringey 017,3932,155,234,529,259,32,5,4,30,351,2234,7765
E02000414,Haringey 018,3345,251,327,655,401,58,12,16,39,807,1171,7082
E02000415,Haringey 019,3462,228,307,722,344,35,21,7,17,701,1398,7242
E02000416,Haringey 020,3763,275,361,643,229,38,11,18,16,485,2614,8453
E02000417,Haringey 021,3023,166,222,495,149,22,10,8,16,294,2151,6556
E02000418,Haringey 022,2597,130,156,347,92,17,8,4,17,238,1825,5431
E02000419,Haringey 023,3741,305,407,938,363,67,12,7,27,698,2172,8737
E02000420,Haringey 024,3718,274,407,831,387,65,14,14,32,772,1474,7988
E02000421,Haringey 025,4435,224,434,871,469,96,12,15,56,808,1092,8512
E02000422,Haringey 026,3896,229,362,677,296,54,12,14,22,727,1172,7461
E02000423,Haringey 027,2979,244,387,807,224,43,9,10,25,572,1605,6905
E02000424,Haringey 028,2909,209,327,501,143,36,5,11,11,351,2252,6755
E02000425,Haringey 029,5053,944,210,451,203,24,6,18,16,591,652,8168
E02000426,Haringey 030,3194,141,255,470,117,26,11,3,17,230,2029,6493
E02000427,Haringey 031,2606,150,369,744,187,36,10,8,19,520,1975,6624
E02000428,Haringey 032,4165,337,523,857,322,43,22,16,24,698,1429,8436
E02000429,Haringey 033,2977,149,227,464,102,24,12,8,18,271,2543,6795
E02000430,Haringey 034,2641,241,318,601,123,32,11,8,17,348,2582,6922
E02000431,Haringey 035,2194,137,180,475,98,18,8,4,21,288,2424,5847
E02000432,Haringey 036,2373,152,336,574,131,28,9,13,21,346,2138,6121
E02000433,Harrow 001,4707,164,311,384,502,125,35,33,16,498,1824,8599
E02000434,Harrow 002,4945,274,420,478,638,113,55,21,37,753,2113,9847
E02000435,Harrow 003,4604,153,388,445,489,114,45,29,24,634,1267,8192
E02000436,Harrow 004,2971,67,268,281,264,115,18,21,12,277,1464,5758
E02000437,Harrow 005,4781,243,481,449,531,112,28,11,41,767,1320,8764
E02000438,Harrow 006,4791,180,475,391,429,162,23,19,44,580,1451,8545
E02000439,Harrow 007,4793,345,412,485,619,122,32,34,42,1183,1198,9265
E02000440,Harrow 008,4809,278,501,515,591,130,36,28,48,800,1867,9603
E02000441,Harrow 009,4069,162,299,375,337,183,31,18,23,415,1565,7477
E02000442,Harrow 010,4776,368,506,597,646,126,37,37,62,1415,1015,9585
E02000443,Harrow 011,5926,471,514,548,675,128,26,23,29,1029,1379,10748
E02000444,Harrow 012,4554,267,489,491,506,108,31,29,50,921,1273,8719
E02000445,Harrow 013,6404,475,570,606,848,124,22,27,64,1234,1397,11771
E02000447,Harrow 015,4134,291,439,406,467,107,21,18,43,535,1728,8189
E02000448,Harrow 016,3834,152,278,252,276,143,27,21,16,265,1807,7071
E02000449,Harrow 017,4210,279,545,500,572,93,26,25,48,1045,954,8297
E02000451,Harrow 019,3423,155,303,283,318,149,41,14,34,420,1573,6713
E02000452,Harrow 020,4767,483,351,499,696,139,34,20,37,841,1634,9501
E02000453,Harrow 021,4117,343,379,457,519,107,18,17,38,659,1732,8386
E02000454,Harrow 022,3779,169,303,365,340,137,28,9,28,332,1850,7340
E02000455,Harrow 023,5584,711,398,522,867,127,20,15,52,832,2540,11668
E02000456,Harrow 024,3855,329,341,416,513,117,20,22,39,695,1476,7823
E02000457,Harrow 025,3635,187,345,400,392,121,16,19,28,437,1479,7059
E02000459,Harrow 027,4914,342,529,587,647,89,33,19,49,751,1367,9327
E02000460,Harrow 028,3956,221,480,455,426,113,22,8,36,541,1055,7313
E02000461,Harrow 029,3859,361,294,366,501,62,11,15,16,461,1344,7290
E02000462,Harrow 030,3674,227,409,536,519,81,18,21,37,589,871,6982
E02000463,Harrow 031,4785,296,527,571,563,120,30,30,41,696,1048,8707
E02000464,Havering 001,4227,262,281,436,438,352,63,29,27,796,845,7756
E02000465,Havering 002,4934,323,374,461,525,416,113,41,40,937,1182,9346
E02000466,Havering 003,5030,188,611,438,474,270,56,27,21,917,1037,9069
E02000467,Havering 004,6683,477,606,475,546,390,87,35,32,1084,1043,11458
E02000468,Havering 005,4695,188,537,466,509,252,43,17,20,899,1024,8650
E02000469,Havering 006,4048,257,388,293,405,289,56,33,29,717,770,7285
E02000470,Havering 007,4776,262,418,326,469,513,82,37,29,772,2099,9783
E02000471,Havering 008,4132,252,405,350,366,253,45,19,19,720,1261,7822
E02000472,Havering 009,4932,327,585,421,580,307,53,23,34,866,1344,9472
E02000473,Havering 010,5239,318,613,362,538,446,73,33,23,824,2024,10493
E02000474,Havering 011,4842,393,488,408,556,237,53,18,35,881,1273,9184
E02000475,Havering 012,4920,270,436,295,434,423,60,26,33,732,1983,9612
E02000476,Havering 013,4617,568,366,343,557,396,48,21,32,809,1605,9362
E02000477,Havering 014,4729,409,425,313,413,359,54,25,32,761,2015,9535
E02000478,Havering 015,3251,117,280,250,282,204,45,18,15,377,1150,5989
E02000479,Havering 016,4643,555,386,339,527,397,54,19,35,921,1571,9447
E02000480,Havering 017,7199,1042,612,559,788,439,67,35,51,1244,1806,13842
E02000481,Havering 018,4401,182,243,496,336,355,75,15,22,634,1475,8234
E02000482,Havering 019,3567,183,155,260,194,277,40,15,14,342,1541,6588
E02000483,Havering 020,4139,248,461,308,361,340,48,21,21,675,1380,8002
E02000484,Havering 021,4199,444,461,340,410,285,50,26,30,733,1512,8490
E02000485,Havering 022,4211,247,366,352,329,360,61,18,27,683,1822,8476
E02000486,Havering 023,3768,223,388,292,381,313,49,19,11,667,1244,7355
E02000487,Havering 024,4282,175,207,376,241,285,28,16,19,479,1805,7913
E02000488,Havering 025,3824,191,442,344,343,312,36,9,18,641,1423,7583
E02000489,Havering 026,4510,191,593,350,510,309,37,19,35,771,1309,8634
E02000490,Havering 027,4469,158,520,484,508,249,49,15,32,839,1145,8468
E02000491,Havering 028,5750,251,486,831,654,294,69,19,36,1018,1230,10638
E02000492,Havering 029,3626,138,260,511,358,243,44,13,26,680,932,6831
E02000493,Havering 030,3628,187,208,551,410,249,36,12,23,629,804,6737
E02000494,Hillingdon 001,4262,156,231,323,376,268,50,27,27,301,1937,7958
E02000495,Hillingdon 002,5340,366,344,583,543,340,38,15,36,789,2022,10416
E02000496,Hillingdon 003,3941,329,314,576,536,146,48,31,29,652,1198,7800
E02000497,Hillingdon 004,4924,246,367,535,465,251,44,17,35,606,2030,9520
E02000498,Hillingdon 005,3392,179,298,346,325,150,20,11,16,455,1184,6376
E02000499,Hillingdon 006,4012,205,302,430,396,132,27,12,26,479,1706,7727
E02000500,Hillingdon 007,4209,249,275,475,421,206,20,14,23,480,1906,8278
E02000501,Hillingdon 008,4160,295,341,573,494,170,19,9,18,601,1795,8475
E02000502,Hillingdon 009,4328,269,423,507,560,268,37,25,34,656,1821,8928
E02000503,Hillingdon 010,4068,380,330,634,583,216,25,13,20,645,1770,8684
E02000504,Hillingdon 011,3872,185,348,419,351,200,43,11,27,482,1705,7643
E02000506,Hillingdon 013,4070,200,317,456,359,223,44,26,24,511,1732,7962
E02000507,Hillingdon 014,4226,214,625,591,383,209,30,19,23,659,1260,8239
E02000508,Hillingdon 015,6399,531,408,657,625,346,67,32,44,710,2130,11949
E02000509,Hillingdon 016,6255,519,310,524,526,269,47,28,42,667,1368,10555
E02000510,Hillingdon 017,4731,547,503,628,448,183,47,23,29,652,1323,9114
E02000511,Hillingdon 018,5236,288,856,775,484,179,35,23,42,885,1129,9932
E02000512,Hillingdon 019,4913,340,608,588,387,174,33,11,40,741,988,8823
E02000513,Hillingdon 020,5780,259,650,810,461,137,25,28,35,862,715,9762
E02000514,Hillingdon 021,6110,367,744,904,498,153,51,24,56,873,896,10676
E02000515,Hillingdon 022,6927,642,794,720,755,355,48,35,60,1093,1864,13293
E02000516,Hillingdon 023,4817,281,518,796,397,97,30,13,41,792,864,8646
E02000517,Hillingdon 024,5971,375,724,800,544,167,24,20,30,846,968,10469
E02000518,Hillingdon 025,5406,488,646,583,462,200,36,16,31,778,984,9630
E02000519,Hillingdon 026,5657,417,557,755,435,115,41,27,53,727,771,9555
E02000520,Hillingdon 027,7919,610,847,1140,697,209,71,19,63,1115,1371,14061
E02000521,Hillingdon 028,7084,477,1011,671,697,267,64,31,64,1063,1761,13190
E02000522,Hillingdon 029,5140,316,734,487,513,208,34,26,35,793,1290,9576
E02000523,Hillingdon 030,5971,483,954,827,586,173,47,22,44,920,1340,11367
E02000524,Hillingdon 031,3768,398,731,483,446,148,35,31,44,662,791,7537
E02000525,Hillingdon 032,5496,435,1022,719,520,159,57,14,43,800,798,10063
E02000526,Hounslow 001,3945,248,348,556,263,50,14,12,30,373,2799,8638
E02000529,Hounslow 004,5513,387,682,731,450,88,33,26,55,680,1072,9717
E02000530,Hounslow 005,4871,279,638,558,319,72,35,17,28,676,624,8117
E02000531,Hounslow 006,5495,447,668,679,619,61,22,14,35,889,2654,11583
E02000532,Hounslow 007,4539,288,320,455,298,33,18,9,21,510,2485,8976
E02000533,Hounslow 008,4053,244,320,424,348,26,13,11,36,435,2494,8404
E02000534,Hounslow 009,4144,366,495,532,460,46,31,12,26,623,1821,8556
E02000535,Hounslow 010,5551,368,818,675,497,128,46,22,44,764,1140,10053
E02000536,Hounslow 011,5926,396,766,776,568,96,42,29,50,816,1378,10843
E02000537,Hounslow 012,4838,353,625,737,635,80,25,31,42,892,1588,9846
E02000538,Hounslow 013,5394,497,962,928,523,123,49,18,69,724,823,10110
E02000539,Hounslow 014,5961,627,662,795,591,63,25,10,37,883,2571,12225
E02000540,Hounslow 015,6148,485,782,929,803,85,40,21,37,887,1907,12124
E02000541,Hounslow 016,5831,469,884,917,588,123,35,31,66,809,861,10614
E02000542,Hounslow 017,6747,539,880,996,727,134,39,21,59,863,1298,12303
E02000543,Hounslow 018,7113,546,943,1022,945,109,30,36,66,1167,2025,14002
E02000544,Hounslow 019,4251,405,550,568,466,76,25,12,31,796,1377,8557
E02000545,Hounslow 020,4964,477,467,515,405,52,24,18,28,635,1650,9235
E02000546,Hounslow 021,5610,426,719,764,518,98,47,12,55,946,1233,10428
E02000547,Hounslow 022,5916,445,878,891,594,208,40,18,35,882,1087,10994
E02000548,Hounslow 023,5653,409,954,877,493,204,45,18,66,951,904,10574
E02000549,Hounslow 024,6397,531,1020,1022,655,210,44,30,59,1170,1397,12535
E02000550,Hounslow 025,5507,487,744,901,510,225,49,16,40,847,1386,10712
E02000551,Hounslow 026,5429,435,726,755,497,118,37,18,40,870,826,9751
E02000552,Hounslow 027,4661,339,668,842,473,190,34,12,44,827,1168,9258
E02000553,Hounslow 028,3821,260,524,546,322,107,26,9,24,663,812,7114
E02000554,Islington 001,4822,404,494,724,181,46,6,11,24,492,2148,9352
E02000555,Islington 002,4654,363,502,682,167,34,12,12,18,479,2651,9574
E02000556,Islington 003,4920,398,638,911,230,89,25,19,33,564,3566,11393
E02000557,Islington 004,4019,398,588,630,161,43,12,10,21,460,2439,8781
E02000558,Islington 005,5387,346,635,655,204,39,17,9,18,524,1599,9433
E02000559,Islington 006,3980,250,603,630,156,32,8,8,17,388,3507,9579
E02000560,Islington 007,3014,259,561,543,124,30,6,5,22,404,2388,7356
E02000561,Islington 008,3238,212,473,408,95,23,6,10,24,342,2555,7386
E02000562,Islington 009,3540,224,594,407,117,15,7,7,13,369,2573,7866
E02000563,Islington 010,4472,401,684,443,132,29,11,7,31,491,1980,8681
E02000564,Islington 011,5053,484,1145,637,243,43,14,12,36,559,4197,12423
E02000565,Islington 012,4117,254,679,414,163,24,13,10,20,469,2379,8542
E02000566,Islington 013,3562,225,686,314,113,22,4,9,24,310,3287,8556
E02000567,Islington 014,4490,314,853,472,151,28,6,4,21,492,3608,10439
E02000568,Islington 015,6116,522,910,409,180,41,8,13,38,611,2492,11340
E02000569,Islington 016,4892,323,737,335,129,33,6,7,27,440,3012,9941
E02000570,Islington 017,3350,280,655,227,117,17,11,9,12,314,3293,8285
E02000571,Islington 018,4254,359,706,352,116,13,12,4,17,424,2663,8920
E02000572,Islington 019,4710,506,714,317,174,39,21,13,25,476,1607,8602
E02000573,Islington 020,4247,447,755,280,126,22,19,9,31,378,3999,10313
E02000574,Islington 021,3761,473,512,215,89,23,8,5,22,358,2366,7832
E02000575,Islington 022,5552,735,622,281,110,23,11,15,41,481,3440,11311
E02000576,Islington 023,5469,747,621,348,117,29,8,10,43,500,2780,10672
E02000577,Kensington and Chelsea 001,4361,458,615,396,107,13,7,12,27,514,1198,7708
E02000578,Kensington and Chelsea 002,3701,286,372,361,65,19,7,5,23,373,792,6004
E02000579,Kensington and Chelsea 003,4638,375,561,506,120,22,4,18,34,560,2155,8993
E02000580,Kensington and Chelsea 004,3856,394,572,366,96,23,13,9,21,563,1986,7899
E02000581,Kensington and Chelsea 005,4458,389,450,445,113,27,5,9,19,435,1043,7393
E02000582,Kensington and Chelsea 006,3024,186,465,273,76,8,8,5,18,266,2216,6545
E02000583,Kensington and Chelsea 007,2981,206,357,334,77,11,1,8,14,222,2215,6426
E02000584,Kensington and Chelsea 008,3559,142,441,231,89,8,0,17,20,225,2444,7176
E02000585,Kensington and Chelsea 009,4240,268,407,350,78,19,3,6,17,326,2373,8087
E02000586,Kensington and Chelsea 010,3419,182,351,199,61,9,7,8,28,206,2001,6471
E02000587,Kensington and Chelsea 011,3240,208,336,234,50,5,4,9,16,204,2190,6496
E02000588,Kensington and Chelsea 012,3012,264,341,184,44,5,6,8,13,235,1875,5987
E02000589,Kensington and Chelsea 013,3605,254,383,298,93,14,1,11,18,275,2298,7250
E02000590,Kensington and Chelsea 014,3199,277,392,171,85,13,6,1,19,260,1549,5972
E02000591,Kensington and Chelsea 015,3190,269,358,245,87,22,9,3,17,283,1729,6212
E02000592,Kensington and Chelsea 016,2708,181,328,202,60,8,6,8,21,233,2012,5767
E02000593,Kensington and Chelsea 017,3672,257,377,298,93,14,4,4,19,304,2359,7401
E02000594,Kensington and Chelsea 018,3221,227,340,235,87,6,9,16,27,258,2055,6481
E02000595,Kensington and Chelsea 019,3203,204,327,210,68,19,8,4,21,193,1908,6165
E02000596,Kensington and Chelsea 020,3053,311,387,291,61,6,2,3,18,242,2246,6620
E02000597,Kensington and Chelsea 021,3598,295,394,250,64,13,2,2,13,329,1376,6336
E02000598,Kingston upon Thames 001,4260,345,324,276,272,32,23,9,16,302,2234,8093
E02000599,Kingston upon Thames 002,3990,100,334,275,288,25,22,13,31,280,1649,7007
E02000600,Kingston upon Thames 003,4150,685,352,362,348,39,16,10,30,402,1966,8360
E02000601,Kingston upon Thames 004,5874,616,333,404,528,70,26,9,48,435,3562,11905
E02000602,Kingston upon Thames 005,5585,775,355,485,421,62,22,20,32,506,2048,10311
E02000603,Kingston upon Thames 006,4641,659,477,428,374,62,22,16,38,603,1316,8636
E02000604,Kingston upon Thames 007,4597,420,469,414,486,50,31,12,15,531,2225,9250
E02000605,Kingston upon Thames 008,4432,299,429,388,386,52,14,5,19,424,2039,8487
E02000606,Kingston upon Thames 009,4714,672,405,401,545,93,27,26,38,466,3173,10560
E02000607,Kingston upon Thames 010,3430,291,262,248,267,48,20,10,13,327,1878,6794
E02000608,Kingston upon Thames 011,2885,311,353,255,386,100,18,18,19,401,2453,7199
E02000609,Kingston upon Thames 012,4179,244,470,363,380,53,15,20,24,498,1382,7628
E02000610,Kingston upon Thames 013,3495,294,472,359,420,86,23,10,16,459,2321,7955
E02000611,Kingston upon Thames 014,3932,247,398,298,308,71,12,11,18,408,1734,7437
E02000612,Kingston upon Thames 015,4226,225,518,405,411,80,26,11,23,512,1817,8254
E02000613,Kingston upon Thames 016,3963,318,423,301,346,97,27,13,14,485,2100,8087
E02000614,Kingston upon Thames 017,4594,438,770,493,518,114,27,14,29,794,1503,9294
E02000615,Kingston upon Thames 018,3833,352,557,471,394,123,33,20,20,739,1336,7878
E02000616,Kingston upon Thames 019,2763,288,373,469,337,126,17,10,13,557,1111,6064
E02000617,Kingston upon Thames 020,4372,374,586,656,453,159,17,14,22,805,1404,8862
E02000619,Lambeth 002,4468,479,869,373,164,29,22,11,31,572,2082,9100
E02000620,Lambeth 003,4254,480,997,441,176,25,15,14,41,575,2828,9846
E02000621,Lambeth 004,5011,381,1244,649,256,41,16,15,51,690,4167,12521
E02000622,Lambeth 005,3303,302,889,494,164,34,19,15,23,474,2687,8404
E02000623,Lambeth 006,3605,337,896,558,180,36,19,10,48,589,1580,7858
E02000624,Lambeth 007,3942,322,913,687,175,40,16,13,35,597,2893,9633
E02000625,Lambeth 008,4101,401,910,776,252,38,17,26,28,704,2051,9304
E02000626,Lambeth 009,4193,420,688,701,214,39,9,7,45,659,1387,8362
E02000627,Lambeth 010,3778,292,739,879,213,32,13,11,31,628,2936,9552
E02000628,Lambeth 011,4894,467,790,1121,270,49,15,24,59,777,2326,10792
E02000629,Lambeth 012,3055,261,631,844,171,43,17,20,24,479,3570,9115
E02000630,Lambeth 013,2708,172,502,652,136,23,8,8,17,317,2995,7538
E02000631,Lambeth 014,3962,546,534,833,189,24,12,16,25,547,2836,9524
E02000632,Lambeth 015,2461,231,625,1084,185,33,8,19,27,426,4487,9586
E02000633,Lambeth 016,3903,285,576,911,209,45,13,22,27,564,2604,9159
E02000634,Lambeth 017,2736,180,450,637,172,28,11,9,28,365,2156,6772
E02000635,Lambeth 018,3744,332,464,1020,210,54,15,15,30,555,3375,9814
E02000636,Lambeth 019,2696,154,341,667,141,22,13,7,14,283,3384,7722
E02000637,Lambeth 020,2771,185,415,926,185,27,12,3,19,440,3417,8400
E02000638,Lambeth 021,4509,313,529,1092,270,48,13,25,33,737,2689,10258
E02000639,Lambeth 022,3611,275,515,1052,252,51,22,18,29,682,1814,8321
E02000640,Lambeth 023,3574,200,401,780,216,41,16,10,13,371,3671,9293
E02000641,Lambeth 024,4480,238,534,961,191,45,24,10,40,616,1490,8629
E02000642,Lambeth 025,4463,245,534,869,205,27,11,8,27,563,2857,9809
E02000643,Lambeth 026,3818,234,435,943,268,41,18,9,30,577,3003,9376
E02000644,Lambeth 027,3647,206,423,847,251,40,10,13,25,590,2468,8520
E02000645,Lambeth 028,4361,246,437,838,326,44,15,9,28,588,2641,9533
E02000646,Lambeth 029,3899,267,482,994,323,35,15,18,29,640,2795,9497
E02000647,Lambeth 030,4110,244,380,684,292,36,16,12,18,565,2235,8592
E02000648,Lambeth 031,4162,221,409,677,317,36,6,23,22,541,1411,7825
E02000649,Lambeth 032,5043,241,600,1241,680,60,40,10,37,1122,3403,12477
E02000650,Lambeth 033,3663,171,306,582,415,21,14,14,21,502,1956,7665
E02000651,Lambeth 034,3935,206,396,719,583,44,33,4,26,753,2037,8736
E02000652,Lambeth 035,3676,170,412,635,424,43,10,13,23,783,1370,7559
E02000653,Lewisham 001,5452,333,940,1157,453,72,34,9,52,723,3384,12609
