Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does_not_apply,Less_than_2km,2km_to_less_than_5km,5km_to_less_than_10km,10km_to_less_than_20km,20km_to_less_than_30km,30km_to_less_than_40km,40km_to_less_than_60km,60km_and_over,outside_the_UK,Works_mainly_from_home,Total
E02005970,South Oxfordshire 013,2364,397,374,393,294,136,38,27,43,419,1027,5512
E02005971,South Oxfordshire 014,3001,442,360,358,344,173,45,23,42,510,1059,6357
E02005972,South Oxfordshire 015,5808,300,488,425,735,404,91,79,94,717,2872,12013
E02005973,South Oxfordshire 016,3094,417,97,124,196,135,89,66,20,353,1323,5914
E02005974,South Oxfordshire 017,3177,435,35,144,199,100,86,57,23,324,1693,6273
E02005975,South Oxfordshire 018,4421,201,138,277,422,173,47,46,70,446,1995,8236
E02005976,South Oxfordshire 019,3444,69,206,199,163,113,71,68,30,295,1682,6340
E02005977,South Oxfordshire 020,3346,131,125,397,172,137,51,32,37,372,1361,6161
E02005978,Vale of White Horse 001,3836,112,320,670,347,67,56,35,50,355,1749,7597
E02005979,Vale of White Horse 002,4965,262,773,631,361,103,75,25,70,558,2454,10277
E02005980,Vale of White Horse 003,6324,459,502,785,466,127,89,50,100,724,2137,11763
E02005981,Vale of White Horse 004,3874,414,466,775,294,107,91,27,38,519,1948,8553
E02005982,Vale of White Horse 005,2782,359,202,502,244,61,38,25,28,324,1174,5739
E02005983,Vale of White Horse 006,5101,897,222,854,595,108,72,41,64,633,2395,10982
E02005984,Vale of White Horse 007,4438,129,115,449,974,141,52,46,88,550,2174,9156
E02005985,Vale of White Horse 008,4115,622,293,366,492,93,41,34,43,563,1243,7905
E02005986,Vale of White Horse 009,4790,447,98,270,838,558,88,58,74,663,1806,9690
E02005987,Vale of White Horse 010,4990,188,593,555,573,164,83,60,69,692,2328,10295
E02005988,Vale of White Horse 011,4368,473,336,293,701,483,88,57,46,658,1626,9129
E02005991,Vale of White Horse 014,4868,748,206,305,679,542,56,39,52,670,1902,10067
E02005992,Vale of White Horse 015,6790,424,547,611,757,489,104,73,100,755,3266,13916
E02005993,West Oxfordshire 001,3681,576,76,235,410,300,139,34,52,557,1191,7251
E02005994,West Oxfordshire 002,3134,170,139,189,460,291,69,36,93,452,1236,6269
E02005995,West Oxfordshire 003,3300,155,106,240,401,217,92,21,70,437,1333,6372
E02005996,West Oxfordshire 004,4401,202,162,370,854,159,48,57,72,522,2084,8931
E02005997,West Oxfordshire 005,3116,116,116,305,379,147,29,27,55,429,1236,5955
E02005998,West Oxfordshire 006,3545,154,142,497,509,110,33,42,56,447,1493,7028
E02005999,West Oxfordshire 007,3168,163,417,304,401,202,52,34,53,556,1192,6542
E02006000,West Oxfordshire 008,5598,973,449,430,977,186,76,49,73,760,2202,11773
E02006001,West Oxfordshire 009,3259,769,274,290,473,254,56,30,45,568,1069,7087
E02006002,West Oxfordshire 010,5283,1256,294,518,752,234,78,41,49,740,1527,10772
