Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,total
E02000001,City of London 001,2937,1547,347,75,8,4914
E02000002,Barking and Dagenham 001,954,1085,613,194,24,2870
E02000003,Barking and Dagenham 002,1649,1467,667,145,2,3930
E02000004,Barking and Dagenham 003,1014,829,365,98,3,2309
E02000005,Barking and Dagenham 004,1544,1252,620,201,13,3630
E02000007,Barking and Dagenham 006,1335,1320,739,265,16,3675
E02000008,Barking and Dagenham 007,1546,1729,1017,306,26,4624
E02000009,Barking and Dagenham 008,1578,1600,811,252,13,4254
E02000010,Barking and Dagenham 009,1219,1241,634,211,22,3327
E02000011,Barking and Dagenham 010,904,912,433,90,13,2352
E02000012,Barking and Dagenham 011,1394,1145,605,134,9,3287
E02000013,Barking and Dagenham 012,1103,1216,695,225,15,3254
E02000014,Barking and Dagenham 013,1177,1262,692,245,12,3388
E02000015,Barking and Dagenham 014,1041,1145,632,202,13,3033
E02000016,Barking and Dagenham 015,1433,1449,694,214,21,3811
E02000017,Barking and Dagenham 016,1018,1086,473,180,8,2765
E02000018,Barking and Dagenham 017,1086,1234,673,231,10,3234
E02000019,Barking and Dagenham 018,1202,1178,633,187,4,3204
E02000020,Barking and Dagenham 019,1946,1710,792,217,7,4672
E02000021,Barking and Dagenham 020,1098,1155,530,138,8,2929
E02000022,Barking and Dagenham 021,1146,1020,463,153,12,2794
E02000023,Barking and Dagenham 022,961,983,520,175,23,2662
E02000024,Barnet 001,2505,1458,430,80,4,4477
E02000025,Barnet 002,1800,1231,538,156,22,3747
E02000026,Barnet 003,1392,744,316,51,7,2510
E02000027,Barnet 004,1712,1176,601,183,13,3685
E02000028,Barnet 005,1477,841,309,57,8,2692
E02000029,Barnet 006,1852,1186,502,154,13,3707
E02000030,Barnet 007,2006,1037,379,90,7,3519
E02000031,Barnet 008,1960,972,322,69,4,3327
E02000032,Barnet 009,1499,928,272,44,1,2744
E02000033,Barnet 010,1744,1126,498,117,7,3492
E02000034,Barnet 011,1863,1184,417,115,9,3588
E02000035,Barnet 012,1859,1126,415,114,15,3529
E02000036,Barnet 013,1900,1364,525,148,7,3944
E02000037,Barnet 014,1970,1186,474,81,6,3717
E02000038,Barnet 015,2078,1279,521,117,10,4005
E02000039,Barnet 016,1500,856,235,79,6,2676
E02000040,Barnet 017,1944,1011,443,106,7,3511
E02000041,Barnet 018,1510,1160,522,113,21,3326
E02000042,Barnet 019,2146,1619,697,209,46,4717
E02000043,Barnet 020,1674,754,200,35,4,2667
E02000044,Barnet 021,1222,1123,540,170,15,3070
E02000045,Barnet 022,1952,1381,661,192,15,4201
E02000046,Barnet 023,1513,960,319,77,10,2879
E02000047,Barnet 024,1418,1685,828,266,13,4210
E02000048,Barnet 025,2186,1215,441,95,12,3949
E02000049,Barnet 026,1445,1341,713,271,32,3802
E02000050,Barnet 027,1861,1371,613,179,10,4034
E02000051,Barnet 028,1931,1229,473,132,28,3793
E02000052,Barnet 029,2200,1409,457,117,8,4191
E02000054,Barnet 031,1400,986,457,108,20,2971
E02000055,Barnet 032,1893,1713,692,189,21,4508
E02000056,Barnet 033,2212,936,252,36,6,3442
E02000057,Barnet 034,1298,885,384,111,28,2706
E02000058,Barnet 035,2216,1287,454,125,16,4098
E02000059,Barnet 036,1855,1608,747,207,20,4437
E02000060,Barnet 037,1694,1246,545,165,45,3695
E02000061,Barnet 038,1891,1154,376,110,43,3574
E02000062,Barnet 039,939,972,496,189,20,2616
E02000063,Barnet 040,1237,1010,423,134,29,2833
E02000064,Barnet 041,1323,908,393,121,17,2762
E02000065,Bexley 001,1143,1039,452,132,9,2775
E02000066,Bexley 002,1301,1338,661,228,20,3548
E02000067,Bexley 003,1793,1388,617,167,18,3983
E02000068,Bexley 004,1331,1095,606,149,15,3196
E02000069,Bexley 005,1298,1043,365,96,8,2810
E02000070,Bexley 006,1433,1114,489,97,7,3140
E02000071,Bexley 007,1288,1044,415,82,5,2834
E02000072,Bexley 008,1957,1550,858,299,21,4685
E02000073,Bexley 009,2122,1327,428,74,6,3957
E02000074,Bexley 010,1373,1258,671,186,15,3503
E02000075,Bexley 011,1597,1114,382,52,4,3149
E02000077,Bexley 013,1421,981,435,96,3,2936
E02000078,Bexley 014,1607,992,357,58,5,3019
E02000079,Bexley 015,1858,1211,433,79,7,3588
E02000080,Bexley 016,1890,1334,504,84,3,3815
E02000081,Bexley 017,1589,1121,461,105,3,3279
E02000082,Bexley 018,1920,1087,379,54,3,3443
E02000083,Bexley 019,2166,1462,654,148,14,4444
E02000084,Bexley 020,2297,1390,445,64,3,4199
E02000085,Bexley 021,1553,1064,386,69,1,3073
E02000086,Bexley 022,1542,905,289,50,2,2788
E02000087,Bexley 023,1842,1091,335,48,2,3318
E02000088,Bexley 024,1644,938,342,52,4,2980
E02000089,Bexley 025,1598,973,276,53,4,2904
E02000090,Bexley 026,2229,1385,475,99,6,4194
E02000091,Bexley 027,2165,1521,631,126,7,4450
E02000092,Bexley 028,1122,935,477,170,10,2714
E02000093,Brent 001,1696,1398,541,101,4,3740
E02000094,Brent 002,1561,1220,546,138,2,3467
E02000095,Brent 003,1338,1220,505,119,3,3185
E02000096,Brent 004,1262,899,298,38,2,2499
E02000097,Brent 005,1242,1134,527,132,3,3038
E02000098,Brent 006,1178,1104,445,139,9,2875
E02000099,Brent 007,1243,1068,467,138,3,2919
E02000100,Brent 008,1299,898,319,51,0,2567
E02000101,Brent 009,1278,1250,669,177,12,3386
E02000102,Brent 010,775,1079,609,199,24,2686
E02000103,Brent 011,1276,1323,626,214,23,3462
E02000104,Brent 012,969,864,415,145,23,2416
E02000105,Brent 013,1165,1241,552,140,9,3107
E02000106,Brent 014,1153,1385,800,227,20,3585
E02000107,Brent 015,1698,1558,798,272,36,4362
E02000108,Brent 016,919,869,387,92,8,2275
E02000110,Brent 018,1324,1077,540,143,11,3095
E02000111,Brent 019,1069,1264,674,165,17,3189
E02000112,Brent 020,1256,1389,715,130,5,3495
E02000113,Brent 021,813,1277,820,345,34,3289
E02000114,Brent 022,1518,1289,644,235,21,3707
E02000115,Brent 023,1710,1261,658,199,51,3879
E02000116,Brent 024,1059,1200,710,249,19,3237
E02000117,Brent 025,1423,1764,1088,428,54,4757
E02000118,Brent 026,1058,1249,662,173,15,3157
E02000119,Brent 027,1405,1476,778,277,16,3952
E02000120,Brent 028,1993,1390,613,220,24,4240
E02000121,Brent 029,1287,1488,659,176,17,3627
E02000122,Brent 030,1603,993,410,144,10,3160
E02000123,Brent 031,1783,2139,1185,371,61,5539
E02000124,Brent 032,2247,1266,494,141,14,4162
E02000125,Brent 033,1909,1269,551,199,14,3942
E02000126,Brent 034,1288,1257,617,229,17,3408
E02000127,Bromley 001,1628,1257,669,221,9,3784
E02000128,Bromley 002,1717,925,362,57,2,3063
E02000130,Bromley 004,2010,1120,417,110,9,3666
E02000131,Bromley 005,2761,1508,583,199,17,5068
E02000132,Bromley 006,2833,1508,484,109,8,4942
E02000133,Bromley 007,2841,1164,274,46,4,4329
E02000134,Bromley 008,2904,1611,615,159,11,5300
E02000135,Bromley 009,1808,1513,768,331,23,4443
E02000136,Bromley 010,1098,743,357,83,13,2294
E02000137,Bromley 011,2246,1076,291,59,2,3674
E02000138,Bromley 012,2501,1252,341,43,2,4139
E02000139,Bromley 013,1947,925,344,85,7,3308
E02000140,Bromley 014,1253,1115,708,246,17,3339
E02000141,Bromley 015,1646,983,378,77,9,3093
E02000142,Bromley 016,2087,1027,297,40,1,3452
E02000144,Bromley 018,2643,1257,349,59,1,4309
E02000145,Bromley 019,1425,1221,610,245,13,3514
E02000146,Bromley 020,2346,1168,391,124,8,4037
E02000147,Bromley 021,1997,902,226,38,4,3167
E02000148,Bromley 022,1565,841,236,54,3,2699
E02000149,Bromley 023,1598,1053,490,130,13,3284
E02000150,Bromley 024,1806,958,298,49,3,3114
E02000151,Bromley 025,1821,907,210,32,0,2970
E02000152,Bromley 026,1530,930,502,128,6,3096
E02000153,Bromley 027,1781,848,238,24,4,2895
E02000154,Bromley 028,1999,1127,366,76,6,3574
E02000155,Bromley 029,1425,1067,455,87,6,3040
E02000156,Bromley 030,2723,1577,490,65,7,4862
E02000157,Bromley 031,1911,1068,284,14,2,3279
E02000158,Bromley 032,1499,1023,420,91,3,3036
E02000159,Bromley 033,1643,877,262,39,1,2822
E02000160,Bromley 034,1714,979,314,36,1,3044
E02000161,Bromley 035,1980,1033,295,36,1,3345
E02000162,Bromley 036,1461,1019,384,94,5,2963
E02000163,Bromley 037,1731,983,310,43,1,3068
E02000165,Bromley 039,1504,907,291,38,1,2741
E02000166,Camden 001,1669,1069,476,164,17,3395
E02000167,Camden 002,2167,940,201,58,7,3373
E02000168,Camden 003,1859,1035,439,150,11,3494
E02000169,Camden 004,1946,804,209,58,9,3026
E02000170,Camden 005,1886,1032,386,132,29,3465
E02000171,Camden 006,1766,1045,389,122,8,3330
E02000172,Camden 007,1491,1285,833,381,45,4035
E02000173,Camden 008,1977,1114,304,85,21,3501
E02000174,Camden 009,1565,1121,580,260,25,3551
E02000175,Camden 010,2293,1265,528,198,24,4308
E02000176,Camden 011,1748,899,258,80,15,3000
E02000177,Camden 012,1529,1208,642,257,18,3654
E02000178,Camden 013,1792,1314,700,312,48,4166
E02000179,Camden 014,1290,806,306,131,14,2547
E02000180,Camden 015,1616,1139,552,190,20,3517
E02000181,Camden 016,2216,1063,357,104,11,3751
E02000182,Camden 017,1630,959,391,93,9,3082
E02000183,Camden 018,1868,1077,479,176,16,3616
E02000184,Camden 019,1480,1181,661,278,34,3634
E02000185,Camden 020,1366,1465,854,319,66,4070
E02000186,Camden 021,1380,945,473,128,15,2941
E02000187,Camden 022,1228,1390,818,337,44,3817
E02000188,Camden 023,892,978,590,235,24,2719
E02000191,Camden 026,1029,730,268,66,13,2106
E02000192,Camden 027,1315,997,565,191,24,3092
E02000193,Camden 028,1398,1132,439,120,12,3101
E02000194,Croydon 001,2212,1324,511,139,17,4203
E02000195,Croydon 002,1805,1148,446,79,12,3490
E02000196,Croydon 003,1179,1043,468,111,13,2814
E02000197,Croydon 004,1562,1175,473,99,13,3322
E02000198,Croydon 005,1451,1242,612,180,17,3502
E02000199,Croydon 006,1591,1088,415,107,7,3208
E02000200,Croydon 007,1904,1422,513,149,12,4000
E02000201,Croydon 008,1562,1341,670,210,38,3821
E02000202,Croydon 009,1395,1064,455,109,12,3035
E02000203,Croydon 010,1246,1142,569,144,18,3119
E02000204,Croydon 011,1331,1229,525,125,17,3227
E02000206,Croydon 013,1825,1641,742,234,27,4469
E02000207,Croydon 014,1568,1197,557,218,20,3560
E02000208,Croydon 015,1462,1527,788,280,41,4098
E02000209,Croydon 016,1393,1049,498,119,3,3062
E02000210,Croydon 017,1769,1135,433,92,15,3444
E02000211,Croydon 018,1786,1107,336,62,3,3294
E02000212,Croydon 019,1234,1209,624,174,22,3263
E02000213,Croydon 020,2130,1954,977,288,42,5391
E02000214,Croydon 021,1242,778,254,46,5,2325
E02000215,Croydon 022,2394,1800,817,222,22,5255
E02000216,Croydon 023,1623,915,326,70,8,2942
E02000217,Croydon 024,2309,1740,744,209,17,5019
E02000218,Croydon 025,1069,789,380,104,7,2349
E02000219,Croydon 026,1620,1042,278,41,2,2983
E02000221,Croydon 028,1701,1356,700,220,11,3988
E02000222,Croydon 029,2032,1127,393,73,10,3635
E02000223,Croydon 030,875,1012,669,222,11,2789
E02000224,Croydon 031,1780,1014,385,79,13,3271
E02000225,Croydon 032,951,954,571,171,11,2658
E02000226,Croydon 033,1588,910,247,35,1,2781
E02000227,Croydon 034,2387,1686,627,129,11,4840
E02000228,Croydon 035,1863,885,235,20,4,3007
E02000229,Croydon 036,672,826,531,197,11,2237
E02000230,Croydon 037,2414,1249,479,82,8,4232
E02000231,Croydon 038,1698,839,180,32,3,2752
E02000232,Croydon 039,1219,807,287,50,4,2367
E02000233,Croydon 040,1390,673,277,53,3,2396
E02000234,Croydon 041,2018,1154,450,93,4,3719
E02000235,Croydon 042,1600,799,210,47,1,2657
E02000236,Croydon 043,2026,982,255,44,1,3308
E02000237,Croydon 044,1633,985,337,76,3,3034
E02000238,Ealing 001,1692,1362,571,100,11,3736
E02000239,Ealing 002,1471,1036,360,60,6,2933
E02000240,Ealing 003,1524,1436,711,209,17,3897
E02000241,Ealing 004,1168,959,374,90,6,2597
E02000242,Ealing 005,958,850,362,60,1,2231
E02000243,Ealing 006,1343,1154,502,120,11,3130
E02000244,Ealing 007,1352,1045,416,102,22,2937
E02000245,Ealing 008,1152,1222,718,242,19,3353
E02000246,Ealing 009,1131,1143,608,173,16,3071
E02000247,Ealing 010,1511,1423,720,221,17,3892
E02000248,Ealing 011,1394,1074,407,106,8,2989
E02000249,Ealing 012,1141,1153,495,118,6,2913
E02000250,Ealing 013,1573,749,188,31,3,2544
E02000251,Ealing 014,1074,969,410,85,4,2542
E02000252,Ealing 015,1869,1607,693,218,21,4408
E02000253,Ealing 016,1438,1386,766,225,24,3839
E02000254,Ealing 017,922,966,556,155,9,2608
E02000255,Ealing 018,1940,1212,486,138,16,3792
E02000256,Ealing 019,2293,1225,390,99,19,4026
E02000258,Ealing 021,1258,883,338,100,23,2602
E02000259,Ealing 022,1244,821,269,60,1,2395
E02000260,Ealing 023,797,1101,641,206,9,2754
E02000261,Ealing 024,2324,1728,723,181,24,4980
E02000262,Ealing 025,1820,1313,599,193,21,3946
E02000263,Ealing 026,968,1446,934,280,18,3646
E02000264,Ealing 027,1877,1167,390,92,17,3543
E02000265,Ealing 028,2198,1491,749,266,31,4735
E02000266,Ealing 029,1581,1475,891,338,10,4295
E02000267,Ealing 030,1682,999,426,105,9,3221
E02000268,Ealing 031,2134,1154,441,126,8,3863
E02000269,Ealing 032,1993,956,270,65,21,3305
E02000270,Ealing 033,2035,1272,591,197,19,4114
E02000271,Ealing 034,1997,714,211,47,9,2978
E02000272,Ealing 035,1446,801,230,61,2,2540
E02000275,Ealing 038,712,895,553,173,15,2348
E02000276,Ealing 039,1593,782,275,71,3,2724
E02000277,Enfield 001,975,989,510,143,10,2627
E02000278,Enfield 002,1101,1237,768,211,22,3339
E02000279,Enfield 003,1665,1581,841,300,29,4416
E02000280,Enfield 004,1596,1163,488,147,16,3410
E02000281,Enfield 005,1460,1216,643,210,20,3549
E02000282,Enfield 006,1036,1363,745,280,42,3466
E02000283,Enfield 007,1057,1027,540,167,9,2800
E02000284,Enfield 008,1858,1148,466,138,7,3617
E02000285,Enfield 009,1380,757,268,53,4,2462
E02000286,Enfield 010,2099,1317,464,108,13,4001
E02000287,Enfield 011,1587,889,316,64,11,2867
E02000288,Enfield 012,1320,1510,891,299,33,4053
E02000289,Enfield 013,1381,756,251,35,3,2426
E02000290,Enfield 014,826,944,551,182,20,2523
E02000291,Enfield 015,1919,1580,641,166,19,4325
E02000292,Enfield 016,1731,1196,509,126,7,3569
E02000293,Enfield 017,1428,795,231,34,3,2491
E02000294,Enfield 018,1094,1204,607,167,12,3084
E02000295,Enfield 019,1757,1103,361,121,8,3350
E02000296,Enfield 020,1891,1416,604,127,1,4039
E02000297,Enfield 021,1765,1208,432,66,4,3475
E02000298,Enfield 022,1780,967,265,40,4,3056
E02000299,Enfield 023,1139,1230,709,208,28,3314
E02000300,Enfield 024,1020,1145,621,179,34,2999
E02000301,Enfield 025,1127,1441,840,292,25,3725
E02000302,Enfield 026,1416,1124,455,112,7,3114
E02000303,Enfield 027,870,1156,641,274,35,2976
E02000304,Enfield 028,1678,921,279,30,2,2910
E02000305,Enfield 029,1778,1129,450,90,5,3452
E02000306,Enfield 030,854,1327,832,373,16,3402
E02000307,Enfield 031,1371,1262,578,125,8,3344
E02000308,Enfield 032,1477,1117,496,125,11,3226
E02000309,Enfield 033,1281,1599,809,272,26,3987
E02000311,Enfield 035,1389,1351,662,222,11,3635
E02000312,Enfield 036,1982,1656,647,184,26,4495
E02000313,Greenwich 001,879,1012,513,165,26,2595
E02000314,Greenwich 002,1991,1596,683,254,12,4536
E02000315,Greenwich 003,1227,1288,693,248,34,3490
E02000317,Greenwich 005,1067,1006,532,203,16,2824
E02000318,Greenwich 006,1282,1314,718,248,19,3581
E02000319,Greenwich 007,1636,1360,661,232,30,3919
E02000320,Greenwich 008,1142,891,395,117,12,2557
E02000321,Greenwich 009,1014,1106,590,222,26,2958
E02000323,Greenwich 011,2062,1699,763,266,30,4820
E02000324,Greenwich 012,1108,1003,516,215,13,2855
E02000326,Greenwich 014,1680,891,365,102,11,3049
E02000327,Greenwich 015,1112,850,498,158,15,2633
E02000328,Greenwich 016,1658,822,356,107,3,2946
E02000329,Greenwich 017,1040,871,399,140,12,2462
E02000331,Greenwich 019,1429,993,558,195,16,3191
E02000332,Greenwich 020,1555,995,369,77,5,3001
E02000333,Greenwich 021,1727,797,282,69,8,2883
E02000334,Greenwich 022,1180,852,374,127,9,2542
E02000335,Greenwich 023,1362,844,316,70,0,2592
E02000337,Greenwich 025,1201,1069,593,211,9,3083
E02000339,Greenwich 027,1304,862,346,73,7,2592
E02000340,Greenwich 028,1513,998,422,83,4,3020
E02000341,Greenwich 029,1064,1017,608,242,9,2940
E02000342,Greenwich 030,1106,724,379,124,9,2342
E02000343,Greenwich 031,1191,869,478,143,12,2693
E02000344,Greenwich 032,1338,748,298,63,1,2448
E02000345,Hackney 001,927,1007,476,144,34,2588
E02000346,Hackney 002,1800,1240,670,246,16,3972
E02000347,Hackney 003,984,1025,423,137,13,2582
E02000348,Hackney 004,892,1009,556,232,36,2725
E02000350,Hackney 006,1665,1281,515,208,24,3693
E02000351,Hackney 007,2066,1394,570,186,17,4233
E02000352,Hackney 008,1306,838,387,144,10,2685
E02000353,Hackney 009,1662,962,368,153,11,3156
E02000354,Hackney 010,1628,1304,754,272,32,3990
E02000355,Hackney 011,1456,991,484,166,16,3113
E02000356,Hackney 012,1736,865,336,104,20,3061
E02000357,Hackney 013,930,994,582,196,19,2721
E02000358,Hackney 014,2230,1468,837,255,29,4819
E02000359,Hackney 015,1115,749,388,172,14,2438
E02000360,Hackney 016,1931,1601,903,385,31,4851
E02000361,Hackney 017,1668,1189,584,217,20,3678
E02000362,Hackney 018,1155,915,530,190,16,2806
E02000363,Hackney 019,1604,1625,830,358,24,4441
E02000364,Hackney 020,2031,1237,593,221,17,4099
E02000366,Hackney 022,1404,1162,645,304,24,3539
E02000367,Hackney 023,2390,1363,621,206,15,4595
E02000368,Hackney 024,1633,1336,835,317,31,4152
E02000369,Hackney 025,2878,1856,867,309,19,5929
E02000370,Hackney 026,1854,1278,586,247,26,3991
E02000372,Hammersmith and Fulham 001,1481,1400,720,254,21,3876
E02000373,Hammersmith and Fulham 002,860,928,551,176,20,2535
E02000374,Hammersmith and Fulham 003,1183,838,442,144,10,2617
E02000375,Hammersmith and Fulham 004,1500,1218,570,181,28,3497
E02000376,Hammersmith and Fulham 005,1432,1081,481,163,24,3181
E02000377,Hammersmith and Fulham 006,1593,1093,546,181,31,3444
E02000378,Hammersmith and Fulham 007,1593,1087,427,137,7,3251
E02000379,Hammersmith and Fulham 008,1702,926,349,113,13,3103
E02000380,Hammersmith and Fulham 009,1384,766,263,77,11,2501
E02000381,Hammersmith and Fulham 010,1863,1106,412,144,23,3548
E02000382,Hammersmith and Fulham 011,1519,825,293,117,18,2772
E02000383,Hammersmith and Fulham 012,2087,1346,524,135,19,4111
E02000384,Hammersmith and Fulham 013,1802,1201,572,209,21,3805
E02000385,Hammersmith and Fulham 014,1638,849,270,78,13,2848
E02000386,Hammersmith and Fulham 015,1360,1196,611,188,11,3366
E02000387,Hammersmith and Fulham 016,1194,861,398,121,11,2585
E02000388,Hammersmith and Fulham 017,2297,1204,471,149,13,4134
E02000389,Hammersmith and Fulham 018,2147,1104,342,80,6,3679
E02000390,Hammersmith and Fulham 019,1482,786,322,113,16,2719
E02000391,Hammersmith and Fulham 020,1959,875,334,105,8,3281
E02000392,Hammersmith and Fulham 021,2341,1108,438,137,15,4039
E02000393,Hammersmith and Fulham 022,1715,633,185,47,8,2588
E02000394,Hammersmith and Fulham 023,2385,1304,510,133,14,4346
E02000395,Hammersmith and Fulham 024,1679,723,194,42,5,2643
E02000396,Hammersmith and Fulham 025,1553,783,329,91,14,2770
E02000397,Haringey 001,1335,1210,657,235,35,3472
E02000398,Haringey 002,797,1047,715,280,42,2881
E02000400,Haringey 004,1370,1054,535,149,12,3120
E02000401,Haringey 005,823,832,577,228,17,2477
E02000402,Haringey 006,774,868,556,214,13,2425
E02000403,Haringey 007,1162,1101,531,175,21,2990
E02000404,Haringey 008,924,971,548,214,8,2665
E02000405,Haringey 009,1475,726,206,52,5,2464
E02000406,Haringey 010,1022,845,542,170,16,2595
E02000407,Haringey 011,995,1078,657,240,35,3005
E02000408,Haringey 012,982,1071,707,220,21,3001
E02000409,Haringey 013,810,864,495,183,18,2370
E02000410,Haringey 014,1561,813,200,32,8,2614
E02000411,Haringey 015,1606,1420,666,237,24,3953
E02000412,Haringey 016,989,1051,598,201,30,2869
E02000413,Haringey 017,1672,904,313,70,4,2963
E02000414,Haringey 018,1097,992,476,136,17,2718
E02000415,Haringey 019,1139,1014,506,154,22,2835
E02000416,Haringey 020,1929,1208,576,192,14,3919
E02000417,Haringey 021,1684,871,247,63,2,2867
E02000418,Haringey 022,1306,637,215,47,3,2208
E02000419,Haringey 023,1506,1262,622,210,45,3645
E02000420,Haringey 024,1303,1215,683,213,22,3436
E02000421,Haringey 025,1049,1146,696,232,17,3140
E02000422,Haringey 026,1006,1096,580,185,20,2887
E02000423,Haringey 027,1155,895,443,166,13,2672
E02000424,Haringey 028,1598,889,372,118,7,2984
E02000425,Haringey 029,742,880,404,117,20,2163
E02000426,Haringey 030,1612,765,276,86,3,2742
E02000427,Haringey 031,1313,979,435,122,18,2867
E02000428,Haringey 032,933,1098,662,217,12,2922
E02000429,Haringey 033,1899,958,269,69,6,3201
E02000430,Haringey 034,1864,973,306,94,10,3247
E02000431,Haringey 035,1760,786,235,56,8,2845
E02000432,Haringey 036,1428,862,363,134,12,2799
E02000433,Harrow 001,1797,1154,462,119,12,3544
E02000434,Harrow 002,1918,1148,444,114,14,3638
E02000435,Harrow 003,1261,955,471,120,5,2812
E02000436,Harrow 004,1225,622,167,29,1,2044
E02000437,Harrow 005,1385,1147,448,102,7,3089
E02000438,Harrow 006,1380,1074,479,103,7,3043
E02000439,Harrow 007,1273,1103,440,122,10,2948
E02000440,Harrow 008,1690,994,316,46,6,3052
E02000441,Harrow 009,1431,899,372,89,2,2793
E02000442,Harrow 010,1086,1059,436,81,5,2667
E02000443,Harrow 011,1457,1296,604,165,24,3546
E02000444,Harrow 012,1282,968,358,60,4,2672
E02000445,Harrow 013,1558,1397,680,168,17,3820
E02000447,Harrow 015,1479,908,292,61,5,2745
E02000448,Harrow 016,1591,846,251,58,13,2759
E02000449,Harrow 017,1032,969,412,108,5,2526
E02000451,Harrow 019,1369,740,196,22,2,2329
E02000452,Harrow 020,1585,1215,516,126,7,3449
E02000453,Harrow 021,1520,1056,369,90,12,3047
E02000454,Harrow 022,1586,720,195,21,0,2522
E02000455,Harrow 023,2460,1531,613,138,17,4759
E02000456,Harrow 024,1240,958,405,107,7,2717
E02000457,Harrow 025,1317,891,288,61,6,2563
E02000459,Harrow 027,1439,1283,528,160,8,3418
E02000460,Harrow 028,1114,814,364,115,8,2415
E02000461,Harrow 029,1438,796,261,56,8,2559
E02000462,Harrow 030,982,869,350,77,8,2286
E02000463,Harrow 031,1262,1017,435,114,6,2834
E02000464,Havering 001,1111,1021,547,176,20,2875
E02000465,Havering 002,1389,1169,682,237,15,3492
E02000466,Havering 003,1397,1186,547,155,9,3294
E02000467,Havering 004,1358,1607,948,344,33,4290
E02000468,Havering 005,1431,1149,480,98,7,3165
E02000469,Havering 006,1032,981,526,148,12,2699
E02000470,Havering 007,2179,1376,469,98,9,4131
E02000471,Havering 008,1479,1053,355,54,0,2941
E02000472,Havering 009,1688,1232,510,95,3,3528
E02000473,Havering 010,2137,1315,484,82,7,4025
E02000474,Havering 011,1582,1259,561,121,8,3531
E02000475,Havering 012,2157,1249,457,94,1,3958
E02000476,Havering 013,1956,1369,693,170,11,4199
E02000477,Havering 014,2003,1226,420,63,4,3716
E02000478,Havering 015,1133,715,269,32,1,2150
E02000479,Havering 016,1873,1193,559,153,11,3789
E02000480,Havering 017,2350,1703,754,195,10,5012
E02000481,Havering 018,1588,1158,432,63,5,3246
E02000482,Havering 019,1488,834,234,21,0,2577
E02000483,Havering 020,1557,1292,534,81,9,3473
E02000484,Havering 021,1650,1107,412,83,1,3253
E02000485,Havering 022,1819,1172,417,47,0,3455
E02000486,Havering 023,1420,1064,425,76,5,2990
E02000487,Havering 024,1720,943,248,31,2,2944
E02000488,Havering 025,1607,1008,353,45,1,3014
E02000489,Havering 026,1509,1147,501,98,6,3261
E02000490,Havering 027,1397,1187,531,107,4,3226
E02000491,Havering 028,1685,1373,672,191,13,3934
E02000492,Havering 029,1192,958,383,87,2,2622
E02000493,Havering 030,1018,922,456,97,4,2497
E02000494,Hillingdon 001,1859,979,291,79,8,3216
E02000495,Hillingdon 002,2225,1434,513,127,7,4306
E02000496,Hillingdon 003,1538,1043,487,102,6,3176
E02000497,Hillingdon 004,1908,1168,492,118,9,3695
E02000498,Hillingdon 005,1362,865,324,84,4,2639
E02000499,Hillingdon 006,1698,973,301,38,4,3014
E02000500,Hillingdon 007,1857,1078,328,39,3,3305
E02000501,Hillingdon 008,1836,1062,315,57,3,3273
E02000502,Hillingdon 009,1993,1124,352,57,2,3528
E02000503,Hillingdon 010,1812,1050,337,53,2,3254
E02000504,Hillingdon 011,1793,855,249,24,0,2921
E02000506,Hillingdon 013,1681,891,268,59,0,2899
E02000507,Hillingdon 014,1402,917,369,83,8,2779
E02000508,Hillingdon 015,2271,1316,573,162,17,4339
E02000509,Hillingdon 016,1458,1222,550,161,11,3402
E02000510,Hillingdon 017,1535,1147,473,103,3,3261
E02000511,Hillingdon 018,1413,1239,493,108,9,3262
E02000512,Hillingdon 019,1209,1107,599,174,15,3104
E02000513,Hillingdon 020,1120,1324,667,195,17,3323
E02000514,Hillingdon 021,1261,1268,530,110,8,3177
E02000515,Hillingdon 022,2157,1954,932,273,29,5345
E02000516,Hillingdon 023,1121,1069,497,123,7,2817
E02000517,Hillingdon 024,1233,1227,649,188,24,3321
E02000518,Hillingdon 025,1259,1295,589,176,9,3328
E02000519,Hillingdon 026,951,1160,703,188,23,3025
E02000520,Hillingdon 027,1679,1631,898,234,13,4455
E02000521,Hillingdon 028,1855,1518,751,217,10,4351
E02000522,Hillingdon 029,1462,1239,592,173,22,3488
E02000523,Hillingdon 030,1418,1468,635,148,11,3680
E02000524,Hillingdon 031,965,1040,480,147,7,2639
E02000525,Hillingdon 032,1041,1347,705,206,21,3320
E02000526,Hounslow 001,2375,945,249,46,3,3618
E02000529,Hounslow 004,1118,1169,582,153,13,3035
E02000530,Hounslow 005,768,958,583,191,17,2517
E02000531,Hounslow 006,2565,1518,622,199,32,4936
E02000532,Hounslow 007,2191,1093,404,116,15,3819
E02000533,Hounslow 008,2193,1020,356,105,15,3689
E02000534,Hounslow 009,1611,994,345,47,2,2999
E02000535,Hounslow 010,1119,1195,556,129,7,3006
E02000536,Hounslow 011,1297,1222,585,132,9,3245
E02000537,Hounslow 012,1500,1182,400,65,11,3158
E02000538,Hounslow 013,1045,1176,618,149,16,3004
E02000539,Hounslow 014,2380,1507,669,163,15,4734
E02000540,Hounslow 015,1942,1604,727,182,31,4486
E02000541,Hounslow 016,1046,1301,702,220,9,3278
