Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,total
E02006882,Harrow 033,2158,1591,550,93,7,4399
E02006886,Vale of White Horse 016,3516,1612,436,66,5,5635
E02006907,Norwich 014,2252,1365,524,154,13,4308
E02006908,Norwich 015,1520,938,426,128,6,3018
E02006918,Hackney 028,1212,1116,598,231,13,3170
E02006921,Hackney 029,896,1095,541,234,16,2782
E02006922,Colchester 022,2715,2098,873,191,9,5886
E02006924,Redbridge 035,1816,1508,644,122,6,4096
E02006925,Redbridge 036,1998,1487,568,132,3,4188
E02006926,Thurrock 020,1694,884,227,37,1,2843
E02006927,Greenwich 034,2754,1483,625,216,8,5086
E02006928,Greenwich 035,3263,1314,504,172,12,5265
E02006930,Greenwich 037,2567,1147,386,112,14,4226
E02006931,Greenwich 038,2352,1214,439,118,14,4137
E02006937,Luton 022,1616,1512,694,201,18,4041
E02006938,Luton 023,833,1191,692,218,28,2962
E02006939,Reading 019,1814,1071,375,109,10,3379
E02006940,Reading 020,2009,1070,409,107,11,3606
E02006941,Southwark 035,2064,762,132,26,1,2985
E02006942,Southwark 036,1969,920,343,122,10,3364
E02006953,Barnet 042,1950,1239,494,157,15,3855
E02006954,Barnet 043,1801,1237,503,150,29,3720
E02006955,Brent 035,1512,816,299,78,4,2709
E02006956,Brent 036,1070,927,393,109,6,2505
E02006968,Ealing 041,2001,1087,363,100,9,3560
E02006969,Ealing 042,1639,934,321,74,8,2976
E02006970,Ealing 043,556,795,506,157,14,2028
E02006971,Ealing 044,583,945,513,172,9,2222
E02006972,Hounslow 030,1131,729,355,109,10,2334
E02006973,Hounslow 031,1669,1268,582,188,19,3726
E02006975,Portsmouth 027,1000,911,518,208,17,2654
E02006976,Portsmouth 028,552,821,614,277,28,2292
E02006978,Chelmsford 022,1969,1007,308,67,5,3356
E02006979,Chelmsford 023,2022,954,292,77,4,3349
E02006980,Rochford 011,1583,1032,333,34,1,2983
E02006981,Rochford 012,1675,1111,440,61,2,3289
E02006987,Croydon 046,2062,1262,461,82,12,3879
E02006988,Croydon 047,1497,1208,469,113,18,3305
E02006991,Greenwich 039,2172,803,207,47,2,3231
E02006992,Greenwich 040,2262,982,388,135,3,3770
E02006993,Greenwich 041,2242,958,330,90,6,3626
E02006994,Greenwich 042,1321,1243,537,174,10,3285
E02006995,Newham 038,2179,727,247,80,4,3237
E02006996,Newham 039,1771,907,371,101,8,3158
E02006997,Newham 040,1832,977,306,107,7,3229
E02006998,Newham 041,1037,1011,450,159,11,2668
E02006999,Newham 042,3288,1321,338,99,3,5049
E02007004,Thurrock 021,1224,954,376,86,9,2649
E02007005,Thurrock 022,1622,1017,380,89,5,3113
E02007008,Lewisham 040,1536,780,276,66,3,2661
E02007009,Lewisham 041,1671,1384,698,208,26,3987
E02007010,Bedford 021,1899,1142,360,58,4,3463
E02007011,Bedford 022,1653,800,267,49,2,2771
E02007012,Milton Keynes 033,1839,839,264,55,3,3000
E02007013,Milton Keynes 034,2322,879,225,62,3,3491
E02007014,Milton Keynes 035,1525,953,256,82,9,2825
E02007015,Milton Keynes 036,2398,998,273,64,4,3737
E02007016,Milton Keynes 037,2002,889,292,62,1,3246
E02007017,Redbridge 037,1294,986,393,87,3,2763
E02007018,Redbridge 038,1129,898,381,112,6,2526
E02007019,Redbridge 039,856,945,461,132,10,2404
E02007020,Redbridge 040,997,1020,569,129,9,2724
E02007021,Oxford 020,1294,855,393,125,7,2674
E02007032,North Norfolk 015,1341,1247,535,115,12,3250
E02007033,North Norfolk 016,1275,1054,459,93,5,2886
E02007046,Ashford 015,1277,1013,503,126,6,2925
E02007047,Ashford 016,1929,1065,299,68,4,3365
E02007052,Norwich 016,1419,1244,738,288,11,3700
E02007053,Norwich 017,1360,935,435,164,8,2902
E02007054,South Norfolk 016,2062,1119,298,63,2,3544
E02007055,South Norfolk 017,1508,1321,511,95,3,3438
E02007056,Colchester 023,2165,844,304,70,4,3387
E02007057,Colchester 024,1838,926,252,57,2,3075
E02007068,Slough 015,1005,856,381,97,4,2343
E02007069,Slough 016,887,886,422,98,5,2298
E02007074,Southampton 033,1174,1076,534,206,22,3012
E02007075,Southampton 034,2062,758,191,34,4,3049
E02007076,Test Valley 016,1825,797,278,89,3,2992
E02007077,Test Valley 017,1717,815,248,71,2,2853
E02007078,Test Valley 018,1055,898,389,113,5,2460
E02007083,Wandsworth 038,2737,1054,251,60,4,4106
E02007084,Wandsworth 039,1905,1338,652,224,17,4136
E02007085,South Cambridgeshire 022,2893,1631,417,45,1,4987
E02007086,Cambridge 015,2730,1113,351,78,3,4275
E02007087,Cambridge 014,1404,762,204,56,8,2434
E02007088,North Hertfordshire 016,1901,945,275,39,0,3160
E02007089,North Hertfordshire 017,1694,827,245,48,0,2814
E02007090,St Albans 021,1322,715,252,74,3,2366
E02007091,Stevenage 013,1524,836,284,39,6,2689
E02007092,Welwyn Hatfield 017,1062,817,344,65,6,2294
E02007093,East Hertfordshire 019,1897,1038,299,60,1,3295
E02007108,Hackney 030,1600,820,282,86,14,2802
E02007109,Hackney 031,1642,968,478,190,26,3304
E02007110,Hackney 032,1738,987,457,162,19,3363
E02007111,Hackney 033,1658,812,275,63,8,2816
E02007112,Tower Hamlets 034,1763,898,180,72,2,2915
E02007113,Tower Hamlets 035,1907,940,304,112,5,3268
E02007114,Tower Hamlets 036,1532,993,363,135,9,3032
E02007115,Camden 029,1683,1608,837,314,25,4467
