Middle layer Super Output Areas Code,Middle layer Super Output Areas,Owns_outright,Owns_with_a_mortgage_or_loan,Shared_ownership,Social_rented_Rents_from_council_or_Local_Authority,Other_social_rented,Private_rented_Private_landlord_or_letting_agency,Other_private_rented,Lives_rent_free
E02000794,Richmond upon Thames 011,874,1082,34,24,69,635,41,0
E02000795,Richmond upon Thames 012,1033,887,8,39,186,369,64,4
E02000796,Richmond upon Thames 013,1278,1217,25,201,637,562,55,6
E02000797,Richmond upon Thames 014,865,1170,47,22,185,1119,67,1
E02000798,Richmond upon Thames 015,1260,1743,23,131,359,750,54,5
E02000799,Richmond upon Thames 016,888,813,8,28,150,504,49,0
E02000800,Richmond upon Thames 017,642,604,13,165,404,289,38,1
E02000801,Richmond upon Thames 018,971,1097,38,15,170,678,48,1
E02000802,Richmond upon Thames 019,981,1102,6,37,212,597,38,3
E02000803,Richmond upon Thames 020,1258,1196,63,191,717,605,59,6
E02000804,Richmond upon Thames 021,1007,965,22,58,269,783,64,0
E02000805,Richmond upon Thames 022,1413,1444,43,109,521,1016,84,5
E02000806,Richmond upon Thames 023,1500,1450,33,112,407,670,77,5
E02000807,Southwark 001,552,805,119,242,472,1415,128,2
E02000808,Southwark 002,437,562,138,740,725,1895,191,8
E02000810,Southwark 004,381,763,354,1560,887,1330,113,5
E02000812,Southwark 006,314,574,80,1456,790,1209,100,9
E02000813,Southwark 007,333,487,76,1550,559,1367,103,8
E02000814,Southwark 008,565,926,140,264,820,1764,105,4
E02000815,Southwark 009,208,336,90,748,302,1443,97,9
E02000816,Southwark 010,315,657,147,1210,579,1159,71,11
E02000817,Southwark 011,155,342,46,1309,518,517,28,10
E02000818,Southwark 012,280,701,247,1098,735,1320,80,27
E02000819,Southwark 013,207,328,65,1293,762,813,78,10
E02000820,Southwark 014,352,593,125,1499,439,1097,111,12
E02000821,Southwark 015,156,287,119,1403,306,783,75,5
E02000822,Southwark 016,129,227,16,1371,260,721,39,12
E02000823,Southwark 017,322,500,65,1471,288,888,89,11
E02000824,Southwark 018,203,423,53,1995,424,589,63,41
E02000825,Southwark 019,138,496,83,1731,768,578,80,17
E02000826,Southwark 020,267,803,163,1378,498,800,86,28
E02000827,Southwark 021,293,748,145,1755,1011,962,88,16
E02000828,Southwark 022,230,547,155,1389,369,826,62,18
E02000829,Southwark 023,426,973,88,1544,731,879,80,18
E02000830,Southwark 024,603,952,40,645,339,1006,135,45
E02000831,Southwark 025,590,979,113,638,588,1070,72,3
E02000832,Southwark 026,419,862,68,1277,655,712,94,12
E02000833,Southwark 027,360,702,28,1246,144,498,60,8
E02000834,Southwark 028,663,1204,23,322,521,1282,78,9
E02000835,Southwark 029,539,1030,17,605,216,568,46,7
E02000836,Southwark 030,723,1201,18,299,248,774,70,4
E02000837,Southwark 031,1086,1072,11,271,113,528,66,3
E02000838,Southwark 032,698,1262,27,442,428,961,100,7
E02000839,Southwark 033,839,953,53,736,92,661,89,6
E02000840,Sutton 001,435,1173,30,927,485,375,40,10
E02000841,Sutton 002,500,991,53,969,306,438,40,7
E02000842,Sutton 003,1144,1200,11,41,90,415,57,0
E02000843,Sutton 004,790,1701,208,189,283,762,47,1
E02000844,Sutton 005,760,1273,18,388,362,359,52,5
E02000845,Sutton 006,1031,1490,37,87,213,681,71,0
E02000846,Sutton 007,966,1152,23,77,100,429,38,2
E02000847,Sutton 008,1441,1491,13,35,139,496,68,0
E02000848,Sutton 009,1121,1347,6,34,31,340,32,0
E02000849,Sutton 010,906,1182,34,268,295,511,52,6
E02000850,Sutton 011,1344,1826,12,200,166,480,63,0
E02000851,Sutton 012,804,1197,185,640,453,1662,88,9
E02000852,Sutton 013,987,1308,13,50,135,701,52,3
E02000853,Sutton 014,865,1280,15,184,174,640,44,3
E02000854,Sutton 015,1022,1179,18,86,186,538,54,3
E02000855,Sutton 016,1323,1155,14,49,93,510,64,2
E02000856,Sutton 017,1122,1404,25,60,215,897,75,2
E02000857,Sutton 018,938,993,13,120,206,1729,78,1
E02000858,Sutton 019,415,733,87,273,1403,356,37,5
E02000859,Sutton 020,1281,1146,8,151,319,524,65,1
E02000860,Sutton 021,659,901,14,314,504,1630,93,4
E02000861,Sutton 022,1305,1173,8,56,27,269,25,0
E02000863,Sutton 024,926,1066,9,170,36,183,31,1
E02000864,Tower Hamlets 001,321,997,204,572,1458,1021,86,5
E02000865,Tower Hamlets 002,179,351,75,763,726,741,48,11
E02000866,Tower Hamlets 003,550,851,55,300,1120,1172,93,12
E02000867,Tower Hamlets 004,328,991,211,534,941,1739,116,11
E02000868,Tower Hamlets 005,250,469,43,407,570,983,60,4
E02000869,Tower Hamlets 006,302,324,31,687,448,664,56,12
E02000870,Tower Hamlets 007,220,362,33,591,463,694,53,5
E02000871,Tower Hamlets 008,238,578,197,496,1446,1180,82,11
E02000872,Tower Hamlets 009,229,385,56,788,455,1210,60,9
E02000873,Tower Hamlets 010,224,505,107,881,363,779,51,14
E02000874,Tower Hamlets 011,149,321,40,733,468,742,58,13
E02000875,Tower Hamlets 012,271,733,161,778,1563,1453,114,6
E02000876,Tower Hamlets 013,209,375,34,467,506,1065,111,11
E02000877,Tower Hamlets 014,282,1006,98,632,1455,1325,107,8
E02000878,Tower Hamlets 015,355,476,63,440,761,1782,125,10
E02000879,Tower Hamlets 016,280,402,40,463,923,850,84,7
E02000880,Tower Hamlets 017,186,284,23,627,222,900,32,7
E02000881,Tower Hamlets 018,251,506,149,525,1184,1164,66,9
E02000882,Tower Hamlets 019,170,412,252,786,1320,794,70,9
E02000883,Tower Hamlets 020,153,420,77,475,1018,831,50,6
E02000884,Tower Hamlets 021,339,469,186,372,918,2676,150,4
E02000885,Tower Hamlets 022,145,216,39,477,849,601,48,16
E02000886,Tower Hamlets 023,315,699,79,699,433,1493,96,10
E02000887,Tower Hamlets 024,260,488,98,983,807,1209,87,16
E02000888,Tower Hamlets 025,302,609,107,467,573,1204,75,16
E02000889,Tower Hamlets 026,368,608,82,403,500,1698,142,6
E02000890,Tower Hamlets 027,482,642,35,233,151,1238,108,2
E02000893,Tower Hamlets 030,283,565,35,231,861,936,69,8
E02000894,Tower Hamlets 031,442,884,85,182,760,2001,99,10
E02000895,Waltham Forest 001,1096,1009,36,377,354,351,53,3
E02000896,Waltham Forest 002,1380,1281,19,165,210,715,62,3
E02000897,Waltham Forest 003,883,1058,10,804,180,383,48,4
E02000898,Waltham Forest 004,957,1037,32,322,426,381,44,4
E02000899,Waltham Forest 005,1071,1109,13,228,169,564,73,1
E02000900,Waltham Forest 006,833,1037,31,228,405,522,59,3
E02000901,Waltham Forest 007,1102,1516,47,324,140,654,65,2
E02000902,Waltham Forest 008,731,1150,155,399,365,649,63,6
E02000903,Waltham Forest 009,499,1018,77,795,411,604,54,9
E02000904,Waltham Forest 010,683,1140,71,110,326,732,46,0
E02000905,Waltham Forest 011,675,1290,48,253,414,875,71,4
E02000906,Waltham Forest 012,627,1158,26,371,457,905,80,3
E02000907,Waltham Forest 013,443,889,61,1299,440,812,107,16
E02000908,Waltham Forest 014,626,1381,260,401,734,1731,101,5
E02000909,Waltham Forest 015,695,1198,38,410,276,878,68,5
E02000910,Waltham Forest 016,848,1154,46,286,338,1630,95,7
E02000911,Waltham Forest 017,710,1177,141,526,439,1747,101,7
E02000912,Waltham Forest 018,652,979,55,341,417,740,80,6
E02000913,Waltham Forest 019,884,886,51,88,320,819,64,4
E02000914,Waltham Forest 020,537,779,85,517,806,1127,109,12
E02000915,Waltham Forest 021,677,886,10,100,457,1084,68,1
E02000916,Waltham Forest 022,639,1227,115,209,354,1274,155,9
E02000917,Waltham Forest 023,563,1143,36,121,350,1350,84,1
E02000918,Waltham Forest 024,586,792,38,559,327,966,133,6
E02000919,Waltham Forest 025,655,831,21,142,266,1348,89,7
E02000920,Waltham Forest 026,579,737,107,210,919,1150,106,7
E02000921,Waltham Forest 027,475,713,48,781,765,1196,69,12
E02000922,Waltham Forest 028,711,964,22,375,296,1172,88,7
E02000923,Wandsworth 001,925,637,57,327,133,1248,139,3
E02000925,Wandsworth 003,461,502,40,1349,128,803,71,9
E02000926,Wandsworth 004,794,1210,296,468,499,2103,180,1
E02000927,Wandsworth 005,399,592,16,366,868,913,75,3
E02000928,Wandsworth 006,967,1050,16,241,123,1144,68,5
E02000929,Wandsworth 007,283,439,99,1563,272,771,56,12
E02000930,Wandsworth 008,748,893,19,442,252,1749,155,3
E02000931,Wandsworth 009,691,1156,8,52,242,1230,107,0
E02000932,Wandsworth 010,997,1547,283,177,316,2429,179,2
E02000933,Wandsworth 011,1069,1022,37,279,118,1259,134,10
E02000934,Wandsworth 012,572,1004,79,167,594,1658,119,3
E02000935,Wandsworth 013,291,227,15,1229,138,423,95,16
E02000936,Wandsworth 014,866,947,111,387,171,1748,139,12
E02000937,Wandsworth 015,680,1012,14,139,241,971,69,1
E02000938,Wandsworth 016,835,1018,152,1123,143,978,81,15
E02000939,Wandsworth 017,833,1007,9,122,195,609,60,1
E02000940,Wandsworth 018,446,1053,124,672,320,1516,79,4
E02000941,Wandsworth 019,763,1471,29,211,375,1205,80,2
E02000942,Wandsworth 020,1026,1261,26,155,75,1133,137,2
E02000943,Wandsworth 021,698,1072,55,210,228,1473,73,0
E02000944,Wandsworth 022,360,526,43,848,135,900,73,4
E02000945,Wandsworth 023,367,420,29,967,184,695,93,5
E02000946,Wandsworth 024,458,948,51,426,171,968,80,5
E02000947,Wandsworth 025,775,1407,67,135,204,1267,63,2
E02000948,Wandsworth 026,758,1317,33,173,347,1645,102,6
E02000949,Wandsworth 027,995,1352,57,81,203,1473,92,0
E02000950,Wandsworth 028,665,750,16,477,46,1077,69,7
E02000951,Wandsworth 029,518,735,17,101,302,1068,82,0
E02000952,Wandsworth 030,439,666,8,137,427,926,53,2
E02000953,Wandsworth 031,448,1005,73,236,423,943,78,3
E02000954,Wandsworth 032,580,640,23,163,95,707,41,1
E02000955,Wandsworth 033,529,565,17,507,91,897,63,7
E02000956,Wandsworth 034,363,573,32,416,234,1328,74,12
E02000957,Wandsworth 035,699,1052,87,219,431,1807,121,5
E02000958,Wandsworth 036,811,950,12,292,145,651,53,3
E02000959,Wandsworth 037,451,831,33,288,339,1095,66,1
E02000960,Westminster 001,707,368,12,262,98,1202,129,4
E02000961,Westminster 002,762,598,11,585,352,1621,127,12
E02000962,Westminster 003,698,398,14,406,391,1755,185,12
E02000963,Westminster 004,397,491,46,1572,739,801,71,18
E02000964,Westminster 005,423,661,47,610,2003,1478,121,15
E02000965,Westminster 006,537,689,15,192,433,1642,109,6
E02000966,Westminster 007,887,755,11,154,386,1762,155,3
E02000967,Westminster 008,716,418,22,91,106,1492,165,4
E02000968,Westminster 009,472,315,38,2254,994,1385,86,73
E02000969,Westminster 010,302,293,66,1407,747,798,74,33
E02000970,Westminster 011,731,383,14,74,312,1782,257,2
E02000971,Westminster 012,628,392,28,99,272,2142,157,2
E02000972,Westminster 013,507,305,41,381,802,1983,224,14
E02000973,Westminster 014,870,654,29,426,728,1915,171,4
E02000974,Westminster 015,728,414,53,137,513,1895,238,3
E02000975,Westminster 016,641,467,23,150,201,2178,133,9
E02000976,Westminster 017,707,462,11,405,159,2257,198,15
E02000977,Westminster 018,561,254,13,205,616,1481,300,2
E02000978,Westminster 019,957,401,14,33,54,1035,268,2
E02000979,Westminster 020,676,381,27,107,1027,1360,348,1
E02000980,Westminster 021,665,435,53,1177,670,1121,187,16
E02000981,Westminster 022,694,575,34,105,1036,1487,224,2
E02000982,Westminster 023,467,326,58,808,1016,1002,153,14
E02000983,Westminster 024,484,310,19,780,737,1297,115,18
E02003237,Peterborough 001,1250,884,17,47,135,283,48,1
E02003238,Peterborough 002,738,827,31,81,294,463,34,0
E02003239,Peterborough 003,1588,1239,25,84,128,417,62,0
E02003240,Peterborough 004,871,903,29,64,189,388,263,1
E02003241,Peterborough 005,1009,1079,41,110,307,419,80,4
E02003242,Peterborough 006,1531,1100,26,151,376,525,55,4
E02003243,Peterborough 007,660,1176,142,819,1235,701,63,14
E02003244,Peterborough 008,789,945,61,503,822,591,70,7
E02003245,Peterborough 009,489,565,26,457,745,712,53,11
E02003246,Peterborough 010,641,768,15,181,349,1143,103,0
E02003247,Peterborough 011,886,723,38,287,693,804,64,5
E02003248,Peterborough 012,980,989,24,77,209,1087,95,4
E02003249,Peterborough 013,1092,1192,95,489,842,1197,96,13
E02003250,Peterborough 014,830,649,43,176,423,2396,168,8
E02003251,Peterborough 015,1464,958,20,43,143,364,64,1
E02003252,Peterborough 016,904,1419,79,177,442,1624,113,7
E02003253,Peterborough 017,959,1176,83,215,629,1370,105,4
E02003254,Peterborough 018,1751,1280,29,90,248,592,79,0
E02003255,Peterborough 019,1534,2156,111,265,607,823,89,2
E02003257,Peterborough 021,640,763,15,435,876,958,76,11
E02003258,Luton 001,1495,1277,7,83,49,534,41,1
E02003259,Luton 002,878,883,9,273,125,400,40,5
E02003260,Luton 003,568,806,20,1101,189,497,62,14
E02003261,Luton 004,1049,755,7,252,64,295,54,1
E02003262,Luton 005,990,1151,28,908,369,559,58,2
E02003263,Luton 006,1408,1416,20,309,87,1156,84,8
E02003264,Luton 007,1248,1393,4,10,27,471,49,0
E02003265,Luton 008,1359,1174,8,283,98,518,56,5
E02003266,Luton 009,720,1110,12,992,266,484,51,12
E02003267,Luton 010,912,1336,8,106,147,1063,104,6
E02003268,Luton 011,939,1272,17,88,371,967,92,1
E02003269,Luton 012,1366,1327,15,188,148,1076,83,1
E02003270,Luton 013,1118,969,17,192,87,643,65,0
E02003271,Luton 014,1304,1415,16,142,184,894,65,3
E02003272,Luton 015,780,863,58,78,231,731,87,3
E02003273,Luton 016,1061,1454,38,710,155,817,67,8
E02003274,Luton 017,588,632,11,249,326,1444,105,7
E02003276,Luton 019,490,571,14,70,206,1297,78,2
E02003277,Luton 020,778,977,35,911,322,853,77,14
E02003278,Luton 021,693,816,36,533,475,2587,104,12
E02003279,Southend-on-Sea 001,1987,1392,8,80,83,427,80,0
E02003280,Southend-on-Sea 002,1676,1502,39,438,167,579,76,3
E02003281,Southend-on-Sea 003,1909,1302,9,313,97,478,90,6
E02003282,Southend-on-Sea 004,1563,1482,7,222,204,887,79,2
E02003283,Southend-on-Sea 005,1473,1536,30,589,157,573,84,4
E02003284,Southend-on-Sea 006,1315,1623,24,339,139,1094,97,8
E02003285,Southend-on-Sea 007,1025,1624,13,33,64,1719,149,1
E02003286,Southend-on-Sea 008,1613,1501,7,55,54,569,53,0
E02003287,Southend-on-Sea 009,1609,1062,22,456,384,586,69,5
E02003288,Southend-on-Sea 010,860,1167,147,844,606,2180,166,4
E02003289,Southend-on-Sea 011,1451,1676,10,42,41,1341,147,0
E02003290,Southend-on-Sea 012,1341,1280,25,90,126,1515,93,2
E02003291,Southend-on-Sea 013,1482,1437,59,465,678,924,94,2
E02003292,Southend-on-Sea 014,786,1060,54,322,1016,2207,110,2
E02003293,Southend-on-Sea 015,1141,1166,20,75,168,2953,143,2
E02003294,Southend-on-Sea 016,2003,1245,13,25,34,547,89,0
E02003295,Southend-on-Sea 017,1488,1249,15,430,180,507,56,1
E02003296,Thurrock 001,1324,1125,5,20,8,242,40,0
E02003297,Thurrock 002,1053,933,4,490,61,320,53,2
E02003298,Thurrock 003,1070,1025,10,292,165,213,54,4
E02003299,Thurrock 004,1024,969,4,119,10,276,54,0
E02003300,Thurrock 005,1153,1471,36,105,154,602,67,0
E02003301,Thurrock 006,1047,1874,29,804,194,496,65,4
E02003302,Thurrock 007,710,1366,11,1347,111,421,54,5
E02003303,Thurrock 008,839,1534,32,654,101,328,50,2
E02003304,Thurrock 009,1084,1280,12,897,76,254,35,2
E02003305,Thurrock 010,1055,1070,10,250,31,191,46,0
E02003307,Thurrock 012,1028,1183,5,1268,96,330,48,3
E02003308,Thurrock 013,823,1194,33,101,139,467,47,1
E02003309,Thurrock 014,1057,1192,9,191,43,445,59,4
E02003311,Thurrock 016,755,1202,27,206,92,1072,86,2
E02003312,Thurrock 017,408,1061,40,613,260,1307,73,6
E02003313,Thurrock 018,803,1405,22,1623,246,1032,79,6
E02003314,Medway 001,1281,959,31,49,229,249,65,0
E02003315,Medway 002,914,924,19,24,145,157,42,0
E02003316,Medway 003,1528,1953,115,83,484,424,80,0
E02003317,Medway 004,893,1126,48,40,330,278,41,1
E02003318,Medway 005,1099,876,14,9,91,161,33,0
E02003319,Medway 006,789,1061,37,41,327,953,90,0
E02003320,Medway 007,713,1070,136,235,431,1040,164,3
E02003321,Medway 008,683,739,26,119,619,256,53,0
E02003322,Medway 009,537,699,129,267,155,1268,78,3
E02003323,Medway 010,634,890,82,280,344,539,50,1
E02003324,Medway 011,954,1578,109,90,476,585,68,0
E02003325,Medway 012,503,655,22,305,202,1256,61,5
E02003326,Medway 013,825,1030,23,143,77,788,74,1
E02003327,Medway 014,664,888,77,94,764,1068,104,2
E02003328,Medway 015,589,844,116,204,929,1471,172,6
E02003329,Medway 016,610,760,5,36,71,1079,84,0
E02003330,Medway 017,775,952,67,34,307,544,52,1
E02003331,Medway 018,1132,1204,19,713,175,361,57,8
E02003332,Medway 019,820,805,37,247,86,281,31,3
E02003333,Medway 020,475,684,38,94,415,1008,68,6
E02003334,Medway 021,633,728,11,42,171,677,49,0
E02003335,Medway 022,465,735,22,140,436,847,48,7
E02003336,Medway 023,1260,953,24,111,46,196,41,3
E02003337,Medway 024,888,931,36,59,392,314,56,1
E02003338,Medway 025,972,973,29,240,213,679,65,3
E02003339,Medway 026,971,863,30,32,237,263,36,1
E02003340,Medway 027,880,1024,23,159,752,326,54,1
E02003341,Medway 028,1031,1141,59,22,182,195,32,2
E02003342,Medway 029,1135,917,7,156,41,273,43,2
E02003343,Medway 030,1317,822,12,41,11,139,33,2
E02003344,Medway 031,740,967,21,127,517,288,39,1
E02003345,Medway 032,941,1091,19,11,38,314,36,1
E02003346,Medway 033,1107,1107,80,53,222,258,51,0
E02003347,Medway 034,658,1198,34,16,70,423,36,1
E02003348,Medway 035,1634,1208,7,9,23,265,45,0
E02003349,Medway 036,1297,1152,14,115,57,382,50,1
E02003350,Medway 037,915,941,20,80,324,190,42,2
E02003351,Medway 038,1129,1291,52,30,187,427,50,1
E02003352,Bracknell Forest 001,1320,795,11,19,37,250,73,0
E02003353,Bracknell Forest 002,1412,2290,181,100,285,576,90,1
E02003354,Bracknell Forest 003,1234,1787,41,130,313,582,40,2
E02003355,Bracknell Forest 004,562,831,62,353,590,434,39,7
E02003356,Bracknell Forest 005,1093,1143,5,48,88,411,60,5
E02003357,Bracknell Forest 006,825,1423,130,361,781,738,66,4
E02003358,Bracknell Forest 007,879,1457,129,317,1058,1110,76,7
E02003359,Bracknell Forest 008,568,1122,35,191,271,562,44,5
E02003360,Bracknell Forest 009,1087,1788,139,312,508,446,50,2
E02003361,Bracknell Forest 010,782,1156,20,252,459,363,41,1
E02003362,Bracknell Forest 011,817,965,8,215,366,323,40,0
E02003363,Bracknell Forest 012,1108,898,72,32,101,368,92,1
E02003364,Bracknell Forest 013,853,1264,26,73,210,254,32,1
E02003365,Bracknell Forest 014,1006,1183,13,56,189,264,34,0
E02003366,Bracknell Forest 015,940,951,7,51,127,276,167,0
E02003367,West Berkshire 001,841,802,20,26,366,310,109,0
E02003368,West Berkshire 002,871,664,10,46,407,355,153,1
E02003369,West Berkshire 003,1095,831,19,10,175,336,94,0
E02003370,West Berkshire 004,1243,1003,23,13,131,257,53,0
E02003371,West Berkshire 005,1201,956,4,2,23,131,31,0
E02003372,West Berkshire 006,1316,1103,9,28,307,296,33,1
E02003373,West Berkshire 007,1094,1072,40,16,256,399,164,0
E02003374,West Berkshire 008,807,943,18,19,309,321,34,0
E02003375,West Berkshire 009,713,908,48,45,493,442,44,0
E02003376,West Berkshire 010,978,641,21,33,390,568,60,0
E02003377,West Berkshire 011,1632,1291,56,40,359,447,146,1
E02003378,West Berkshire 012,1214,898,35,63,663,642,79,1
E02003379,West Berkshire 013,740,895,64,54,493,540,42,0
E02003380,West Berkshire 014,1186,1386,48,22,310,357,52,1
E02003381,West Berkshire 015,839,850,26,26,265,218,155,0
E02003382,West Berkshire 016,874,938,41,60,787,446,58,1
E02003383,West Berkshire 017,989,1125,27,18,219,354,33,0
E02003384,West Berkshire 018,1064,767,10,25,304,417,124,0
E02003385,West Berkshire 019,1067,1479,271,78,850,1487,118,0
E02003386,West Berkshire 020,963,1094,33,93,809,605,63,0
E02003387,West Berkshire 021,1559,1336,29,32,298,435,62,1
E02003388,West Berkshire 022,926,849,26,36,303,307,55,0
E02003389,Reading 001,1392,1212,45,47,93,346,52,0
E02003390,Reading 002,1359,1251,9,17,29,208,21,0
E02003391,Reading 003,1317,1306,11,192,90,443,46,3
E02003392,Reading 004,856,1088,69,259,388,1041,62,4
E02003393,Reading 005,1378,1279,6,56,46,459,52,4
E02003394,Reading 006,585,1103,65,542,284,558,57,10
E02003395,Reading 007,648,1029,80,67,306,2049,116,1
E02003396,Reading 008,847,1266,74,105,335,1358,83,4
E02003397,Reading 009,961,972,11,689,139,417,43,15
E02003398,Reading 010,546,926,61,335,334,1948,117,7
E02003400,Reading 012,647,671,16,26,81,1595,56,0
E02003401,Reading 013,839,944,38,464,269,1231,66,3
E02003402,Reading 014,609,877,33,242,202,1982,112,3
E02003403,Reading 015,1039,1128,40,783,310,457,49,19
E02003404,Reading 016,558,497,21,520,206,423,43,11
E02003405,Reading 017,570,1154,109,922,761,1293,85,15
E02003406,Reading 018,732,986,58,609,238,372,40,12
E02003407,Slough 001,556,1182,62,1125,308,425,39,12
E02003408,Slough 002,866,956,14,267,190,1144,80,7
E02003409,Slough 003,864,1229,34,661,210,924,60,4
E02003410,Slough 004,743,942,26,488,178,912,97,14
E02003411,Slough 005,732,1043,21,616,346,877,94,14
E02003412,Slough 006,916,1297,28,327,164,824,61,2
E02003414,Slough 008,774,1594,84,380,473,1356,71,0
E02003415,Slough 009,584,891,43,375,335,1910,114,7
E02003416,Slough 010,820,1191,26,223,152,846,52,0
E02003417,Slough 011,791,1211,51,274,296,1864,93,4
E02003418,Slough 012,678,1092,31,793,121,616,37,6
E02003419,Slough 013,612,937,40,436,446,612,53,5
E02003420,Slough 014,420,686,39,66,303,841,38,1
E02003421,Windsor and Maidenhead 001,948,791,8,7,77,273,46,1
E02003422,Windsor and Maidenhead 002,2046,1639,23,25,379,560,183,2
E02003423,Windsor and Maidenhead 003,650,757,21,42,618,263,28,2
E02003424,Windsor and Maidenhead 004,1412,1421,31,6,95,857,75,0
E02003425,Windsor and Maidenhead 005,1141,1440,88,83,950,1806,106,7
E02003426,Windsor and Maidenhead 006,1427,1470,17,15,182,582,77,1
E02003427,Windsor and Maidenhead 007,810,921,54,50,571,577,52,2
E02003428,Windsor and Maidenhead 008,1329,1270,23,47,565,280,48,1
E02003429,Windsor and Maidenhead 009,1236,1111,9,7,182,340,73,1
E02003430,Windsor and Maidenhead 010,673,643,15,34,352,651,222,0
E02003431,Windsor and Maidenhead 011,821,1021,11,72,346,458,65,1
E02003432,Windsor and Maidenhead 012,811,954,4,34,367,863,106,1
E02003433,Windsor and Maidenhead 013,1056,759,11,45,256,301,236,0
E02003434,Windsor and Maidenhead 014,997,1040,42,131,965,549,47,2
E02003435,Windsor and Maidenhead 015,961,1014,2,19,147,648,139,0
E02003436,Windsor and Maidenhead 016,1327,1266,6,19,236,436,209,2
E02003437,Windsor and Maidenhead 017,1016,981,16,29,379,448,86,0
E02003438,Windsor and Maidenhead 018,1733,1417,12,42,286,743,120,0
E02003439,Wokingham 001,993,755,12,181,76,211,91,2
E02003440,Wokingham 002,1471,1398,33,186,77,568,51,2
E02003441,Wokingham 003,1409,1110,12,109,31,296,48,2
E02003442,Wokingham 004,1123,1558,51,29,110,433,30,0
E02003443,Wokingham 005,892,836,50,467,189,306,39,3
E02003444,Wokingham 006,1283,1296,32,42,79,489,55,4
E02003445,Wokingham 007,1463,1489,28,28,58,324,33,0
E02003446,Wokingham 008,1418,1241,12,31,53,346,29,0
E02003447,Wokingham 009,1146,1688,203,134,313,411,53,1
E02003448,Wokingham 010,1147,1258,155,76,98,339,65,0
E02003449,Wokingham 011,1007,1288,21,9,55,724,43,1
E02003450,Wokingham 012,1382,2156,171,277,241,716,71,1
E02003451,Wokingham 013,1412,1178,82,552,311,913,86,2
E02003452,Wokingham 014,1164,1683,144,82,222,365,34,0
E02003453,Wokingham 015,1175,1194,34,13,30,187,21,0
E02003454,Wokingham 016,1315,1343,29,76,196,557,49,4
E02003455,Wokingham 017,1142,1998,253,189,165,405,63,2
E02003456,Wokingham 018,836,1201,92,206,124,551,158,4
E02003457,Wokingham 019,1733,1628,7,102,39,250,28,1
E02003458,Wokingham 020,1442,1346,5,56,19,275,73,1
E02003459,Milton Keynes 001,1605,1194,35,176,102,693,75,1
E02003460,Milton Keynes 002,1674,1838,147,264,344,483,88,2
E02003461,Milton Keynes 003,1258,1026,38,183,74,390,50,1
E02003462,Milton Keynes 004,1200,1265,73,126,98,659,73,1
E02003463,Milton Keynes 005,916,822,148,317,108,398,32,3
E02003464,Milton Keynes 006,580,732,89,588,191,437,52,8
E02003465,Milton Keynes 007,927,770,331,156,117,387,44,0
E02003466,Milton Keynes 008,714,1060,47,278,106,822,65,2
E02003467,Milton Keynes 009,557,568,30,441,341,570,61,4
E02003468,Milton Keynes 010,1267,1171,182,244,137,690,75,5
E02003469,Milton Keynes 011,902,764,126,147,33,413,30,2
E02003470,Milton Keynes 012,293,408,54,833,269,329,38,13
E02003471,Milton Keynes 013,586,582,184,379,286,507,54,3
E02003472,Milton Keynes 014,395,532,258,658,483,2037,85,13
E02003473,Milton Keynes 015,636,658,303,71,29,597,46,0
E02003474,Milton Keynes 016,890,984,153,195,422,710,56,6
E02003476,Milton Keynes 018,375,493,84,896,333,901,91,4
E02003478,Milton Keynes 020,634,765,336,133,235,555,54,3
E02003479,Milton Keynes 021,383,471,213,353,555,812,73,8
E02003480,Milton Keynes 022,672,921,415,46,680,659,41,4
E02003481,Milton Keynes 023,479,554,123,1108,446,572,66,10
E02003482,Milton Keynes 024,1141,1449,160,138,185,477,57,3
E02003483,Milton Keynes 025,676,1616,246,72,587,781,42,0
E02003484,Milton Keynes 026,645,753,350,104,454,558,51,1
E02003485,Milton Keynes 027,1014,989,53,608,105,393,51,10
E02003486,Milton Keynes 028,729,1521,372,75,353,699,49,2
E02003487,Milton Keynes 029,1047,922,45,514,32,345,38,9
E02003488,Milton Keynes 030,1032,1012,65,347,115,689,74,8
E02003489,Milton Keynes 031,1074,1013,127,228,148,475,53,3
E02003490,Milton Keynes 032,533,1326,217,1035,244,574,44,18
E02003491,Brighton and Hove 001,1174,1216,12,284,51,269,49,2
E02003492,Brighton and Hove 002,441,378,6,721,122,358,35,17
E02003493,Brighton and Hove 003,1374,1167,15,116,93,537,65,4
E02003494,Brighton and Hove 004,1099,996,10,148,53,297,38,1
E02003495,Brighton and Hove 005,983,1059,22,201,278,345,51,4
E02003496,Brighton and Hove 006,1033,889,16,708,73,352,46,15
E02003497,Brighton and Hove 007,1191,1128,22,38,37,415,48,0
E02003498,Brighton and Hove 008,549,602,27,1084,400,679,66,30
E02003499,Brighton and Hove 009,517,474,38,725,446,506,37,18
E02003500,Brighton and Hove 010,959,1300,9,42,45,551,46,0
E02003501,Brighton and Hove 011,1164,1199,23,49,70,1100,58,1
E02003502,Brighton and Hove 012,869,1113,26,451,224,477,62,7
E02003503,Brighton and Hove 013,1109,1184,16,429,246,406,56,7
E02003504,Brighton and Hove 014,875,1195,56,83,220,1372,100,2
E02003505,Brighton and Hove 015,619,948,37,181,174,1770,102,4
E02003506,Brighton and Hove 016,681,1204,38,85,129,779,45,4
E02003507,Brighton and Hove 017,1567,1200,25,439,191,419,65,8
