Middle layer Super Output Areas Code,Middle layer Super Output Areas,Owns_outright,Owns_with_a_mortgage_or_loan,Shared_ownership,Social_rented_Rents_from_council_or_Local_Authority,Other_social_rented,Private_rented_Private_landlord_or_letting_agency,Other_private_rented,Lives_rent_free
E02000461,Harrow 029,632,717,30,94,44,882,155,3
E02000462,Harrow 030,652,610,20,48,134,745,76,0
E02000463,Harrow 031,740,910,14,387,131,593,47,12
E02000464,Havering 001,756,970,15,676,123,293,38,2
E02000465,Havering 002,679,1166,29,994,156,421,45,4
E02000466,Havering 003,1037,1074,37,591,169,331,53,1
E02000467,Havering 004,573,1043,51,1719,321,492,71,19
E02000468,Havering 005,1121,1203,25,254,112,394,53,5
E02000469,Havering 006,615,888,17,654,161,320,37,7
E02000470,Havering 007,1438,1574,43,140,182,670,82,3
E02000471,Havering 008,1507,1137,9,42,16,196,34,2
E02000472,Havering 009,1356,1425,20,215,27,427,57,0
E02000473,Havering 010,1439,1665,97,105,142,529,43,2
E02000474,Havering 011,1038,1279,56,411,105,592,47,3
E02000475,Havering 012,1433,1332,35,241,171,689,53,4
E02000476,Havering 013,758,999,150,276,476,1456,81,2
E02000477,Havering 014,1615,1522,6,62,37,431,41,0
E02000478,Havering 015,1111,791,3,15,99,111,19,1
E02000479,Havering 016,907,1234,47,319,141,1061,72,8
E02000480,Havering 017,1110,1549,84,378,570,1217,94,10
E02000481,Havering 018,1484,1152,19,217,22,281,68,3
E02000482,Havering 019,1308,1009,4,40,9,184,23,0
E02000483,Havering 020,1272,1011,6,286,184,663,49,2
E02000484,Havering 021,1363,1300,13,150,44,331,49,3
E02000485,Havering 022,1315,1294,10,171,27,579,61,1
E02000486,Havering 023,1299,1123,4,62,38,402,61,1
E02000487,Havering 024,1603,1137,5,27,12,130,30,0
E02000488,Havering 025,1497,1145,17,53,34,225,43,0
E02000489,Havering 026,1138,1174,27,404,84,376,54,3
E02000490,Havering 027,1216,1150,16,306,122,356,58,3
E02000491,Havering 028,1018,1320,102,386,550,484,66,5
E02000492,Havering 029,1244,952,10,40,88,255,32,4
E02000493,Havering 030,668,843,23,193,159,556,53,2
E02000494,Hillingdon 001,1161,1002,8,117,309,536,86,0
E02000495,Hillingdon 002,1238,1069,18,346,225,1322,86,0
E02000496,Hillingdon 003,1049,1040,20,504,133,366,62,2
E02000497,Hillingdon 004,1172,1223,39,462,238,487,71,3
E02000498,Hillingdon 005,943,917,22,257,167,284,45,2
E02000499,Hillingdon 006,1338,1068,10,133,38,395,32,0
E02000500,Hillingdon 007,1322,1035,35,27,168,669,50,0
E02000501,Hillingdon 008,1211,1303,12,120,119,453,53,3
E02000502,Hillingdon 009,1114,1233,52,114,79,739,201,2
E02000503,Hillingdon 010,1184,1371,22,37,76,435,128,2
E02000504,Hillingdon 011,1287,1098,9,85,27,317,97,2
E02000506,Hillingdon 013,1287,1041,5,53,122,335,56,0
E02000507,Hillingdon 014,866,1157,17,191,71,441,42,0
E02000508,Hillingdon 015,772,1262,98,387,346,1243,228,4
E02000509,Hillingdon 016,661,725,66,582,231,1045,82,10
E02000510,Hillingdon 017,1011,1072,14,189,221,688,62,3
E02000511,Hillingdon 018,990,1206,68,150,117,656,74,1
E02000512,Hillingdon 019,607,828,35,574,230,776,52,4
E02000513,Hillingdon 020,535,870,42,703,256,851,59,4
E02000514,Hillingdon 021,856,956,26,109,128,996,108,1
E02000515,Hillingdon 022,887,1326,148,626,518,1722,109,9
E02000516,Hillingdon 023,657,807,54,102,435,699,61,3
E02000517,Hillingdon 024,588,945,38,548,283,863,53,2
E02000518,Hillingdon 025,649,895,39,741,290,656,54,6
E02000519,Hillingdon 026,508,706,49,694,325,663,60,19
E02000520,Hillingdon 027,720,1067,96,467,475,1507,112,11
E02000521,Hillingdon 028,658,1220,129,492,664,1110,74,5
E02000522,Hillingdon 029,745,934,47,484,383,816,78,3
E02000523,Hillingdon 030,746,927,87,96,319,1403,94,11
E02000524,Hillingdon 031,601,523,14,161,201,1072,64,3
E02000525,Hillingdon 032,609,737,22,364,173,1312,84,17
E02000526,Hounslow 001,978,903,48,215,192,1200,80,1
E02000529,Hounslow 004,643,871,52,367,188,819,87,10
E02000530,Hounslow 005,355,491,35,915,151,493,58,18
E02000531,Hounslow 006,950,1299,204,755,304,1308,104,12
E02000532,Hounslow 007,1079,1027,15,583,186,829,88,12
E02000533,Hounslow 008,925,1022,16,395,248,991,82,10
E02000534,Hounslow 009,833,878,53,34,166,930,107,0
E02000535,Hounslow 010,909,755,27,246,162,823,74,10
E02000536,Hounslow 011,839,786,78,179,344,932,72,16
E02000537,Hounslow 012,909,743,8,35,51,1318,90,4
E02000538,Hounslow 013,669,597,38,383,66,1100,143,8
E02000539,Hounslow 014,815,1400,131,507,578,1198,104,4
E02000540,Hounslow 015,767,1024,204,346,573,1486,75,12
E02000541,Hounslow 016,682,468,28,327,625,1047,90,14
E02000542,Hounslow 017,635,614,116,519,431,1536,87,14
E02000543,Hounslow 018,759,801,113,277,371,2458,106,9
E02000544,Hounslow 019,1007,982,22,78,64,702,63,5
E02000545,Hounslow 020,648,943,40,966,214,687,46,4
E02000546,Hounslow 021,727,744,54,218,268,1078,66,2
E02000547,Hounslow 022,844,1076,31,755,165,871,73,37
E02000548,Hounslow 023,549,884,269,688,549,726,51,10
E02000549,Hounslow 024,1033,1302,50,487,251,836,110,9
E02000550,Hounslow 025,494,943,128,737,489,858,64,5
E02000551,Hounslow 026,500,753,68,823,650,562,43,16
E02000552,Hounslow 027,738,1176,106,161,226,899,48,6
E02000553,Hounslow 028,691,861,52,458,92,400,39,6
E02000554,Islington 001,385,597,36,1584,589,921,52,36
E02000555,Islington 002,589,777,74,1028,461,1035,58,10
E02000556,Islington 003,555,889,58,957,595,1756,99,40
E02000557,Islington 004,388,580,38,963,848,1238,73,11
E02000558,Islington 005,257,319,28,1633,675,954,66,25
E02000559,Islington 006,635,897,53,531,508,1277,95,2
E02000560,Islington 007,400,545,30,428,389,1382,92,7
E02000561,Islington 008,691,751,19,270,488,864,73,2
E02000562,Islington 009,503,690,34,971,350,852,71,17
E02000563,Islington 010,337,529,48,1358,499,984,86,18
E02000564,Islington 011,493,863,276,957,949,1995,120,10
E02000565,Islington 012,317,492,34,1297,336,923,86,11
E02000566,Islington 013,666,739,62,570,500,1206,88,8
E02000567,Islington 014,551,871,51,1460,510,1348,94,9
E02000568,Islington 015,325,507,140,1269,1157,1171,81,19
E02000569,Islington 016,536,634,73,1373,798,1075,101,13
E02000570,Islington 017,738,760,14,530,547,1294,103,4
E02000571,Islington 018,419,616,45,1211,677,1068,71,15
E02000572,Islington 019,209,255,46,918,1229,809,45,12
E02000573,Islington 020,798,710,178,733,700,1694,105,2
E02000574,Islington 021,445,449,54,829,502,1227,91,8
E02000575,Islington 022,559,650,64,1584,444,1709,146,14
E02000576,Islington 023,354,468,129,1628,953,1302,101,14
E02000577,Kensington and Chelsea 001,156,196,67,1317,935,421,70,13
E02000578,Kensington and Chelsea 002,140,134,87,527,1149,200,46,26
E02000579,Kensington and Chelsea 003,583,506,88,549,1191,798,97,8
E02000580,Kensington and Chelsea 004,349,328,33,571,1614,986,96,12
E02000581,Kensington and Chelsea 005,199,151,88,1234,864,414,44,17
E02000582,Kensington and Chelsea 006,763,414,46,128,356,1383,174,6
E02000583,Kensington and Chelsea 007,786,483,21,126,567,991,144,1
E02000584,Kensington and Chelsea 008,1015,513,22,130,147,1317,184,3
E02000585,Kensington and Chelsea 009,844,489,34,147,425,1287,159,2
E02000586,Kensington and Chelsea 010,843,368,14,25,105,1337,189,2
