Middle layer Super Output Areas Code,Middle layer Super Output Areas,Occupancy_rating_of_rooms_+2_or_more,Occupancy_rating_of_rooms_+1,Occupancy_rating_of_rooms_0,Occupancy_rating_of_rooms_-1,Occupancy_rating_of_rooms_-2_or_less,Total
E02004971,Watford 004,1174,755,806,294,64,3093
E02004972,Watford 005,1190,607,462,118,20,2397
E02004973,Watford 006,1189,885,908,327,103,3412
E02004974,Watford 007,1492,869,955,246,30,3592
E02004975,Watford 008,1688,498,559,158,36,2939
E02004976,Watford 009,1074,968,2117,860,131,5150
E02004977,Watford 010,1169,706,771,381,135,3162
E02004978,Watford 011,779,876,1467,623,105,3850
E02004979,Watford 012,1419,653,616,197,36,2921
E02004980,Welwyn Hatfield 001,1745,440,210,32,3,2430
E02004981,Welwyn Hatfield 002,1668,818,615,107,24,3232
E02004982,Welwyn Hatfield 003,1274,617,421,78,7,2397
E02004983,Welwyn Hatfield 004,911,819,729,132,14,2605
E02004984,Welwyn Hatfield 005,1011,695,999,179,11,2895
E02004985,Welwyn Hatfield 006,1509,749,692,140,8,3098
E02004986,Welwyn Hatfield 007,907,1158,1430,212,26,3733
E02004987,Welwyn Hatfield 008,1253,852,750,158,26,3039
E02004988,Welwyn Hatfield 009,993,1021,907,158,33,3112
E02004989,Welwyn Hatfield 010,1311,922,1272,403,81,3989
E02004990,Welwyn Hatfield 011,1190,773,712,181,60,2916
E02004991,Welwyn Hatfield 012,721,717,1207,376,74,3095
E02004992,Welwyn Hatfield 013,848,761,821,329,80,2839
E02004994,Welwyn Hatfield 015,1642,456,193,33,12,2336
E02004995,Welwyn Hatfield 016,1472,432,229,62,5,2200
E02004996,Ashford 001,1935,872,557,119,11,3494
E02004997,Ashford 002,2114,767,461,80,15,3437
E02004998,Ashford 003,1600,685,346,72,12,2715
E02005000,Ashford 005,1724,1324,1502,339,71,4960
E02005001,Ashford 006,2096,932,601,139,22,3790
E02005002,Ashford 007,1253,1203,1312,260,51,4079
E02005003,Ashford 008,1088,992,912,242,56,3290
E02005004,Ashford 009,2258,1234,826,137,26,4481
E02005005,Ashford 010,2430,1031,548,99,16,4124
E02005006,Ashford 011,1414,660,351,66,10,2501
E02005007,Ashford 012,1991,1110,603,90,20,3814
E02005008,Ashford 013,2282,997,716,95,15,4105
E02005009,Ashford 014,1495,568,372,63,9,2507
E02005010,Canterbury 001,1139,932,1269,306,26,3672
E02005011,Canterbury 002,1751,1059,436,84,9,3339
E02005012,Canterbury 003,1718,1117,761,180,28,3804
E02005013,Canterbury 004,1480,1411,651,104,21,3667
E02005014,Canterbury 005,2107,1158,394,66,8,3733
E02005015,Canterbury 006,1784,1267,635,120,21,3827
E02005016,Canterbury 007,1700,1030,561,123,11,3425
E02005017,Canterbury 008,1639,874,550,85,18,3166
E02005018,Canterbury 009,1901,1146,533,111,17,3708
E02005019,Canterbury 010,1445,623,385,78,16,2547
E02005020,Canterbury 011,1368,988,552,150,26,3084
E02005021,Canterbury 012,1614,624,350,77,4,2669
E02005022,Canterbury 013,1132,683,769,338,38,2960
E02005023,Canterbury 014,847,976,1273,406,55,3557
E02005025,Canterbury 016,1646,905,747,307,23,3628
E02005026,Canterbury 017,1728,859,489,109,19,3204
E02005027,Canterbury 018,1416,540,247,61,9,2273
E02005028,Dartford 001,1393,1560,1840,438,76,5307
E02005029,Dartford 002,1949,1979,1629,326,49,5932
E02005030,Dartford 003,1536,1456,1496,355,78,4921
E02005031,Dartford 004,964,971,1090,252,50,3327
E02005032,Dartford 005,1340,1176,1035,366,46,3963
E02005033,Dartford 006,831,950,970,358,47,3156
E02005034,Dartford 007,1747,704,296,68,8,2823
E02005035,Dartford 008,1549,805,602,150,31,3137
E02005036,Dartford 009,740,697,862,260,40,2599
E02005037,Dartford 010,1629,803,279,59,10,2780
E02005038,Dartford 011,1236,650,382,71,13,2352
E02005039,Dartford 012,1182,766,530,172,20,2670
E02005040,Dartford 013,1821,585,267,48,11,2732
E02005041,Dover 001,1718,786,409,81,14,3008
E02005042,Dover 002,2185,1135,588,83,25,4016
E02005043,Dover 003,1741,851,633,97,11,3333
E02005044,Dover 004,1678,850,592,90,12,3222
E02005045,Dover 005,1859,1237,653,126,16,3891
E02005046,Dover 006,1553,1036,692,145,28,3454
E02005047,Dover 007,1608,998,695,123,16,3440
E02005048,Dover 008,1696,695,287,60,12,2750
E02005049,Dover 009,2058,744,320,55,11,3188
E02005050,Dover 010,2250,1152,525,93,12,4032
E02005051,Dover 011,1874,1676,1631,347,67,5595
E02005052,Dover 012,1112,1079,1211,282,41,3725
E02005053,Dover 013,1487,1049,1047,314,53,3950
E02005054,Dover 014,1632,875,358,60,12,2937
E02005055,Gravesham 001,858,868,1027,370,86,3209
E02005056,Gravesham 002,889,1060,1884,687,132,4652
E02005057,Gravesham 003,1425,1268,1257,330,82,4362
E02005058,Gravesham 004,1096,848,773,199,45,2961
E02005059,Gravesham 005,2236,768,596,153,27,3780
E02005060,Gravesham 006,1415,916,840,146,29,3346
E02005061,Gravesham 007,1158,656,777,182,48,2821
E02005062,Gravesham 008,1313,724,414,107,33,2591
E02005063,Gravesham 009,1340,701,509,106,23,2679
E02005064,Gravesham 010,1694,567,322,67,12,2662
E02005065,Gravesham 011,931,909,1044,239,40,3163
E02005066,Gravesham 012,2026,776,298,71,14,3185
E02005067,Gravesham 013,1385,527,330,61,15,2318
E02005068,Maidstone 001,1687,687,369,67,13,2823
E02005069,Maidstone 002,1945,925,584,115,27,3596
E02005070,Maidstone 003,2396,1200,392,58,3,4049
E02005071,Maidstone 004,1354,1585,1947,531,60,5477
E02005072,Maidstone 005,2091,690,340,47,8,3176
E02005073,Maidstone 006,1708,1398,1724,507,60,5397
E02005074,Maidstone 007,1883,928,480,75,6,3372
E02005075,Maidstone 008,1932,1140,928,181,40,4221
E02005076,Maidstone 009,1383,1194,1029,252,49,3907
E02005077,Maidstone 010,1678,749,545,116,21,3109
E02005078,Maidstone 011,2258,1017,584,104,22,3985
E02005079,Maidstone 012,2139,823,500,84,19,3565
E02005080,Maidstone 013,1534,1285,1613,298,45,4775
E02005081,Maidstone 014,1684,774,477,54,7,2996
E02005082,Maidstone 015,2383,1282,826,148,22,4661
E02005083,Maidstone 016,1779,844,503,94,11,3231
E02005084,Maidstone 017,1822,728,422,79,11,3062
E02005085,Maidstone 018,1790,745,498,82,26,3141
E02005086,Maidstone 019,1602,649,348,58,7,2664
E02005087,Sevenoaks 001,1732,674,380,70,7,2863
E02005088,Sevenoaks 002,1302,1034,1352,286,56,4030
E02005089,Sevenoaks 003,1532,691,479,104,7,2813
E02005090,Sevenoaks 004,1468,494,401,53,11,2427
E02005091,Sevenoaks 005,1372,852,603,68,8,2903
E02005093,Sevenoaks 007,1383,740,372,73,11,2579
E02005094,Sevenoaks 008,2145,1002,757,142,14,4060
E02005095,Sevenoaks 009,1987,597,331,56,9,2980
E02005096,Sevenoaks 010,1927,994,889,192,27,4029
E02005097,Sevenoaks 011,2551,546,281,59,10,3447
E02005098,Sevenoaks 012,2403,783,721,147,16,4070
E02005099,Sevenoaks 013,2012,714,539,75,10,3350
E02005100,Sevenoaks 014,1852,1184,960,148,25,4169
E02005101,Sevenoaks 015,1796,573,385,75,2,2831
E02005102,Folkestone and Hythe 001,1639,684,317,52,11,2703
E02005103,Folkestone and Hythe 002,1978,1043,669,143,47,3880
E02005104,Folkestone and Hythe 003,1472,921,752,174,36,3355
E02005105,Folkestone and Hythe 004,1312,864,802,191,40,3209
E02005106,Folkestone and Hythe 005,1550,1334,908,192,38,4022
E02005107,Folkestone and Hythe 006,2961,1440,821,160,21,5403
E02005109,Folkestone and Hythe 008,1997,642,286,42,10,2977
E02005110,Folkestone and Hythe 009,1873,801,296,48,12,3030
E02005111,Folkestone and Hythe 010,1486,1159,895,132,14,3686
E02005112,Folkestone and Hythe 011,1703,909,410,72,22,3116
E02005113,Folkestone and Hythe 012,1776,826,490,68,15,3175
E02005114,Folkestone and Hythe 013,1391,798,405,125,19,2738
E02005115,Swale 001,1050,693,631,201,43,2618
E02005116,Swale 002,1019,682,675,218,36,2630
E02005117,Swale 003,1457,807,434,62,21,2781
E02005118,Swale 004,1867,1363,884,170,36,4320
E02005119,Swale 005,1205,837,477,119,31,2669
E02005120,Swale 006,1377,1090,572,121,32,3192
E02005121,Swale 007,2267,1620,1045,246,47,5225
E02005122,Swale 008,1714,782,469,113,23,3101
E02005123,Swale 009,2232,1420,953,253,36,4894
E02005124,Swale 010,1008,1009,1388,320,75,3800
E02005125,Swale 011,1414,1009,756,168,34,3381
E02005126,Swale 012,1788,900,477,115,20,3300
E02005127,Swale 013,2182,779,440,77,13,3491
E02005128,Swale 014,1685,1088,768,165,23,3729
E02005129,Swale 015,2098,1534,1191,229,42,5094
E02005130,Swale 016,1906,1071,672,180,34,3863
E02005131,Swale 017,1315,678,312,86,19,2410
E02005132,Thanet 001,895,1165,2111,663,120,4954
E02005133,Thanet 002,2031,1269,460,69,18,3847
E02005134,Thanet 003,1010,1055,1142,278,52,3537
E02005135,Thanet 004,1390,915,697,160,33,3195
E02005136,Thanet 005,1842,817,504,84,15,3262
E02005137,Thanet 006,1057,925,839,239,44,3104
E02005138,Thanet 007,1329,1409,1206,204,28,4176
E02005139,Thanet 008,1921,1671,573,110,12,4287
E02005140,Thanet 009,1782,1036,532,78,11,3439
E02005141,Thanet 010,1663,849,567,144,12,3235
E02005142,Thanet 011,1354,1176,538,97,20,3185
E02005143,Thanet 012,1629,1092,619,137,24,3501
E02005144,Thanet 013,1229,1034,1015,211,47,3536
E02005145,Thanet 014,1617,1131,612,102,11,3473
E02005146,Thanet 015,1506,921,716,145,26,3314
E02005147,Thanet 016,1241,1162,1856,330,51,4640
E02005148,Thanet 017,1659,1245,513,89,8,3514
E02005149,Tonbridge and Malling 001,2471,1488,850,124,12,4945
E02005150,Tonbridge and Malling 002,1999,1466,1210,238,27,4940
E02005151,Tonbridge and Malling 003,2807,1371,839,113,19,5149
E02005153,Tonbridge and Malling 005,2058,850,748,137,19,3812
E02005154,Tonbridge and Malling 006,2995,965,571,89,15,4635
E02005155,Tonbridge and Malling 007,2967,985,594,103,16,4665
E02005156,Tonbridge and Malling 008,1621,699,510,95,15,2940
E02005157,Tonbridge and Malling 009,1322,687,603,112,19,2743
E02005158,Tonbridge and Malling 010,1662,563,289,68,6,2588
E02005159,Tonbridge and Malling 011,1656,802,549,121,8,3136
E02005160,Tonbridge and Malling 012,1964,1698,1468,216,26,5372
E02005161,Tonbridge and Malling 013,1857,826,672,139,11,3505
E02005162,Tunbridge Wells 001,2359,1073,736,135,29,4332
E02005163,Tunbridge Wells 002,1701,751,541,117,16,3126
E02005164,Tunbridge Wells 003,1600,938,934,246,24,3742
E02005165,Tunbridge Wells 004,1782,617,556,124,12,3091
E02005166,Tunbridge Wells 005,854,757,925,226,39,2801
E02005167,Tunbridge Wells 006,2083,473,305,70,10,2941
E02005168,Tunbridge Wells 007,1696,677,664,143,11,3191
E02005169,Tunbridge Wells 008,1122,1130,1806,538,39,4635
E02005170,Tunbridge Wells 009,1955,1039,864,259,19,4136
E02005171,Tunbridge Wells 010,924,703,812,225,24,2688
E02005172,Tunbridge Wells 011,2084,658,410,112,11,3275
E02005173,Tunbridge Wells 012,2092,784,671,136,13,3696
E02005174,Tunbridge Wells 013,1743,719,487,112,12,3073
E02005175,Tunbridge Wells 014,1861,864,607,143,18,3493
E02005503,Breckland 001,1955,747,344,64,11,3121
E02005504,Breckland 002,2369,1084,453,80,10,3996
E02005505,Breckland 003,1785,722,603,101,13,3224
E02005506,Breckland 004,1697,855,390,61,7,3010
E02005507,Breckland 005,2195,1669,1208,189,21,5282
E02005508,Breckland 006,1847,766,360,69,16,3058
E02005509,Breckland 007,1889,1222,724,123,13,3971
E02005510,Breckland 008,1885,913,386,73,15,3272
E02005511,Breckland 009,1849,1309,699,121,25,4003
E02005512,Breckland 010,2301,880,463,89,15,3748
E02005513,Breckland 011,2167,1459,905,126,20,4677
E02005514,Breckland 012,1717,896,363,61,5,3042
E02005515,Breckland 013,1730,591,310,33,8,2672
E02005516,Breckland 014,1829,776,346,44,8,3003
E02005517,Breckland 015,739,689,734,152,31,2345
E02005518,Breckland 016,2133,1226,965,175,33,4532
E02005519,Breckland 017,1521,807,886,166,30,3410
E02005520,Broadland 001,2244,1114,654,57,8,4077
E02005521,Broadland 002,2227,961,526,80,7,3801
E02005522,Broadland 003,1407,608,282,59,10,2366
E02005523,Broadland 004,2015,946,477,67,11,3516
E02005524,Broadland 005,1270,686,386,34,0,2376
E02005525,Broadland 006,2554,931,604,75,10,4174
E02005526,Broadland 007,1327,556,383,39,4,2309
E02005527,Broadland 008,2535,773,454,43,10,3815
E02005528,Broadland 009,2208,1029,499,59,11,3806
E02005529,Broadland 010,1561,657,346,48,5,2617
E02005530,Broadland 011,1411,627,302,48,3,2391
E02005531,Broadland 012,1258,685,364,52,7,2366
E02005532,Broadland 013,2285,1351,645,69,5,4355
E02005533,Broadland 014,2406,934,495,73,9,3917
E02005534,Broadland 015,1818,946,535,92,5,3396
E02005535,Broadland 016,1863,723,412,53,4,3055
E02005536,Broadland 017,1842,548,288,40,1,2719
E02005537,Broadland 018,1559,723,367,47,6,2702
E02005538,Great Yarmouth 001,2594,1165,473,103,10,4345
E02005539,Great Yarmouth 002,2031,913,387,73,9,3413
E02005540,Great Yarmouth 003,2180,1321,584,72,8,4165
E02005541,Great Yarmouth 004,1453,471,524,88,13,2549
E02005542,Great Yarmouth 005,1267,788,1086,214,41,3396
E02005543,Great Yarmouth 006,1262,1005,1405,412,71,4155
E02005544,Great Yarmouth 007,1292,861,765,172,23,3113
E02005545,Great Yarmouth 008,1465,947,359,60,12,2843
E02005546,Great Yarmouth 009,1475,981,946,309,31,3742
E02005547,Great Yarmouth 010,2296,831,584,80,16,3807
E02005548,Great Yarmouth 011,1241,921,775,143,13,3093
E02005549,Great Yarmouth 012,1326,770,313,69,5,2483
E02005550,Great Yarmouth 013,1622,1145,593,64,9,3433
E02005551,King's Lynn and West Norfolk 001,1288,847,491,70,5,2701
E02005552,King's Lynn and West Norfolk 002,1984,748,317,70,9,3128
E02005553,King's Lynn and West Norfolk 003,2244,1298,627,70,12,4251
E02005554,King's Lynn and West Norfolk 004,1770,1045,454,52,9,3330
E02005555,King's Lynn and West Norfolk 005,2056,570,187,22,6,2841
E02005556,King's Lynn and West Norfolk 006,1615,1117,513,79,3,3327
E02005557,King's Lynn and West Norfolk 007,849,911,811,143,34,2748
E02005558,King's Lynn and West Norfolk 008,1701,838,402,92,15,3048
E02005559,King's Lynn and West Norfolk 009,1478,800,620,155,12,3065
E02005560,King's Lynn and West Norfolk 010,1278,1110,1069,177,33,3667
E02005561,King's Lynn and West Norfolk 011,1591,1472,1773,370,52,5258
E02005562,King's Lynn and West Norfolk 012,1865,966,414,54,10,3309
E02005563,King's Lynn and West Norfolk 013,2010,766,365,101,16,3258
E02005564,King's Lynn and West Norfolk 014,2326,984,442,63,13,3828
E02005565,King's Lynn and West Norfolk 015,1690,965,389,74,6,3124
E02005566,King's Lynn and West Norfolk 016,2526,1204,498,112,16,4356
E02005567,King's Lynn and West Norfolk 017,2464,1747,933,135,13,5292
E02005568,King's Lynn and West Norfolk 018,1984,911,375,57,8,3335
E02005569,King's Lynn and West Norfolk 019,2005,986,481,104,18,3594
E02005570,North Norfolk 001,1930,858,540,76,13,3417
E02005571,North Norfolk 002,1651,758,348,62,13,2832
E02005572,North Norfolk 003,1494,1295,914,141,14,3858
E02005573,North Norfolk 004,1546,852,409,53,10,2870
E02005574,North Norfolk 005,1942,872,354,70,6,3244
E02005575,North Norfolk 006,1962,822,333,53,7,3177
E02005576,North Norfolk 007,1713,940,421,77,6,3157
E02005577,North Norfolk 008,1677,650,338,51,6,2722
E02005578,North Norfolk 009,1459,745,356,86,9,2655
E02005580,North Norfolk 011,1774,1152,716,123,7,3772
E02005581,North Norfolk 012,1923,927,305,68,10,3233
E02005582,North Norfolk 013,1671,973,507,85,13,3249
E02005583,North Norfolk 014,2622,948,400,68,13,4051
E02005584,Norwich 001,1770,1517,1364,278,28,4957
E02005585,Norwich 002,1844,1305,1412,270,33,4864
E02005586,Norwich 003,2845,977,1067,176,21,5086
E02005587,Norwich 004,1812,1216,1012,213,33,4286
E02005588,Norwich 005,1574,1413,1596,399,36,5018
E02005589,Norwich 006,1878,1278,1445,301,41,4943
E02005592,Norwich 009,2637,647,669,230,7,4190
E02005593,Norwich 010,930,739,897,294,34,2894
E02005594,Norwich 011,2411,1326,1631,227,21,5616
E02005595,Norwich 012,2580,792,592,144,16,4124
E02005596,Norwich 013,1713,1244,1355,209,30,4551
E02005598,South Norfolk 002,2694,833,490,73,9,4099
E02005599,South Norfolk 003,1826,759,466,48,4,3103
E02005600,South Norfolk 004,1571,555,287,50,6,2469
E02005601,South Norfolk 005,1335,791,563,64,4,2757
E02005602,South Norfolk 006,3512,1237,777,77,8,5611
E02005603,South Norfolk 007,3023,1463,688,91,8,5273
E02005604,South Norfolk 008,2307,872,518,101,14,3812
E02005605,South Norfolk 009,2778,1079,554,79,11,4501
E02005606,South Norfolk 010,1568,582,277,57,11,2495
E02005607,South Norfolk 011,2943,1182,614,91,12,4842
E02005608,South Norfolk 012,2024,840,396,60,5,3325
E02005609,South Norfolk 013,1769,1025,604,77,6,3481
E02005610,South Norfolk 014,2235,811,419,51,11,3527
E02005611,South Norfolk 015,2424,1557,963,138,17,5099
E02005921,Cherwell 001,1877,638,369,75,5,2964
E02005922,Cherwell 002,1637,1082,792,103,12,3626
E02005923,Cherwell 003,896,604,650,146,42,2338
E02005924,Cherwell 004,1469,1505,2157,425,75,5631
E02005925,Cherwell 005,1034,861,968,327,76,3266
E02005926,Cherwell 006,2135,964,620,135,17,3871
E02005927,Cherwell 007,1234,591,528,77,7,2437
E02005928,Cherwell 008,2687,952,629,97,14,4379
E02005929,Cherwell 009,2025,682,351,61,3,3122
E02005930,Cherwell 010,2448,847,475,76,5,3851
E02005931,Cherwell 011,2517,1060,656,101,11,4345
E02005932,Cherwell 012,1333,670,568,99,11,2681
E02005933,Cherwell 013,1342,942,664,132,24,3104
E02005934,Cherwell 014,1746,996,630,130,20,3522
E02005935,Cherwell 015,1520,1066,1049,122,16,3773
E02005936,Cherwell 016,3037,1017,719,114,9,4896
E02005937,Cherwell 017,1436,768,614,99,15,2932
E02005938,Cherwell 018,1224,569,352,92,17,2254
E02005939,Cherwell 019,1382,762,628,107,19,2898
E02005940,Oxford 001,1367,610,503,106,15,2601
E02005941,Oxford 002,1333,623,603,172,17,2748
E02005942,Oxford 003,1274,507,414,83,7,2285
E02005943,Oxford 004,1341,592,469,156,80,2638
E02005944,Oxford 005,936,856,943,296,81,3112
E02005945,Oxford 006,1826,856,871,248,42,3843
E02005946,Oxford 007,1703,762,722,181,26,3394
E02005947,Oxford 008,703,643,840,260,31,2477
E02005948,Oxford 009,1090,699,697,229,17,2732
E02005949,Oxford 010,646,625,812,334,44,2461
E02005950,Oxford 011,1332,802,1101,530,93,3858
E02005951,Oxford 012,938,629,679,159,17,2422
E02005953,Oxford 014,995,517,507,194,52,2265
E02005954,Oxford 015,1717,859,889,249,149,3863
E02005955,Oxford 016,1362,1094,1167,379,118,4120
E02005956,Oxford 017,771,578,738,242,63,2392
E02005957,Oxford 018,525,722,1007,284,55,2593
E02005958,South Oxfordshire 001,1126,703,442,59,4,2334
E02005959,South Oxfordshire 002,1420,619,317,54,2,2412
E02005960,South Oxfordshire 003,1579,924,651,89,17,3260
E02005961,South Oxfordshire 004,1651,725,405,93,4,2878
E02005962,South Oxfordshire 005,2389,990,637,88,12,4116
E02005963,South Oxfordshire 006,1685,961,558,93,15,3312
E02005964,South Oxfordshire 007,1958,695,325,62,4,3044
E02005965,South Oxfordshire 008,1502,487,287,51,12,2339
E02005966,South Oxfordshire 009,1418,1142,691,68,12,3331
E02005967,South Oxfordshire 010,1516,1274,799,133,15,3737
E02005968,South Oxfordshire 011,1760,690,369,52,8,2879
E02005969,South Oxfordshire 012,2095,1097,875,116,12,4195
E02005970,South Oxfordshire 013,772,803,702,144,14,2435
E02005971,South Oxfordshire 014,1229,813,459,84,14,2599
E02005972,South Oxfordshire 015,2773,1201,750,102,9,4835
E02005973,South Oxfordshire 016,1366,786,524,96,14,2786
E02005974,South Oxfordshire 017,1518,701,490,82,10,2801
E02005975,South Oxfordshire 018,2228,667,317,58,3,3273
E02005976,South Oxfordshire 019,1867,363,182,27,2,2441
E02005977,South Oxfordshire 020,1648,530,274,36,1,2489
E02005978,Vale of White Horse 001,2041,657,308,40,8,3054
E02005979,Vale of White Horse 002,2509,854,631,100,13,4107
E02005980,Vale of White Horse 003,2604,916,588,69,11,4188
E02005981,Vale of White Horse 004,2294,729,426,85,0,3534
E02005982,Vale of White Horse 005,1302,600,426,90,6,2424
E02005983,Vale of White Horse 006,1861,1424,1518,245,20,5068
E02005984,Vale of White Horse 007,2565,691,422,45,2,3725
E02005985,Vale of White Horse 008,1708,866,691,107,20,3392
E02005986,Vale of White Horse 009,2115,1168,816,123,9,4231
E02005987,Vale of White Horse 010,2471,866,733,89,12,4171
E02005988,Vale of White Horse 011,2098,1004,622,88,7,3819
E02005991,Vale of White Horse 014,2531,1047,783,97,9,4467
E02005992,Vale of White Horse 015,3156,1388,996,132,12,5684
E02005993,West Oxfordshire 001,1592,955,602,90,12,3251
E02005994,West Oxfordshire 002,1598,583,312,65,3,2561
E02005995,West Oxfordshire 003,1682,638,344,54,9,2727
E02005996,West Oxfordshire 004,2291,883,595,105,9,3883
E02005997,West Oxfordshire 005,1634,572,356,55,5,2622
E02005998,West Oxfordshire 006,1760,665,411,77,9,2922
E02005999,West Oxfordshire 007,1616,653,385,56,9,2719
E02006000,West Oxfordshire 008,2556,1324,909,165,22,4976
E02006001,West Oxfordshire 009,1352,885,615,89,9,2950
E02006002,West Oxfordshire 010,2015,1489,1159,177,39,4879
E02006003,West Oxfordshire 011,1352,660,433,80,15,2540
E02006004,West Oxfordshire 012,1621,591,381,49,5,2647
E02006005,West Oxfordshire 013,1783,1199,728,147,16,3873
E02006006,West Oxfordshire 014,1148,831,372,47,6,2404
E02006007,West Oxfordshire 015,1861,717,359,81,12,3030
E02006227,Babergh 001,1872,638,434,45,5,2994
E02006228,Babergh 002,1518,698,356,68,4,2644
E02006229,Babergh 003,1610,727,389,76,4,2806
E02006230,Babergh 004,2654,1180,697,119,16,4666
E02006231,Babergh 005,2080,1047,570,61,10,3768
E02006232,Babergh 006,1566,679,300,56,5,2606
E02006233,Babergh 007,2323,1624,1311,182,25,5465
E02006234,Babergh 008,1792,1251,876,114,16,4049
E02006235,Babergh 009,2458,652,373,53,6,3542
E02006236,Babergh 010,3012,929,392,78,8,4419
E02006237,Babergh 011,2006,775,400,45,10,3236
E02006238,West Suffolk 002,1774,1599,954,146,26,4499
E02006239,West Suffolk 001,1623,1157,460,78,7,3325
E02006240,West Suffolk 003,2375,1158,597,79,18,4227
E02006241,West Suffolk 004,1844,1221,828,141,14,4048
E02006242,West Suffolk 007,2636,1225,587,86,8,4542
E02006243,West Suffolk 008,1661,1414,1179,154,15,4423
E02006245,Ipswich 001,1614,785,701,143,21,3264
E02006246,Ipswich 002,2195,570,221,67,8,3061
E02006247,Ipswich 003,1695,1145,817,175,24,3856
E02006248,Ipswich 004,1948,805,498,100,9,3360
E02006249,Ipswich 005,2184,714,611,125,29,3663
E02006250,Ipswich 006,1833,967,1256,387,72,4515
E02006251,Ipswich 007,1775,1287,1626,445,66,5199
E02006252,Ipswich 008,2139,1059,812,134,18,4162
E02006253,Ipswich 009,2179,601,344,46,14,3184
E02006254,Ipswich 010,1285,1040,1306,320,57,4008
E02006255,Ipswich 011,1796,874,726,116,19,3531
E02006256,Ipswich 012,1651,1073,1309,221,43,4297
E02006257,Ipswich 013,1447,655,754,86,14,2956
E02006258,Ipswich 014,1769,994,781,159,45,3748
E02006259,Ipswich 015,1323,702,933,190,23,3171
E02006260,Ipswich 016,1636,914,776,164,35,3525
E02006261,Mid Suffolk 001,2169,790,413,55,11,3438
E02006262,Mid Suffolk 002,2510,818,438,68,15,3849
E02006263,Mid Suffolk 003,2112,695,409,62,11,3289
E02006264,Mid Suffolk 004,2343,924,429,60,5,3761
E02006265,Mid Suffolk 005,1898,825,464,64,13,3264
E02006266,Mid Suffolk 006,2536,948,593,68,10,4155
E02006267,Mid Suffolk 007,2316,732,380,61,12,3501
E02006268,Mid Suffolk 008,1129,874,654,107,10,2774
E02006269,Mid Suffolk 009,1883,829,436,73,8,3229
E02006270,Mid Suffolk 010,2671,1819,964,118,8,5580
E02006271,Mid Suffolk 011,2042,1335,696,90,8,4171
E02006272,Mid Suffolk 012,1845,926,483,66,11,3331
E02006273,West Suffolk 005,1753,873,362,55,7,3050
E02006274,West Suffolk 006,1525,703,375,44,5,2652
E02006275,West Suffolk 009,1154,867,747,140,19,2927
E02006276,West Suffolk 016,2245,721,482,69,7,3524
E02006277,West Suffolk 012,1834,846,527,58,7,3272
E02006278,West Suffolk 011,1881,1317,1140,164,21,4523
E02006279,West Suffolk 014,2159,1106,665,129,9,4068
E02006280,West Suffolk 010,2592,931,438,66,2,4029
E02006281,West Suffolk 013,2109,926,915,82,7,4039
E02006282,West Suffolk 017,1883,750,319,50,4,3006
E02006283,West Suffolk 018,1811,724,316,57,3,2911
E02006284,West Suffolk 019,1533,874,757,111,8,3283
E02006285,West Suffolk 021,1409,882,602,118,12,3023
E02006286,West Suffolk 020,2114,1276,995,160,28,4573
E02006287,East Suffolk 016,2015,595,242,36,12,2900
E02006288,East Suffolk 017,2769,929,531,62,11,4302
E02006289,East Suffolk 018,2543,1102,689,108,7,4449
E02006290,East Suffolk 019,2270,966,630,68,6,3940
E02006291,East Suffolk 020,2126,849,543,72,4,3594
E02006292,East Suffolk 021,1977,604,209,41,4,2835
E02006293,East Suffolk 023,2530,1122,583,78,16,4329
E02006294,East Suffolk 022,2125,961,629,101,7,3823
E02006295,East Suffolk 024,2239,1114,551,81,8,3993
E02006296,East Suffolk 025,3182,1519,638,115,11,5465
E02006297,East Suffolk 026,2433,666,222,26,4,3351
E02006298,East Suffolk 027,2241,1127,559,105,8,4040
E02006299,East Suffolk 028,2758,771,319,30,6,3884
E02006300,East Suffolk 029,1527,1018,1114,113,9,3781
E02006301,East Suffolk 030,1388,800,701,118,9,3016
E02006302,East Suffolk 001,1942,719,288,48,7,3004
E02006303,East Suffolk 002,1535,747,849,173,23,3327
E02006304,East Suffolk 003,1885,1192,525,62,9,3673
E02006305,East Suffolk 004,2357,955,871,167,18,4368
E02006306,East Suffolk 005,1848,906,484,77,9,3324
E02006307,East Suffolk 007,2188,736,273,35,3,3235
E02006308,East Suffolk 006,1531,807,1263,221,25,3847
E02006309,East Suffolk 009,1461,791,665,83,20,3020
E02006310,East Suffolk 008,1678,1121,556,79,7,3441
E02006311,East Suffolk 010,2045,1128,611,115,9,3908
E02006312,East Suffolk 011,2266,952,458,57,11,3744
E02006313,East Suffolk 012,2555,1389,595,76,10,4625
E02006314,East Suffolk 013,1907,812,513,86,8,3326
E02006315,East Suffolk 014,1699,712,344,50,5,2810
E02006316,East Suffolk 015,1755,1009,548,73,8,3393
E02006317,Elmbridge 001,1460,595,393,80,10,2538
E02006318,Elmbridge 002,1785,592,424,118,10,2929
E02006319,Elmbridge 003,1101,745,877,156,29,2908
E02006320,Elmbridge 004,1077,824,936,203,28,3068
E02006321,Elmbridge 005,1462,575,372,76,5,2490
E02006322,Elmbridge 006,1526,516,400,75,8,2525
E02006323,Elmbridge 007,1377,931,924,147,9,3388
E02006324,Elmbridge 008,1649,642,501,117,22,2931
E02006325,Elmbridge 009,2434,523,303,67,5,3332
