Middle layer Super Output Areas Code,Middle layer Super Output Areas,Occupancy_rating_of_rooms_+2_or_more,Occupancy_rating_of_rooms_+1,Occupancy_rating_of_rooms_0,Occupancy_rating_of_rooms_-1,Occupancy_rating_of_rooms_-2_or_less,Total
E02004876,Dacorum 021,2132,723,525,89,4,3473
E02004877,Dacorum 022,1233,476,355,66,8,2138
E02004878,East Hertfordshire 001,2012,959,620,90,13,3694
E02004880,East Hertfordshire 003,2583,888,639,77,10,4197
E02004881,East Hertfordshire 004,1343,726,769,136,15,2989
E02004882,East Hertfordshire 005,1713,680,647,147,13,3200
E02004883,East Hertfordshire 006,1341,643,470,65,6,2525
E02004884,East Hertfordshire 007,1606,1323,1379,184,40,4532
E02004885,East Hertfordshire 008,1980,693,475,89,7,3244
E02004886,East Hertfordshire 009,1477,603,399,83,8,2570
E02004887,East Hertfordshire 010,1882,611,528,55,10,3086
E02004888,East Hertfordshire 011,1981,850,686,126,14,3657
E02004889,East Hertfordshire 012,1874,1388,1219,215,24,4720
E02004890,East Hertfordshire 013,1515,1157,1013,111,9,3805
E02004891,East Hertfordshire 014,1577,1013,696,90,11,3387
E02004892,East Hertfordshire 015,856,711,795,153,13,2528
E02004893,East Hertfordshire 016,1049,679,570,67,9,2374
E02004894,East Hertfordshire 017,1572,1521,1283,144,10,4530
E02004895,East Hertfordshire 018,1863,864,790,147,25,3689
E02004896,Hertsmere 001,1701,841,671,147,19,3379
E02004897,Hertsmere 002,1383,663,467,86,10,2609
E02004898,Hertsmere 003,1176,870,862,249,30,3187
E02004899,Hertsmere 004,1125,458,429,80,11,2103
E02004900,Hertsmere 005,2090,573,423,95,8,3189
E02004901,Hertsmere 006,977,1096,1470,445,84,4072
E02004902,Hertsmere 007,898,852,944,293,69,3056
E02004903,Hertsmere 008,1196,766,649,218,49,2878
E02004904,Hertsmere 009,600,875,1059,287,43,2864
E02004905,Hertsmere 010,1360,580,339,124,16,2419
E02004906,Hertsmere 011,1332,1122,1318,354,79,4205
E02004907,Hertsmere 012,1876,1218,1054,232,33,4413
E02004908,Hertsmere 013,2139,1233,756,166,16,4310
E02004909,North Hertfordshire 001,1103,675,607,136,9,2530
