Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers_directors_and_senior_officials,2_Professional_occupations,3_Associate_professional_and_technical_occupations,4_Administrative_and_secretarial_occupations,5_Skilled_trades_occupations,6_Caring_leisure_and_other_service_occupations,7_Sales_and_customer_service_occupations,8_Process_plant_and_machine_operatives,9_Elementary_occupations,Does_not_apply,total
E02005167,Tunbridge Wells 006,775,940,552,322,261,209,162,62,149,4230,7662
E02005168,Tunbridge Wells 007,799,1122,648,311,245,234,179,75,182,3779,7574
E02005169,Tunbridge Wells 008,788,1346,830,400,409,418,383,186,494,3847,9101
E02005170,Tunbridge Wells 009,883,1306,833,437,353,364,270,156,314,4930,9846
E02005171,Tunbridge Wells 010,414,525,364,210,324,326,239,129,365,3306,6202
E02005172,Tunbridge Wells 011,942,867,561,309,413,245,191,157,236,4341,8262
E02005173,Tunbridge Wells 012,971,1196,699,315,219,219,175,66,177,4392,8429
E02005174,Tunbridge Wells 013,644,666,415,251,376,282,215,130,290,4307,7576
E02005175,Tunbridge Wells 014,750,785,544,319,514,291,195,169,260,4892,8719
E02005503,Breckland 001,473,485,608,282,504,326,253,208,304,4039,7482
E02005504,Breckland 002,552,614,477,358,628,432,304,280,403,5198,9246
E02005505,Breckland 003,363,465,440,313,379,439,344,262,380,4269,7654
E02005506,Breckland 004,419,437,384,307,455,350,294,244,334,3789,7013
E02005507,Breckland 005,498,603,572,483,718,756,574,450,673,6278,11605
E02005508,Breckland 006,558,593,390,347,463,346,237,209,279,3827,7249
E02005509,Breckland 007,374,441,333,294,437,421,326,312,392,5235,8565
E02005510,Breckland 008,437,391,365,314,447,379,233,281,318,4159,7324
E02005511,Breckland 009,402,373,383,320,643,428,277,607,585,4948,8966
E02005512,Breckland 010,722,670,539,394,684,445,264,423,555,5410,10106
E02005513,Breckland 011,616,783,653,475,632,583,360,507,624,5356,10589
E02005514,Breckland 012,422,409,375,284,500,329,179,279,359,3742,6878
E02005515,Breckland 013,515,582,378,317,389,314,168,208,274,3329,6474
E02005516,Breckland 014,544,558,432,300,460,321,186,241,294,3728,7064
