Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers_directors_and_senior_officials,2_Professional_occupations,3_Associate_professional_and_technical_occupations,4_Administrative_and_secretarial_occupations,5_Skilled_trades_occupations,6_Caring_leisure_and_other_service_occupations,7_Sales_and_customer_service_occupations,8_Process_plant_and_machine_operatives,9_Elementary_occupations,Does_not_apply,total
E02000574,Islington 021,679,1485,782,277,157,183,184,135,190,3761,7833
E02000575,Islington 022,987,2177,1042,343,199,261,264,182,306,5552,11313
E02000576,Islington 023,746,1745,931,363,228,349,258,202,381,5469,10672
E02000577,Kensington and Chelsea 001,375,625,555,264,199,390,311,248,389,4361,7717
E02000578,Kensington and Chelsea 002,327,402,327,193,148,282,205,166,255,3701,6006
E02000579,Kensington and Chelsea 003,927,965,854,317,192,368,276,142,314,4638,8993
E02000580,Kensington and Chelsea 004,737,966,838,291,201,302,294,154,256,3856,7895
E02000581,Kensington and Chelsea 005,392,575,472,256,200,330,269,152,289,4458,7393
E02000582,Kensington and Chelsea 006,991,1112,678,189,97,165,125,44,117,3024,6542
E02000583,Kensington and Chelsea 007,987,1036,657,171,81,223,122,72,100,2981,6430
E02000584,Kensington and Chelsea 008,1144,1134,651,203,67,184,116,38,77,3559,7173
E02000585,Kensington and Chelsea 009,1086,1089,685,209,130,327,135,47,140,4240,8088
E02000586,Kensington and Chelsea 010,1058,901,506,152,70,165,94,36,74,3419,6475
E02000587,Kensington and Chelsea 011,1130,1014,527,160,78,167,85,27,68,3240,6496
E02000588,Kensington and Chelsea 012,1082,834,495,135,39,210,66,36,74,3012,5983
E02000589,Kensington and Chelsea 013,1142,1118,635,162,104,226,110,45,103,3605,7250
E02000590,Kensington and Chelsea 014,726,762,461,165,89,221,157,73,123,3199,5976
E02000591,Kensington and Chelsea 015,666,954,551,185,97,196,153,66,152,3190,6210
E02000592,Kensington and Chelsea 016,993,1022,526,126,61,154,82,15,77,2708,5764
E02000593,Kensington and Chelsea 017,1082,1154,645,209,73,240,135,64,119,3672,7393
E02000594,Kensington and Chelsea 018,978,915,540,193,98,259,100,56,122,3221,6482
E02000595,Kensington and Chelsea 019,1032,812,491,151,55,239,81,34,66,3203,6164
E02000596,Kensington and Chelsea 020,1035,1133,716,199,49,174,100,52,106,3053,6617
E02000597,Kensington and Chelsea 021,598,663,489,188,95,240,169,105,192,3598,6337
E02000598,Kingston upon Thames 001,856,1240,660,320,167,226,161,71,132,4260,8093
E02000599,Kingston upon Thames 002,806,929,421,235,123,176,131,70,127,3990,7008
E02000600,Kingston upon Thames 003,715,1492,672,293,221,266,207,114,233,4150,8363
E02000601,Kingston upon Thames 004,1369,2014,1088,416,211,309,288,96,241,5874,11906
E02000602,Kingston upon Thames 005,682,1267,752,339,303,416,394,173,398,5585,10309
E02000603,Kingston upon Thames 006,517,1006,484,316,341,399,354,207,373,4641,8638
E02000604,Kingston upon Thames 007,820,1399,723,381,302,281,306,136,298,4597,9243
E02000605,Kingston upon Thames 008,752,1213,597,362,268,241,278,117,229,4432,8489
E02000606,Kingston upon Thames 009,1072,1921,1031,398,290,314,350,130,342,4714,10562
E02000607,Kingston upon Thames 010,625,1065,609,264,164,189,171,101,174,3430,6792
E02000608,Kingston upon Thames 011,728,1430,853,294,230,225,194,93,267,2885,7199
E02000609,Kingston upon Thames 012,641,825,431,350,290,271,253,159,228,4179,7627
E02000610,Kingston upon Thames 013,736,1401,822,319,258,277,239,128,275,3495,7950
E02000611,Kingston upon Thames 014,699,1063,480,345,241,191,211,119,160,3932,7441
E02000612,Kingston upon Thames 015,720,1148,595,437,282,266,258,139,182,4226,8253
E02000613,Kingston upon Thames 016,771,1232,687,319,273,276,205,129,233,3963,8088
E02000614,Kingston upon Thames 017,585,1026,553,440,436,448,491,249,472,4594,9294
E02000615,Kingston upon Thames 018,547,823,582,444,452,371,261,218,352,3833,7883
E02000616,Kingston upon Thames 019,444,601,484,423,383,326,219,167,251,2763,6061
E02000617,Kingston upon Thames 020,586,840,619,478,537,477,320,240,394,4372,8863
E02000619,Lambeth 002,568,1305,829,349,229,382,246,201,521,4468,9098
E02000620,Lambeth 003,830,1762,1028,395,222,383,259,187,522,4254,9842
E02000621,Lambeth 004,1118,2627,1437,516,315,484,318,167,527,5011,12520
E02000622,Lambeth 005,631,1681,960,392,252,335,226,146,476,3303,8402
E02000623,Lambeth 006,447,967,663,308,265,409,270,233,689,3605,7856
E02000624,Lambeth 007,740,1750,1130,424,245,346,305,216,534,3942,9632
E02000625,Lambeth 008,483,1385,800,350,333,479,360,250,762,4101,9303
E02000626,Lambeth 009,370,866,646,311,231,543,272,262,668,4193,8362
E02000627,Lambeth 010,745,1812,1072,394,282,406,288,188,588,3778,9553
E02000628,Lambeth 011,586,1428,987,359,345,624,370,289,904,4894,10786
E02000629,Lambeth 012,938,2195,1324,395,224,295,269,120,303,3055,9118
E02000630,Lambeth 013,911,1670,1076,323,162,224,177,95,194,2708,7540
E02000631,Lambeth 014,773,1938,1055,324,233,377,278,147,435,3962,9522
E02000632,Lambeth 015,1001,2784,1604,486,215,315,246,130,344,2461,9586
E02000633,Lambeth 016,607,1579,1040,359,237,413,309,190,522,3903,9159
E02000634,Lambeth 017,540,1263,883,305,168,268,212,117,276,2736,6768
E02000635,Lambeth 018,819,2067,1334,390,274,353,280,152,400,3744,9813
E02000636,Lambeth 019,1069,1940,1064,306,135,184,115,52,157,2696,7718
E02000637,Lambeth 020,819,1973,1333,341,215,273,200,104,372,2771,8401
E02000638,Lambeth 021,685,1542,1120,407,336,485,323,228,623,4509,10258
E02000639,Lambeth 022,475,1009,785,363,275,491,294,246,772,3611,8321
E02000640,Lambeth 023,1042,2125,1240,368,164,249,192,120,219,3574,9293
E02000641,Lambeth 024,420,876,664,316,214,518,269,216,659,4480,8632
E02000642,Lambeth 025,836,1635,1015,329,290,392,255,164,431,4463,9810
E02000643,Lambeth 026,957,1678,1077,357,308,362,250,160,411,3818,9378
E02000644,Lambeth 027,772,1440,901,327,320,335,226,152,400,3647,8520
E02000645,Lambeth 028,815,1559,1004,327,295,357,190,158,467,4361,9533
E02000646,Lambeth 029,974,1615,1012,369,352,353,274,130,521,3899,9499
E02000647,Lambeth 030,746,1294,813,335,252,331,202,163,345,4110,8591
E02000648,Lambeth 031,499,825,580,296,262,382,190,230,398,4162,7824
E02000649,Lambeth 032,1160,1875,1356,474,553,520,368,268,860,5043,12477
E02000650,Lambeth 033,576,1063,750,300,257,345,238,150,324,3663,7666
E02000651,Lambeth 034,677,1288,731,338,415,340,257,181,575,3935,8737
E02000652,Lambeth 035,429,767,555,327,427,338,227,256,556,3676,7558
E02000653,Lewisham 001,899,2215,1150,464,419,570,481,257,703,5452,12610
E02000654,Lewisham 002,439,943,695,307,279,557,312,202,552,4501,8787
