Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom,2_bedrooms,3_bedrooms,4_or_more_bedrooms,Total
E02007088,North Hertfordshire 016,143,606,1115,1298,3162
E02007089,North Hertfordshire 017,147,858,988,824,2817
E02007090,St Albans 021,201,556,762,844,2363
E02007091,Stevenage 013,312,597,1090,692,2691
E02007092,Welwyn Hatfield 017,377,586,947,388,2298
E02007093,East Hertfordshire 019,202,556,1206,1330,3294
E02007108,Hackney 030,1017,976,584,226,2803
E02007109,Hackney 031,936,1063,832,471,3302
E02007110,Hackney 032,1182,1376,639,164,3361
E02007111,Hackney 033,1006,1208,499,103,2816
E02007112,Tower Hamlets 034,1511,978,311,117,2917
E02007113,Tower Hamlets 035,1095,1550,430,192,3267
E02007114,Tower Hamlets 036,1059,1192,593,188,3032
E02007115,Camden 029,1961,1593,648,267,4469
E02007116,Oxford 019,448,978,699,626,2751
